Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,Duquesne,L,75,94,22,63,.349,7,25,.280,24,32,.750,9,30,9,3,1,10,26,,30,58,.517,7,19,.368,27,37,.730,10,40,19,4,2,10,22
2,2,2013-11-11,@,St. Bonaventure,L,47,75,14,40,.350,4,16,.250,15,26,.577,9,23,7,2,1,16,30,,25,56,.446,2,14,.143,23,32,.719,18,40,15,7,7,9,23
3,3,2013-11-13,@,Maryland,L,44,67,17,54,.315,10,21,.476,0,0,,3,18,9,6,0,16,15,,26,53,.491,4,18,.222,11,17,.647,12,38,12,9,10,17,8
4,4,2013-11-17,@,Iowa,L,41,103,14,54,.259,3,23,.130,10,12,.833,7,27,6,3,0,17,21,,38,61,.623,9,21,.429,18,22,.818,5,35,25,11,5,5,10
5,5,2013-11-19,@,Texas Christian,L,64,71,19,50,.380,9,20,.450,17,25,.680,10,36,13,4,2,13,26,,22,48,.458,3,13,.231,24,37,.649,8,30,11,7,3,6,20
6,6,2013-11-22,N,Western New Mexico,W,62,44,16,41,.390,5,21,.238,25,33,.758,12,37,11,10,4,20,16,,17,49,.347,3,13,.231,7,11,.636,6,17,9,12,3,13,22
7,7,2013-11-23,N,Northern New Mexico,W,78,56,27,63,.429,10,22,.455,14,20,.700,12,41,19,10,0,20,24,,18,50,.360,5,18,.278,15,28,.536,11,34,11,4,1,22,23
8,8,2013-11-25,@,Xavier,L,65,93,23,53,.434,9,24,.375,10,14,.714,3,19,11,3,3,11,24,,33,57,.579,6,13,.462,21,36,.583,16,45,18,8,7,8,16
9,9,2013-11-29,N,West Alabama,L,67,77,21,54,.389,9,22,.409,16,25,.640,6,22,12,6,4,9,27,,21,46,.457,5,17,.294,30,33,.909,6,31,7,5,6,12,21
10,10,2013-11-30,@,Towson,L,47,74,18,55,.327,3,19,.158,8,11,.727,6,18,8,7,3,7,19,,26,45,.578,6,17,.353,16,18,.889,4,29,12,1,9,14,17
11,11,2013-12-03,,Hillsdale Free Will Baptist,W,93,53,37,69,.536,7,18,.389,12,24,.500,13,45,21,15,6,13,18,,17,57,.298,5,22,.227,14,19,.737,7,27,4,3,3,22,21
12,12,2013-12-17,,Bacone,W,90,63,31,62,.500,11,25,.440,17,21,.810,8,36,22,5,9,13,14,,20,57,.351,9,24,.375,14,19,.737,11,31,12,6,2,15,16
13,13,2013-12-18,,Open Bible College,W,87,43,31,65,.477,5,15,.333,20,23,.870,18,45,15,9,1,11,12,,15,49,.306,3,19,.158,10,13,.769,4,25,6,7,2,19,13
14,14,2013-12-30,,Open Bible College,W,99,49,33,58,.569,10,19,.526,23,25,.920,12,43,24,8,2,12,15,,18,47,.383,5,17,.294,8,15,.533,1,12,6,2,3,17,17
15,15,2014-01-09,@,New Orleans,L,81,87,28,63,.444,7,23,.304,18,25,.720,7,32,20,7,1,11,32,,24,51,.471,7,17,.412,32,45,.711,7,38,13,2,3,13,22
16,16,2014-01-11,@,Southeastern Louisiana,L (2 OT),77,85,23,69,.333,7,19,.368,24,35,.686,11,45,8,7,0,7,22,,27,65,.415,11,23,.478,20,26,.769,4,39,17,2,5,12,23
17,17,2014-01-16,,Oral Roberts,L,59,82,19,47,.404,5,10,.500,16,18,.889,6,20,5,3,3,14,17,,29,54,.537,6,14,.429,18,24,.750,11,30,10,8,6,11,15
18,18,2014-01-18,,Central Arkansas,W,73,72,25,53,.472,5,14,.357,18,24,.750,8,27,11,12,1,15,18,,30,56,.536,4,10,.400,8,20,.400,9,30,11,11,1,16,21
19,19,2014-01-23,,Lamar,L,57,65,18,43,.419,5,14,.357,16,23,.696,7,28,6,9,2,22,22,,23,48,.479,1,2,.500,18,22,.818,4,24,7,5,4,17,18
20,20,2014-01-25,,Sam Houston State,L,51,70,16,38,.421,4,13,.308,15,21,.714,5,19,7,6,1,18,24,,23,47,.489,6,16,.375,18,26,.692,10,27,14,9,2,11,22
21,21,2014-01-30,@,Stephen F. Austin,L,48,64,14,44,.318,3,9,.333,17,23,.739,6,24,5,6,5,21,17,,23,60,.383,8,25,.320,10,14,.714,15,35,20,11,11,16,20
