Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Southern Illinois,L,75,77,22,51,.431,4,20,.200,27,33,.818,8,32,10,2,1,12,21,,28,67,.418,6,24,.250,15,28,.536,14,33,14,8,1,5,26
2,2,2015-11-16,,Tennessee Tech,W,80,70,29,49,.592,3,12,.250,19,32,.594,5,31,19,8,3,13,25,,21,65,.323,7,29,.241,21,31,.677,17,39,11,8,5,14,27
3,3,2015-11-19,,Mississippi Valley State,W,65,64,23,60,.383,3,21,.143,16,28,.571,12,39,15,5,1,11,15,,25,61,.410,6,19,.316,8,14,.571,11,42,14,3,4,13,27
4,4,2015-11-22,,Robert Morris,W,64,52,25,66,.379,3,12,.250,11,13,.846,15,44,16,12,3,14,8,,20,59,.339,8,28,.286,4,7,.571,10,31,12,6,3,17,15
5,5,2015-11-25,@,Colorado,L,70,81,26,62,.419,10,22,.455,8,18,.444,8,22,15,8,4,10,21,,25,48,.521,13,25,.520,18,23,.783,6,35,15,4,4,17,17
6,6,2015-11-28,,New Mexico State,W (1 OT),66,64,24,65,.369,8,27,.296,10,12,.833,5,28,14,6,1,6,21,,23,52,.442,4,13,.308,14,21,.667,8,44,12,2,7,17,16
7,7,2015-12-02,,Citadel,W,97,93,32,58,.552,4,13,.308,29,45,.644,8,43,25,6,1,12,13,,31,72,.431,18,50,.360,13,15,.867,4,28,21,7,5,10,32
8,8,2015-12-05,@,Denver,W,61,59,20,50,.400,4,12,.333,17,23,.739,13,36,12,6,0,18,13,,21,45,.467,5,18,.278,12,14,.857,2,21,12,10,3,17,19
9,9,2015-12-08,@,Ohio State,L,50,74,17,51,.333,4,15,.267,12,17,.706,7,33,5,4,0,18,17,,27,57,.474,6,22,.273,14,18,.778,5,31,11,8,6,12,18
10,10,2015-12-12,,Army,L,80,90,29,62,.468,6,10,.600,16,32,.500,10,35,11,9,2,13,28,,26,58,.448,12,28,.429,26,38,.684,6,36,16,6,6,15,25
11,11,2015-12-19,@,UC-Davis,W,67,60,24,48,.500,8,19,.421,11,17,.647,4,27,14,3,2,15,15,,24,63,.381,4,23,.174,8,13,.615,14,35,6,7,2,15,17
12,12,2015-12-22,,Johnson & Wales,W,80,56,27,58,.466,6,14,.429,20,26,.769,11,39,14,6,3,14,20,,17,55,.309,7,24,.292,15,23,.652,10,30,10,8,3,18,25
13,13,2015-12-29,,Western State,W,86,66,28,52,.538,7,16,.438,23,28,.821,8,35,15,7,5,12,17,,26,69,.377,6,25,.240,8,12,.667,11,30,21,8,3,10,21
14,14,2016-01-02,,San Jose State,W,64,57,17,49,.347,5,19,.263,25,30,.833,7,33,12,9,1,15,23,,18,49,.367,7,18,.389,14,23,.609,9,30,12,8,8,20,24
15,15,2016-01-06,@,Wyoming,L,52,64,20,54,.370,6,18,.333,6,11,.545,2,26,8,4,0,11,18,,22,51,.431,11,28,.393,9,12,.750,5,35,10,5,2,13,17
16,16,2016-01-09,,Nevada,L,63,86,19,51,.373,5,20,.250,20,34,.588,6,37,12,4,2,17,18,,33,69,.478,7,18,.389,13,20,.650,10,41,16,10,6,7,25
17,17,2016-01-12,@,Utah State,L,60,79,21,57,.368,8,20,.400,10,17,.588,6,31,14,6,1,9,19,,26,56,.464,7,26,.269,20,24,.833,5,35,15,3,5,9,15
18,18,2016-01-16,@,UNLV,L,64,100,24,56,.429,4,13,.308,12,18,.667,4,19,16,7,2,9,17,,34,68,.500,13,25,.520,19,20,.950,19,50,21,4,8,12,14
19,19,2016-01-20,,Colorado State,L,79,83,27,52,.519,9,20,.450,16,22,.727,6,34,18,3,2,8,25,,25,54,.463,12,30,.400,21,28,.750,5,27,17,2,4,6,19
20,20,2016-01-23,,Fresno State,L,55,56,19,46,.413,7,18,.389,10,17,.588,4,31,13,4,2,17,13,,20,58,.345,9,25,.360,7,11,.636,7,34,13,12,4,12,16
21,21,2016-01-27,@,New Mexico,L,55,84,16,58,.276,10,27,.370,13,20,.650,11,25,11,10,1,12,25,,29,46,.630,9,17,.529,17,24,.708,7,39,19,7,5,20,22
22,22,2016-01-30,@,San Jose State,L,54,75,16,56,.286,5,21,.238,17,20,.850,10,33,7,4,0,10,17,,24,52,.462,12,31,.387,15,19,.789,6,36,17,4,8,9,20
23,23,2016-02-02,,Wyoming,W,70,62,23,44,.523,4,13,.308,20,30,.667,6,27,11,8,1,9,21,,20,47,.426,9,25,.360,13,20,.650,5,26,11,4,4,13,28
24,24,2016-02-06,,Boise State,W,61,53,19,44,.432,7,21,.333,16,22,.727,5,38,12,6,3,18,20,,19,54,.352,5,22,.227,10,22,.455,7,25,7,9,1,13,20
25,25,2016-02-10,@,Nevada,L,52,72,20,60,.333,3,18,.167,9,15,.600,9,24,8,6,3,9,17,,25,48,.521,5,17,.294,17,20,.850,10,40,13,4,6,15,17
26,26,2016-02-13,@,San Diego State,L,61,70,26,50,.520,8,17,.471,1,2,.500,4,29,11,2,1,11,18,,23,61,.377,12,39,.308,12,19,.632,12,31,19,4,2,5,11
