Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,New Mexico,L,52,88,15,56,.268,8,32,.250,14,20,.700,8,23,7,4,2,8,28,,31,53,.585,4,13,.308,22,39,.564,13,45,19,4,8,9,18
2,2,2013-11-14,N,Alabama-Huntsville,W,79,73,26,54,.481,8,16,.500,19,29,.655,8,27,14,8,5,9,15,,23,59,.390,12,26,.462,15,17,.882,17,37,12,2,2,15,21
3,3,2013-11-17,@,Western Michigan,L,69,73,24,59,.407,12,29,.414,9,15,.600,6,29,15,4,4,7,27,,22,48,.458,9,19,.474,20,38,.526,7,39,14,3,1,11,17
4,4,2013-11-19,@,Eastern Kentucky,L,68,82,21,51,.412,9,18,.500,17,31,.548,5,29,16,5,3,15,32,,20,49,.408,6,20,.300,36,39,.923,5,37,11,9,3,10,21
5,5,2013-11-25,,Jacksonville State,L,69,76,26,53,.491,3,9,.333,14,19,.737,4,22,20,3,5,10,23,,27,58,.466,5,14,.357,17,23,.739,12,31,14,8,5,12,14
6,6,2013-12-03,@,Tennessee State,W,66,65,25,57,.439,8,18,.444,8,13,.615,5,26,9,6,4,9,19,,21,56,.375,4,17,.235,19,29,.655,17,43,5,5,6,13,15
7,7,2013-12-05,,Oakwood,W,70,58,27,60,.450,3,16,.188,13,27,.481,13,40,15,10,6,15,13,,20,58,.345,7,15,.467,11,13,.846,6,28,8,8,2,18,23
8,8,2013-12-14,@,Ohio,L,47,72,15,54,.278,6,19,.316,11,16,.688,8,28,10,9,1,19,18,,24,48,.500,5,15,.333,19,27,.704,6,36,15,11,9,17,16
9,9,2013-12-21,@,Missouri State,L,47,68,15,56,.268,6,26,.231,11,17,.647,5,31,11,7,6,11,26,,17,50,.340,9,20,.450,25,31,.806,11,45,11,2,5,14,17
10,10,2013-12-29,@,Alabama-Birmingham,L,57,69,23,64,.359,4,19,.211,7,11,.636,13,34,9,8,8,12,23,,23,67,.343,6,21,.286,17,22,.773,17,44,16,6,4,11,15
11,11,2014-01-04,@,Jackson State,W,68,61,18,46,.391,8,23,.348,24,33,.727,4,21,7,9,3,16,26,,18,42,.429,0,4,.000,25,34,.735,8,33,2,6,5,22,26
12,12,2014-01-06,@,Grambling,W,70,58,24,58,.414,10,22,.455,12,18,.667,13,32,18,6,5,12,14,,19,47,.404,7,19,.368,13,17,.765,8,29,9,4,3,17,19
13,13,2014-01-11,,Arkansas-Pine Bluff,L,64,72,19,42,.452,7,19,.368,19,29,.655,6,26,12,7,4,18,22,,20,50,.400,6,19,.316,26,33,.788,9,30,10,13,0,14,23
14,14,2014-01-13,,Mississippi Valley State,W,68,59,25,55,.455,3,11,.273,15,31,.484,11,40,15,5,9,7,14,,21,57,.368,5,13,.385,12,18,.667,10,32,9,6,2,10,25
15,15,2014-01-18,@,Alabama State,L (1 OT),58,67,20,47,.426,6,17,.353,12,17,.706,7,30,13,4,1,20,21,,23,61,.377,3,13,.231,18,24,.750,13,32,7,9,0,15,13
16,16,2014-01-25,@,Southern,L,52,66,16,47,.340,2,17,.118,18,28,.643,5,23,4,2,3,12,26,,18,45,.400,1,7,.143,29,37,.784,6,34,7,5,2,8,22
17,17,2014-01-27,@,Alcorn State,L (1 OT),64,70,21,64,.328,2,20,.100,20,29,.690,15,33,9,4,1,10,16,,24,51,.471,3,8,.375,19,26,.731,11,36,12,4,4,10,21
18,18,2014-02-01,,Texas Southern,W,63,62,24,47,.511,9,17,.529,6,14,.429,6,29,19,3,3,10,23,,20,45,.444,3,14,.214,19,31,.613,10,27,5,4,2,12,16
19,19,2014-02-03,,Prairie View,W,67,55,22,48,.458,3,13,.231,20,30,.667,6,29,18,7,4,10,19,,20,52,.385,1,11,.091,14,25,.560,11,30,2,8,1,12,27
20,20,2014-02-08,@,Arkansas-Pine Bluff,L,61,64,21,52,.404,7,18,.389,12,16,.750,7,30,13,11,1,13,20,,20,44,.455,7,17,.412,17,25,.680,6,31,11,7,0,20,17
21,21,2014-02-10,@,Mississippi Valley State,W,91,82,27,49,.551,5,16,.313,32,49,.653,9,43,10,5,1,21,38,,21,55,.382,4,16,.250,36,56,.643,10,27,9,8,1,9,34
22,22,2014-02-15,,Alabama State,W (1 OT),68,65,24,56,.429,4,16,.250,16,23,.696,6,35,11,3,5,11,23,,22,56,.393,3,15,.200,18,34,.529,11,36,8,6,5,12,20
23,23,2014-02-22,,Southern,L,62,70,23,52,.442,7,15,.467,9,14,.643,5,22,12,5,3,21,22,,25,48,.521,6,12,.500,14,23,.609,9,32,10,13,2,20,17
24,24,2014-02-24,,Alcorn State,L,56,64,21,57,.368,6,25,.240,8,12,.667,4,21,13,4,1,10,19,,23,50,.460,3,8,.375,15,22,.682,12,40,8,5,7,14,14
25,25,2014-03-01,@,Prairie View,W,72,65,21,46,.457,11,21,.524,19,27,.704,9,34,12,8,7,19,22,,20,57,.351,5,14,.357,20,29,.690,13,31,7,6,2,16,25
26,26,2014-03-03,@,Texas Southern,L,58,79,21,55,.382,6,22,.273,10,12,.833,3,26,11,6,6,10,21,,25,60,.417,10,21,.476,19,25,.760,13,40,16,6,4,10,15
27,27,2014-03-06,,Jackson State,W,72,59,22,50,.440,5,19,.263,23,29,.793,8,34,16,11,8,8,21,,16,54,.296,4,15,.267,23,30,.767,11,29,6,8,0,12,21
28,28,2014-03-08,,Grambling,W,80,63,31,60,.517,9,18,.500,9,16,.563,12,38,22,5,3,11,20,,24,60,.400,6,19,.316,9,20,.450,15,35,7,2,1,15,20
29,29,2014-03-13,N,Arkansas-Pine Bluff,W,69,50,23,53,.434,4,15,.267,19,27,.704,15,42,14,10,5,18,11,,17,53,.321,3,18,.167,13,17,.765,7,24,13,10,0,15,18
30,30,2014-03-14,N,Prairie View,L,49,55,16,53,.302,1,15,.067,16,22,.727,13,33,5,8,8,12,21,,18,52,.346,1,9,.111,18,27,.667,15,37,8,9,7,14,18
