Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Auburn,L,74,75,31,70,.443,4,13,.308,8,11,.727,13,35,19,8,6,13,20,,22,51,.431,7,19,.368,24,31,.774,8,34,10,7,8,14,19
2,2,2015-11-16,,Alabama State,W,72,70,21,42,.500,3,11,.273,27,42,.643,6,36,18,6,6,18,19,,25,60,.417,6,24,.250,14,25,.560,7,22,14,9,2,12,30
3,3,2015-11-19,@,Troy,W,79,63,29,59,.492,8,23,.348,13,18,.722,6,36,21,8,6,15,22,,25,71,.352,5,25,.200,8,14,.571,10,36,14,7,2,12,18
4,4,2015-11-22,,Jacksonville State,W,61,55,22,54,.407,1,12,.083,16,20,.800,11,38,11,2,8,7,17,,19,55,.345,5,24,.208,12,18,.667,9,27,9,3,1,7,19
5,5,2015-11-27,N,Illinois,L,58,72,19,49,.388,5,23,.217,15,19,.789,8,32,11,5,7,16,16,,27,56,.482,5,12,.417,13,19,.684,7,28,14,10,0,11,17
6,6,2015-11-28,N,Virginia Tech,L (1 OT),77,82,29,64,.453,9,25,.360,10,18,.556,9,28,16,5,7,12,22,,26,59,.441,6,16,.375,24,32,.750,15,41,12,5,3,17,21
7,7,2015-12-01,,Georgia State,W,64,57,18,49,.367,6,20,.300,22,29,.759,9,38,17,8,7,10,15,,22,59,.373,3,13,.231,10,18,.556,13,34,10,7,3,10,22
8,8,2015-12-05,@,Illinois State,W,74,61,28,56,.500,9,22,.409,9,14,.643,10,36,19,8,4,15,16,,22,61,.361,5,32,.156,12,16,.750,12,33,11,8,1,12,18
9,9,2015-12-13,,Seattle,W,79,73,30,60,.500,10,25,.400,9,12,.750,12,25,22,9,7,10,14,,27,51,.529,9,17,.529,10,11,.909,9,27,15,5,0,17,17
10,10,2015-12-16,,South Carolina Upstate,W,96,54,38,70,.543,12,24,.500,8,12,.667,15,42,30,5,7,8,11,,22,60,.367,4,17,.235,6,8,.750,11,23,12,7,5,11,11
11,11,2015-12-19,@,South Florida,W,79,68,29,56,.518,9,21,.429,12,23,.522,9,24,21,8,4,8,13,,28,57,.491,6,17,.353,6,7,.857,11,33,11,3,7,19,17
