,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Virginia Tech,W,85,82,30,71,.423,9,28,.321,16,21,.762,12,32,12,4,4,8,29,,27,57,.474,3,12,.250,25,40,.625,14,40,13,4,6,11,19
2,2,2015-11-16,@,Alabama-Birmingham,L,70,72,25,60,.417,6,24,.250,14,25,.560,7,22,14,9,2,12,30,,21,42,.500,3,11,.273,27,42,.643,6,36,18,6,6,18,19
3,3,2015-11-19,@,Mercer,L,49,70,16,52,.308,10,27,.370,7,11,.636,3,19,8,5,8,8,17,,26,56,.464,4,13,.308,14,18,.778,11,43,17,4,1,10,11
4,4,2015-11-27,N,Chattanooga,L,58,95,23,69,.333,6,19,.316,6,8,.750,14,32,11,2,2,16,18,,36,53,.679,13,23,.565,10,18,.556,2,24,28,8,9,8,14
5,5,2015-11-28,N,Chicago State,W,66,64,21,62,.339,9,32,.281,15,21,.714,11,30,13,13,3,16,16,,24,58,.414,9,22,.409,7,14,.500,16,40,14,10,2,26,20
6,6,2015-12-01,@,Evansville,L,56,88,21,64,.328,7,19,.368,7,13,.538,9,25,11,6,5,12,20,,35,51,.686,5,9,.556,13,22,.591,3,33,26,4,5,12,12
7,7,2015-12-03,,Auburn Montgomery,W,80,78,30,61,.492,2,18,.111,18,33,.545,13,38,11,8,0,13,13,,30,65,.462,13,39,.333,5,12,.417,12,38,14,5,2,15,21
8,8,2015-12-13,@,Jacksonville State,W,63,60,23,63,.365,6,21,.286,11,17,.647,10,33,9,10,1,13,20,,19,48,.396,3,16,.188,19,26,.731,6,30,9,5,4,15,19
9,9,2015-12-16,@,Elon,L,74,91,32,76,.421,2,15,.133,8,12,.667,12,40,10,4,6,7,21,,30,67,.448,18,40,.450,13,20,.650,11,42,23,3,3,9,16
10,10,2015-12-20,@,Coastal Carolina,L,65,68,23,58,.397,8,23,.348,11,14,.786,5,32,16,4,3,12,16,,25,60,.417,6,25,.240,12,19,.632,11,35,12,6,4,11,10
11,11,2015-12-22,@,Winthrop,L,84,92,34,71,.479,9,25,.360,7,8,.875,8,38,12,7,6,17,20,,33,65,.508,6,23,.261,20,26,.769,3,31,14,8,3,9,11
12,12,2015-12-30,,Fort Valley State,W,105,89,39,67,.582,12,26,.462,15,23,.652,11,29,22,7,3,8,16,,33,56,.589,6,15,.400,17,26,.654,6,23,12,6,0,11,18
13,13,2016-01-02,@,Jackson State,L,61,68,19,59,.322,7,21,.333,16,29,.552,13,35,9,5,2,14,23,,26,55,.473,5,16,.313,11,25,.440,10,37,11,10,8,12,21
14,14,2016-01-04,@,Grambling,L (1 OT),81,84,27,66,.409,8,22,.364,19,24,.792,10,38,14,4,1,9,34,,22,52,.423,5,14,.357,35,55,.636,10,33,8,6,0,8,23
15,15,2016-01-09,,Mississippi Valley State,W (1 OT),75,74,23,68,.338,4,24,.167,25,37,.676,21,56,12,5,7,17,23,,27,73,.370,7,16,.438,13,24,.542,13,36,9,6,2,11,28
16,16,2016-01-11,,Arkansas-Pine Bluff,L,55,59,15,45,.333,0,13,.000,25,37,.676,12,33,6,10,2,14,12,,23,48,.479,8,21,.381,5,8,.625,4,27,8,8,3,21,27
17,17,2016-01-16,,Alabama A&M,L (1 OT),75,80,27,64,.422,5,18,.278,16,24,.667,13,33,11,4,7,15,19,,28,68,.412,8,30,.267,16,19,.842,13,37,13,8,1,14,20
18,18,2016-01-23,@,Southern,L,69,73,26,63,.413,7,16,.438,10,16,.625,6,36,9,6,3,12,25,,25,52,.481,7,20,.350,16,29,.552,5,29,12,10,3,14,18
19,19,2016-01-25,@,Alcorn State,L,72,77,22,55,.400,4,13,.308,24,29,.828,13,30,7,5,1,8,19,,23,51,.451,8,15,.533,23,27,.852,6,26,11,3,5,12,17
20,20,2016-01-30,,Texas Southern,L,72,75,28,72,.389,9,22,.409,7,8,.875,13,36,18,6,7,9,19,,24,66,.364,4,21,.190,23,26,.885,16,44,14,6,4,11,10
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-01,,Prairie View,W,83,77,28,49,.571,8,14,.571,19,27,.704,8,27,16,3,4,15,21,,29,53,.547,5,9,.556,14,23,.609,5,20,17,5,2,9,24
22,22,2016-02-06,@,Mississippi Valley State,W,73,62,26,56,.464,10,23,.435,11,16,.688,9,31,11,4,2,16,19,,21,54,.389,4,17,.235,16,22,.727,10,27,9,6,4,14,14
23,23,2016-02-08,@,Arkansas-Pine Bluff,L (1 OT),70,75,22,54,.407,3,18,.167,23,32,.719,10,25,8,8,1,10,25,,26,44,.591,10,19,.526,13,26,.500,7,24,11,9,4,16,22
24,24,2016-02-13,@,Alabama A&M,W,74,68,28,65,.431,8,19,.421,10,16,.625,11,30,8,6,2,4,23,,25,50,.500,1,14,.071,17,23,.739,10,34,12,2,2,9,19
25,25,2016-02-20,,Southern,W,77,68,29,65,.446,2,14,.143,17,25,.680,11,37,14,3,2,9,22,,24,60,.400,4,16,.250,16,25,.640,10,34,7,6,4,11,17
26,26,2016-02-22,,Alcorn State,W,73,60,27,60,.450,6,22,.273,13,18,.722,9,36,16,11,2,11,23,,19,50,.380,2,13,.154,20,30,.667,11,33,7,3,5,18,18
27,27,2016-02-27,@,Prairie View,W,73,68,28,61,.459,10,21,.476,7,16,.438,10,34,13,3,5,12,19,,25,58,.431,5,16,.313,13,18,.722,6,31,11,7,2,11,21
28,28,2016-02-29,@,Texas Southern,L,86,96,32,69,.464,11,22,.500,11,14,.786,10,29,11,6,2,11,25,,34,58,.586,10,18,.556,18,31,.581,10,38,19,3,4,14,13
29,29,2016-03-03,,Jackson State,W,71,54,24,55,.436,9,24,.375,14,19,.737,5,39,16,1,6,12,21,,18,63,.286,3,19,.158,15,24,.625,12,36,7,6,1,10,18
30,30,2016-03-05,,Grambling,W,59,58,20,57,.351,11,23,.478,8,10,.800,13,35,12,7,5,14,17,,21,52,.404,3,14,.214,13,21,.619,8,28,4,7,3,11,12
