Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Kennesaw State,W,77,64,29,57,.509,4,17,.235,15,27,.556,9,36,13,11,6,12,21,,19,55,.345,7,19,.368,19,26,.731,10,36,6,7,4,16,25
2,2,2015-11-17,@,Dayton,L,48,80,17,57,.298,5,20,.250,9,17,.529,10,29,8,7,3,20,20,,28,60,.467,9,21,.429,15,21,.714,13,46,14,11,6,17,20
3,3,2015-11-20,,Louisiana-Lafayette,W,105,93,32,59,.542,15,25,.600,26,35,.743,5,30,19,6,8,11,30,,28,61,.459,11,27,.407,26,40,.650,15,40,9,6,5,15,23
4,4,2015-11-26,N,Xavier,L,45,64,17,55,.309,5,28,.179,6,10,.600,8,31,6,5,7,18,20,,21,54,.389,7,23,.304,15,25,.600,10,39,17,8,3,18,18
5,5,2015-11-27,N,Wichita State,W,64,60,17,42,.405,5,20,.250,25,33,.758,5,26,8,2,4,12,19,,19,61,.311,10,30,.333,12,18,.667,16,38,10,4,0,10,23
6,6,2015-11-29,N,Notre Dame,W,74,73,31,57,.544,6,17,.353,6,10,.600,8,31,11,7,3,12,22,,25,56,.446,7,14,.500,16,23,.696,10,30,12,5,3,8,14
7,7,2015-12-04,@,Southern Miss,W,58,55,17,40,.425,11,29,.379,13,18,.722,1,26,12,5,6,17,9,,21,58,.362,11,29,.379,2,4,.500,6,27,12,6,0,13,19
8,8,2015-12-13,@,Clemson,W,51,50,21,61,.344,7,20,.350,2,5,.400,18,39,14,7,5,15,16,,18,48,.375,4,14,.286,10,14,.714,8,28,12,8,10,11,13
9,9,2015-12-16,,Winthrop,W,72,60,28,54,.519,5,15,.333,11,17,.647,10,39,12,3,2,13,17,,21,56,.375,5,26,.192,13,17,.765,8,29,6,4,3,11,20
10,10,2015-12-21,N,Oregon,L,68,72,23,49,.469,9,21,.429,13,20,.650,5,26,12,4,4,14,16,,25,58,.431,6,16,.375,16,20,.800,10,35,16,9,3,9,16
11,11,2015-12-29,,Jacksonville State,W (1 OT),67,59,17,46,.370,5,24,.208,28,43,.651,10,37,10,6,7,13,15,,22,64,.344,9,22,.409,6,8,.750,11,33,10,5,2,17,32
12,12,2016-01-02,,Norfolk State,W,68,49,22,48,.458,11,24,.458,13,17,.765,5,32,13,8,3,12,12,,19,54,.352,6,22,.273,5,8,.625,8,26,8,6,5,11,15
13,13,2016-01-07,@,Ole Miss,L,66,74,22,49,.449,9,25,.360,13,18,.722,8,28,10,10,7,19,24,,23,55,.418,4,15,.267,24,33,.727,13,33,14,9,2,13,18
14,14,2016-01-09,,Kentucky,L,61,77,18,52,.346,7,24,.292,18,27,.667,7,23,5,3,7,6,24,,28,51,.549,2,9,.222,19,30,.633,13,40,12,2,4,10,23
15,15,2016-01-13,,South Carolina,W,73,50,24,51,.471,13,28,.464,12,21,.571,10,33,16,8,3,15,20,,19,53,.358,3,18,.167,9,17,.529,12,28,9,4,3,17,19
16,16,2016-01-16,@,Vanderbilt,L,63,71,25,52,.481,6,19,.316,7,20,.350,9,39,7,4,5,12,23,,20,49,.408,9,16,.563,22,36,.611,5,28,14,5,1,6,18
17,17,2016-01-19,@,Auburn,L,77,83,25,60,.417,8,30,.267,19,28,.679,9,34,9,3,1,10,29,,22,56,.393,11,30,.367,28,40,.700,11,37,9,1,3,11,24
18,18,2016-01-23,,LSU,L,70,72,24,58,.414,10,25,.400,12,19,.632,12,33,11,5,7,11,12,,29,59,.492,4,10,.400,10,14,.714,11,37,14,5,0,10,19
19,19,2016-01-26,,Tennessee,W,63,57,24,60,.400,4,21,.190,11,13,.846,11,38,8,9,5,16,14,,22,65,.338,8,33,.242,5,5,1.000,8,31,11,9,5,16,16
20,20,2016-01-30,@,South Carolina,L,64,78,20,60,.333,6,24,.250,18,25,.720,10,37,12,5,7,15,30,,22,60,.367,6,19,.316,28,46,.609,20,49,10,9,5,10,19
21,21,2016-02-02,@,Mississippi State,W (1 OT),82,80,27,58,.466,11,29,.379,17,27,.630,12,36,14,5,5,19,16,,33,71,.465,3,18,.167,11,16,.688,12,34,14,9,4,12,25
22,22,2016-02-06,,Missouri,W,80,71,25,53,.472,9,28,.321,21,33,.636,14,37,14,4,9,12,18,,24,57,.421,3,16,.188,20,24,.833,8,26,8,5,0,9,23
23,23,2016-02-10,,Texas A&M,W,63,62,22,55,.400,8,25,.320,11,16,.688,13,32,10,12,3,11,21,,19,45,.422,8,17,.471,16,23,.696,7,27,8,6,2,13,18
24,24,2016-02-13,@,Florida,W,61,55,21,50,.420,5,12,.417,14,24,.583,3,29,10,8,5,10,22,,18,63,.286,3,21,.143,16,27,.593,20,48,5,6,4,12,18
25,25,2016-02-17,@,LSU,W,76,69,25,54,.463,11,33,.333,15,18,.833,9,38,10,3,4,14,19,,22,57,.386,5,20,.250,20,35,.571,10,32,16,9,0,5,14
26,26,2016-02-20,,Mississippi State,L,61,67,22,52,.423,6,21,.286,11,21,.524,11,35,8,4,5,11,13,,26,53,.491,7,17,.412,8,15,.533,7,28,8,7,0,11,21
27,27,2016-02-23,@,Kentucky,L,53,78,17,48,.354,6,15,.400,13,18,.722,6,29,6,0,4,12,23,,27,59,.458,2,10,.200,22,28,.786,13,37,15,6,5,4,15
28,28,2016-02-27,,Auburn,W,65,57,21,54,.389,6,19,.316,17,29,.586,11,34,12,7,4,13,23,,20,47,.426,5,14,.357,12,27,.444,8,33,7,4,3,18,24
29,29,2016-03-02,,Arkansas,L,61,62,20,45,.444,6,18,.333,15,23,.652,6,28,7,4,8,10,14,,24,58,.414,3,11,.273,11,15,.733,11,30,11,3,3,6,20
30,30,2016-03-05,@,Georgia,L,63,70,21,53,.396,11,26,.423,10,18,.556,7,24,13,7,5,8,23,,20,53,.377,4,15,.267,26,32,.813,15,40,15,3,2,14,19
