Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-19,@,Grand Canyon,L,46,79,18,60,.300,3,18,.167,7,13,.538,7,26,2,7,2,18,28,,24,49,.490,4,13,.308,27,36,.750,10,41,11,8,6,16,17
2,2,2015-11-22,@,UTEP,L,66,88,22,62,.355,7,22,.318,15,22,.682,13,37,13,1,1,17,20,,30,61,.492,8,20,.400,20,25,.800,6,35,23,6,7,9,19
3,3,2015-11-24,@,Portland,L,65,97,23,63,.365,6,17,.353,13,19,.684,17,36,8,3,4,18,18,,36,66,.545,15,31,.484,10,17,.588,10,29,24,14,9,8,20
4,4,2015-11-27,N,Oakland,L,51,84,17,58,.293,6,20,.300,11,22,.500,11,33,8,4,5,18,16,,32,60,.533,8,18,.444,12,18,.667,10,43,17,10,5,17,23
5,5,2015-11-28,N,Florida A&M,L,71,73,26,59,.441,3,19,.158,16,23,.696,13,35,8,4,5,14,14,,27,56,.482,8,16,.500,11,19,.579,11,33,18,7,4,14,18
6,6,2015-11-30,@,Indiana,L,70,112,28,67,.418,6,16,.375,8,13,.615,13,23,8,6,2,12,21,,39,58,.672,15,26,.577,19,25,.760,11,36,24,12,5,12,15
7,7,2015-12-05,@,Mercer,L,43,68,13,46,.283,4,20,.200,13,20,.650,4,19,6,2,1,11,19,,22,45,.489,6,13,.462,18,22,.818,7,34,17,7,3,12,21
8,8,2015-12-14,,Blue Mountain College,W,68,60,24,45,.533,0,10,.000,20,29,.690,9,26,10,1,2,15,13,,25,47,.532,5,15,.333,5,9,.556,4,17,6,5,2,14,22
9,9,2015-12-19,N,Tennessee State,L,76,81,28,63,.444,11,25,.440,9,14,.643,12,30,16,5,3,12,16,,29,55,.527,9,16,.563,14,19,.737,9,31,23,6,9,14,18
10,10,2015-12-21,@,UT-Martin,L,47,70,14,54,.259,2,18,.111,17,28,.607,11,33,6,6,0,14,14,,26,62,.419,10,28,.357,8,12,.667,13,39,16,6,2,14,19
11,11,2015-12-30,,Louisiana College,W,81,69,27,59,.458,7,12,.583,20,36,.556,13,32,8,8,0,12,19,,27,60,.450,4,20,.200,11,15,.733,14,38,7,3,3,13,24
12,12,2016-01-02,@,Prairie View,W,73,70,26,49,.531,6,16,.375,15,22,.682,7,29,12,4,4,18,19,,24,55,.436,7,21,.333,15,23,.652,10,24,11,8,2,15,20
13,13,2016-01-04,@,Texas Southern,L,58,74,22,71,.310,3,17,.176,11,15,.733,14,33,10,3,2,7,18,,23,56,.411,10,25,.400,18,23,.783,13,42,15,4,6,11,16
14,14,2016-01-09,,Jackson State,L (1 OT),71,80,26,70,.371,10,26,.385,9,16,.563,13,36,11,2,2,15,19,,28,63,.444,10,21,.476,14,26,.538,9,36,12,10,6,4,14
15,15,2016-01-11,,Grambling,W,69,53,23,55,.418,8,22,.364,15,26,.577,11,33,6,9,4,16,23,,14,36,.389,3,10,.300,22,34,.647,3,24,4,6,0,13,22
16,16,2016-01-16,@,Mississippi Valley State,W (4 OT),93,87,30,68,.441,3,21,.143,30,43,.698,11,43,4,8,2,21,22,,29,67,.433,5,20,.250,24,30,.800,8,33,13,12,1,16,29
17,17,2016-01-18,@,Arkansas-Pine Bluff,W,73,65,22,46,.478,4,12,.333,25,36,.694,11,28,8,7,8,15,20,,20,47,.426,6,19,.316,19,24,.792,5,15,5,6,3,14,28
18,18,2016-01-23,,Alabama A&M,W,63,58,22,61,.361,5,18,.278,14,18,.778,13,32,5,4,1,13,12,,21,48,.438,9,22,.409,7,14,.500,7,32,7,3,1,12,14
19,19,2016-01-25,,Alabama State,W,77,72,23,51,.451,8,15,.533,23,27,.852,6,26,11,3,5,12,17,,22,55,.400,4,13,.308,24,29,.828,13,30,7,5,1,8,19
20,20,2016-01-30,@,Southern,L,64,75,27,61,.443,7,18,.389,3,11,.273,11,33,5,3,4,12,21,,26,57,.456,8,20,.400,15,23,.652,9,36,14,8,1,6,16
21,21,2016-02-06,@,Jackson State,W,72,64,24,51,.471,7,18,.389,17,20,.850,9,32,10,4,3,14,18,,22,59,.373,5,26,.192,15,23,.652,14,30,7,8,0,9,20
22,22,2016-02-08,@,Grambling,W,66,63,19,38,.500,5,14,.357,23,31,.742,3,26,11,4,3,13,23,,20,48,.417,6,20,.300,17,27,.630,5,25,11,5,1,12,25
23,23,2016-02-13,,Mississippi Valley State,W (1 OT),72,71,27,62,.435,12,32,.375,6,11,.545,10,36,12,5,5,16,12,,26,58,.448,7,18,.389,12,17,.706,5,27,13,8,1,13,13
24,24,2016-02-15,,Arkansas-Pine Bluff,W,79,60,24,44,.545,11,20,.550,20,31,.645,7,28,18,6,8,11,20,,22,69,.319,4,25,.160,12,16,.750,16,34,11,5,1,9,19
25,25,2016-02-20,@,Alabama A&M,W,62,58,22,42,.524,6,15,.400,12,17,.706,6,29,9,4,3,9,16,,21,53,.396,4,21,.190,12,14,.857,5,18,13,5,0,9,16
26,26,2016-02-22,@,Alabama State,L,60,73,19,50,.380,2,13,.154,20,30,.667,11,33,7,3,5,18,18,,27,60,.450,6,22,.273,13,18,.722,9,36,16,11,2,11,23
27,27,2016-02-27,,Southern,W,70,56,24,64,.375,5,26,.192,17,22,.773,15,34,9,6,6,13,12,,20,50,.400,7,13,.538,9,14,.643,4,25,6,5,5,16,22
28,28,2016-03-03,,Prairie View,W,81,64,26,51,.510,7,16,.438,22,25,.880,12,37,13,4,7,19,16,,20,61,.328,6,23,.261,18,27,.667,11,23,6,7,1,11,23
29,29,2016-03-05,,Texas Southern,L,66,76,24,61,.393,8,28,.286,10,12,.833,7,28,11,5,7,8,25,,23,49,.469,12,20,.600,18,27,.667,8,29,19,1,3,7,8
