,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Rhode Island,L,42,65,16,46,.348,2,14,.143,8,13,.615,7,23,4,8,3,16,27,,24,46,.522,4,13,.308,13,31,.419,10,31,8,8,5,13,17
2,2,2015-11-17,,Hampton,L,48,61,20,49,.408,3,12,.250,5,8,.625,8,24,9,5,2,15,21,,23,49,.469,2,10,.200,13,19,.684,7,26,11,3,3,14,15
3,3,2015-11-21,@,Saint Francis (PA),L,48,68,16,47,.340,5,23,.217,11,20,.550,7,26,11,2,4,11,21,,24,57,.421,5,20,.250,15,24,.625,11,40,11,6,1,8,24
4,4,2015-11-25,@,VCU,L,44,72,17,37,.459,2,11,.182,8,16,.500,2,26,7,4,6,21,23,,24,61,.393,6,18,.333,18,28,.643,16,39,13,16,4,8,22
5,5,2015-11-28,@,New Hampshire,W,68,50,25,53,.472,9,25,.360,9,17,.529,5,31,6,8,4,6,17,,16,44,.364,1,14,.071,17,25,.680,4,31,7,3,0,12,17
6,6,2015-12-01,@,Mount St. Mary's,L,56,81,21,49,.429,4,11,.364,10,14,.714,11,27,10,6,1,21,13,,32,56,.571,7,16,.438,10,13,.769,9,25,19,12,2,11,18
7,7,2015-12-04,@,Youngstown State,W,60,56,23,53,.434,10,28,.357,4,6,.667,7,27,14,9,2,9,10,,24,55,.436,6,20,.300,2,2,1.000,6,24,14,2,3,13,11
8,8,2015-12-06,@,Wagner,L,48,55,15,46,.326,6,16,.375,12,17,.706,7,31,10,7,4,19,23,,18,57,.316,2,16,.125,17,18,.944,11,33,7,11,5,16,19
9,9,2015-12-17,,Stony Brook,L,68,86,28,52,.538,6,16,.375,6,9,.667,1,16,17,6,4,13,16,,33,55,.600,7,13,.538,13,18,.722,6,27,20,8,4,13,15
10,10,2015-12-20,,Maryland-Eastern Shore,L,64,79,25,42,.595,7,17,.412,7,11,.636,2,19,20,6,3,20,14,,30,54,.556,7,16,.438,12,19,.632,10,25,12,15,0,11,11
11,11,2015-12-22,@,LSU,L,51,79,20,45,.444,6,21,.286,5,6,.833,6,19,10,7,1,20,16,,32,52,.615,3,6,.500,12,16,.750,5,21,18,14,4,7,8
12,12,2015-12-30,@,Loyola (MD),L,67,75,23,50,.460,4,11,.364,17,25,.680,4,18,14,8,0,8,20,,20,40,.500,8,13,.615,27,31,.871,5,29,12,4,2,14,24
13,13,2016-01-03,,Colgate,L,37,56,14,40,.350,4,15,.267,5,6,.833,6,23,8,5,0,15,16,,23,43,.535,5,13,.385,5,9,.556,5,25,14,6,2,12,14
14,14,2016-01-06,@,Bucknell,L,54,72,19,58,.328,8,23,.348,8,11,.727,12,31,8,2,4,11,23,,22,47,.468,1,11,.091,27,34,.794,8,33,10,8,4,7,16
15,15,2016-01-09,,Lehigh,L,50,65,20,54,.370,7,22,.318,3,4,.750,6,24,11,5,3,14,18,,23,49,.469,3,13,.231,16,22,.727,7,35,10,7,2,12,11
16,16,2016-01-13,,Boston University,L,50,61,17,49,.347,9,29,.310,7,13,.538,7,30,9,6,0,14,19,,22,48,.458,5,16,.313,12,23,.522,8,30,15,6,3,10,14
17,17,2016-01-17,@,Army,L,45,65,17,47,.362,3,16,.188,8,12,.667,4,20,9,5,1,11,20,,22,55,.400,6,18,.333,15,19,.789,13,37,11,9,4,7,16
18,18,2016-01-20,@,Lafayette,W,81,73,27,50,.540,9,22,.409,18,19,.947,7,20,11,5,2,9,18,,25,42,.595,8,15,.533,15,18,.833,5,21,7,3,0,15,16
19,19,2016-01-27,@,Navy,W,63,58,20,47,.426,9,23,.391,14,15,.933,7,28,13,6,2,13,20,,21,46,.457,2,11,.182,14,20,.700,3,22,11,6,2,12,17
20,20,2016-01-30,@,Colgate,W,54,49,16,36,.444,8,18,.444,14,21,.667,2,21,10,6,1,14,13,,19,43,.442,4,16,.250,7,11,.636,4,24,7,7,2,17,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-01,,Holy Cross,W,58,45,19,45,.422,5,18,.278,15,18,.833,4,28,15,6,2,10,15,,18,50,.360,2,14,.143,7,15,.467,9,28,8,7,0,10,16
22,22,2016-02-03,,Bucknell,W,69,55,22,40,.550,6,13,.462,19,25,.760,3,29,12,7,1,13,20,,19,51,.373,0,15,.000,17,26,.654,7,27,5,9,2,12,23
