,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Jacksonville,W,76,68,24,65,.369,8,23,.348,20,30,.667,16,47,16,3,5,12,16,,24,62,.387,9,21,.429,11,18,.611,7,29,10,6,4,10,26
2,2,2015-11-17,,Furman,L,70,79,22,52,.423,8,19,.421,18,29,.621,10,30,13,6,1,12,24,,24,51,.471,10,21,.476,21,32,.656,13,37,13,3,2,12,23
3,3,2015-11-20,@,Hampton,L,61,82,21,61,.344,4,17,.235,15,23,.652,10,30,4,4,4,15,27,,27,60,.450,6,16,.375,22,36,.611,16,47,11,8,8,18,23
4,4,2015-11-22,@,Tulane,L,48,76,19,65,.292,4,24,.167,6,14,.429,9,22,7,9,0,12,18,,29,53,.547,6,14,.429,12,17,.706,7,46,15,5,2,18,21
5,5,2015-11-26,N,Liberty,W,73,62,18,40,.450,8,17,.471,29,36,.806,8,32,9,3,6,17,22,,21,52,.404,8,20,.400,12,17,.706,4,20,12,2,2,13,32
6,6,2015-11-27,N,Mercer,L,70,71,24,52,.462,13,29,.448,9,16,.563,9,26,13,6,3,13,18,,25,49,.510,5,11,.455,16,19,.842,7,24,11,6,3,14,19
7,7,2015-11-29,N,Stephen F. Austin,L,84,94,31,46,.674,5,11,.455,17,20,.850,5,19,12,6,0,25,27,,35,56,.625,5,16,.313,19,31,.613,11,23,21,11,2,14,27
8,8,2015-12-06,N,Hofstra,L,80,86,27,64,.422,11,25,.440,15,18,.833,14,36,12,2,9,16,25,,31,61,.508,9,18,.500,15,27,.556,10,29,15,8,7,7,18
9,9,2015-12-15,@,Texas,L,55,67,18,60,.300,12,20,.600,7,10,.700,9,36,11,1,1,13,19,,27,69,.391,5,13,.385,8,18,.444,18,46,12,4,15,9,16
10,10,2015-12-19,,Charlotte,L,66,82,22,54,.407,8,22,.364,14,23,.609,6,21,14,5,5,10,13,,30,59,.508,11,18,.611,11,17,.647,10,34,20,5,1,10,24
11,11,2015-12-21,@,UNC,L,70,94,27,61,.443,8,17,.471,8,13,.615,9,25,13,8,1,18,22,,34,72,.472,3,11,.273,23,27,.852,20,46,22,6,6,11,18
12,12,2015-12-31,@,Louisiana-Monroe,L,56,72,17,53,.321,4,21,.190,18,24,.750,9,25,5,6,3,14,21,,27,55,.491,2,10,.200,16,22,.727,8,32,13,6,2,11,21
13,13,2016-01-02,@,Louisiana-Lafayette,L,58,79,20,61,.328,3,17,.176,15,20,.750,9,30,4,8,2,14,24,,28,59,.475,4,16,.250,19,24,.792,9,40,11,7,5,13,22
14,14,2016-01-07,,Texas-Arlington,L,67,71,25,60,.417,10,29,.345,7,16,.438,5,35,16,7,2,20,25,,23,64,.359,4,17,.235,21,36,.583,13,40,16,14,2,12,17
15,15,2016-01-09,,Texas State,W,76,56,27,56,.482,9,27,.333,13,16,.813,9,39,15,5,5,15,26,,20,57,.351,3,8,.375,13,26,.500,8,26,7,4,3,9,19
16,16,2016-01-14,@,Arkansas-Little Rock,L,55,81,14,48,.292,8,27,.296,19,25,.760,11,36,8,0,2,19,20,,30,69,.435,8,17,.471,13,18,.722,15,37,12,7,4,6,22
17,17,2016-01-16,@,Arkansas State,W,86,72,29,69,.420,12,30,.400,16,24,.667,16,46,13,3,5,12,26,,25,68,.368,2,11,.182,20,29,.690,11,35,10,6,4,10,19
18,18,2016-01-21,,Georgia State,W,76,67,23,53,.434,12,26,.462,18,21,.857,6,33,17,3,6,20,20,,25,59,.424,4,9,.444,13,21,.619,7,23,8,8,3,15,19
19,19,2016-01-25,,Georgia Southern,L,100,101,30,63,.476,12,31,.387,28,38,.737,12,28,19,1,2,13,27,,32,63,.508,8,22,.364,29,36,.806,12,33,10,8,2,11,32
20,20,2016-01-28,@,Troy,W,75,71,25,52,.481,8,14,.571,17,23,.739,7,37,12,2,3,22,26,,23,61,.377,5,11,.455,20,32,.625,11,30,11,10,3,10,21
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,@,South Alabama,L,60,73,21,66,.318,8,29,.276,10,15,.667,10,27,12,5,4,8,16,,29,58,.500,5,14,.357,10,12,.833,10,39,11,2,4,17,16
22,22,2016-02-04,,Louisiana-Lafayette,L,76,87,27,67,.403,6,20,.300,16,23,.696,13,38,10,5,2,13,30,,31,59,.525,5,14,.357,20,38,.526,9,37,8,7,5,12,22
23,23,2016-02-06,,Louisiana-Monroe,L,90,91,31,54,.574,15,25,.600,13,19,.684,6,21,17,1,1,14,26,,30,57,.526,5,11,.455,26,32,.813,10,28,6,6,0,11,18
