,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Sacramento State,L,63,66,23,55,.418,2,17,.118,15,27,.556,8,31,12,6,5,10,19,,26,56,.464,6,17,.353,8,14,.571,11,35,14,3,5,17,25
2,2,2015-11-16,,Belmont,W,83,74,27,57,.474,10,22,.455,19,26,.731,11,42,19,7,5,22,26,,24,63,.381,8,31,.258,18,24,.750,9,30,13,9,2,14,21
3,3,2015-11-18,,Kennesaw State,W,91,53,33,63,.524,6,20,.300,19,27,.704,15,51,15,6,4,11,19,,20,61,.328,5,20,.250,8,13,.615,7,22,9,6,1,13,23
4,4,2015-11-23,N,North Carolina State,W,79,76,29,68,.426,6,23,.261,15,21,.714,18,42,10,5,0,12,27,,26,58,.448,5,16,.313,19,28,.679,10,32,14,3,3,8,22
5,5,2015-11-24,N,Marquette,L (1 OT),73,78,26,69,.377,4,18,.222,17,23,.739,13,45,10,3,4,13,28,,24,57,.421,3,14,.214,27,39,.692,6,36,10,6,6,11,23
6,6,2015-11-29,,UCSB,W,70,68,20,59,.339,7,25,.280,23,26,.885,14,32,10,4,2,9,14,,26,52,.500,8,16,.500,8,8,1.000,4,28,21,6,3,15,23
7,7,2015-12-02,@,Creighton,W,79,77,31,60,.517,7,17,.412,10,16,.625,11,33,21,8,0,12,16,,30,59,.508,11,23,.478,6,11,.545,7,27,16,8,2,13,16
8,8,2015-12-05,,Texas A&M,W,67,54,20,55,.364,10,30,.333,17,24,.708,7,36,14,4,6,10,18,,19,61,.311,6,26,.231,10,21,.476,12,39,11,6,5,14,23
9,9,2015-12-12,@,Kentucky,L,58,72,23,62,.371,4,20,.200,8,15,.533,12,32,6,5,0,17,24,,24,55,.436,6,21,.286,18,26,.692,10,33,15,6,8,14,20
10,10,2015-12-16,@,UNLV,W,66,56,23,57,.404,4,19,.211,16,24,.667,9,35,8,6,1,11,16,,19,50,.380,7,21,.333,11,15,.733,6,28,14,5,8,16,23
11,11,2015-12-19,,Houston Baptist,W,98,79,31,64,.484,12,26,.462,24,30,.800,13,34,20,6,6,8,18,,27,64,.422,8,20,.400,17,23,.739,12,32,18,4,6,10,24
12,12,2015-12-22,,Stephen F. Austin,W,80,73,25,51,.490,8,24,.333,22,30,.733,10,33,15,3,1,17,19,,28,62,.452,8,30,.267,9,11,.818,10,28,16,9,1,13,28
13,13,2015-12-28,,Cal State Bakersfield,W,75,59,21,52,.404,9,20,.450,24,31,.774,6,26,7,8,6,8,19,,22,60,.367,2,12,.167,13,18,.722,15,39,14,5,7,17,24
14,14,2016-01-03,,Arizona,L,82,94,29,63,.460,8,25,.320,16,19,.842,8,28,10,6,5,9,25,,30,54,.556,7,12,.583,27,36,.750,8,32,15,5,5,8,20
