,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-10,N,Tuskegee,W,66,64,18,46,.391,6,14,.429,24,36,.667,7,25,10,12,2,20,24,,21,55,.382,5,16,.313,17,28,.607,16,38,7,6,3,22,29
2,2,2013-11-11,@,Morehouse,W,67,54,22,49,.449,7,20,.350,16,19,.842,6,29,7,9,8,19,16,,21,54,.389,2,18,.111,10,13,.769,10,29,12,10,0,22,19
3,3,2013-11-15,@,Oklahoma State,L,63,97,24,58,.414,8,18,.444,7,12,.583,6,28,13,8,1,18,29,,30,58,.517,10,25,.400,27,41,.659,11,38,17,7,6,11,17
4,4,2013-11-17,@,Air Force,L,64,67,23,53,.434,8,21,.381,10,13,.769,9,28,13,12,6,14,23,,19,45,.422,9,21,.429,20,26,.769,8,27,16,5,6,14,15
5,5,2013-11-24,@,SMU,L,61,87,22,56,.393,6,28,.214,11,15,.733,5,14,13,14,1,14,20,,32,48,.667,3,12,.250,20,25,.800,9,38,20,11,5,19,14
6,6,2013-11-26,@,Texas A&M,L,55,88,21,62,.339,6,20,.300,7,13,.538,14,29,10,10,2,18,22,,28,47,.596,9,15,.600,23,35,.657,9,32,19,9,10,15,13
7,7,2013-11-29,N,Sam Houston State,L,49,75,13,43,.302,6,17,.353,17,25,.680,11,25,8,7,2,20,28,,21,41,.512,9,14,.643,24,37,.649,8,29,15,6,4,17,24
8,8,2013-11-30,N,Hampton,L,65,72,21,47,.447,5,9,.556,18,24,.750,6,21,9,8,3,14,17,,23,50,.460,9,24,.375,17,24,.708,12,32,16,7,6,16,21
9,9,2013-12-13,@,Oregon State,L,63,77,24,52,.462,4,15,.267,11,16,.688,9,23,17,9,2,18,24,,27,45,.600,4,12,.333,19,29,.655,8,28,20,11,3,19,17
10,10,2013-12-17,@,Creighton,L,51,88,19,51,.373,6,21,.286,7,12,.583,9,23,10,7,4,15,18,,27,56,.482,10,30,.333,24,26,.923,13,34,21,7,3,10,10
11,11,2013-12-22,@,Iowa,L,61,86,22,65,.338,8,26,.308,9,17,.529,14,25,14,19,2,18,20,,29,47,.617,10,17,.588,18,27,.667,10,40,22,10,4,27,12
12,12,2013-12-30,@,Auburn,L,59,91,21,64,.328,8,20,.400,9,17,.529,14,26,11,12,2,20,19,,34,52,.654,10,19,.526,13,22,.591,9,39,24,11,12,21,17
13,13,2014-01-04,@,Mississippi Valley State,W,78,73,26,45,.578,4,13,.308,22,31,.710,5,20,6,6,1,20,22,,24,54,.444,4,21,.190,21,30,.700,13,30,11,13,2,25,24
14,14,2014-01-11,@,Alabama A&M,W,72,64,20,50,.400,6,19,.316,26,33,.788,9,30,10,13,0,14,23,,19,42,.452,7,19,.368,19,29,.655,6,26,12,7,4,18,22
15,15,2014-01-13,@,Alabama State,L,64,77,20,45,.444,5,15,.333,19,29,.655,6,29,12,6,4,17,23,,24,51,.471,9,22,.409,20,28,.714,6,25,18,7,6,13,21
16,16,2014-01-18,,Southern,L,56,60,17,49,.347,4,19,.211,18,23,.783,10,39,14,3,2,10,22,,18,51,.353,4,12,.333,20,36,.556,8,29,10,3,4,6,22
17,17,2014-01-20,,Alcorn State,L,45,71,17,44,.386,2,11,.182,9,16,.563,9,31,9,3,2,15,14,,25,49,.510,8,18,.444,13,17,.765,4,25,20,6,3,6,16
18,18,2014-01-25,@,Prairie View,L,62,71,22,55,.400,6,23,.261,12,19,.632,11,31,12,5,2,13,15,,24,50,.480,11,27,.407,12,18,.667,5,28,16,6,4,11,17
19,19,2014-01-27,@,Texas Southern,L,71,72,24,59,.407,14,27,.519,9,12,.750,8,23,15,10,4,15,21,,26,53,.491,3,13,.231,17,24,.708,14,31,16,7,3,17,12
20,20,2014-02-01,,Grambling,W,66,64,26,47,.553,1,12,.083,13,23,.565,6,22,18,10,1,9,18,,22,49,.449,6,21,.286,14,24,.583,10,23,14,6,0,15,17
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-02-03,,Jackson State,W,70,69,21,56,.375,9,24,.375,19,32,.594,9,28,15,8,3,8,19,,22,53,.415,7,17,.412,18,21,.857,11,39,11,6,3,18,23
22,22,2014-02-08,,Alabama A&M,W,64,61,20,44,.455,7,17,.412,17,25,.680,6,31,11,7,0,20,17,,21,52,.404,7,18,.389,12,16,.750,7,30,13,11,1,13,20
23,23,2014-02-10,,Alabama State,W,76,71,25,56,.446,7,14,.500,19,29,.655,8,27,13,11,1,7,15,,22,48,.458,7,16,.438,20,24,.833,8,35,14,6,5,16,18
