Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-11,@,Jackson State,W,65,61,21,55,.382,9,23,.391,14,21,.667,8,30,11,5,3,12,13,,26,63,.413,2,12,.167,7,13,.538,13,42,6,7,7,15,22
2,2,2013-11-13,,UT-Martin,W,72,62,26,59,.441,9,25,.360,11,18,.611,6,31,13,8,5,13,12,,25,69,.362,2,17,.118,10,13,.769,14,42,9,7,3,15,18
3,3,2013-11-16,@,Wyoming,L,64,85,20,56,.357,9,26,.346,15,20,.750,7,23,9,3,3,10,22,,27,48,.563,8,17,.471,23,30,.767,5,32,19,6,3,9,19
4,4,2013-11-18,@,Colorado,L,70,93,24,58,.414,7,19,.368,15,19,.789,4,26,11,5,4,16,21,,30,64,.469,9,23,.391,24,30,.800,11,39,16,6,5,9,16
5,5,2013-11-24,,Central Arkansas,W,99,56,30,61,.492,7,18,.389,32,40,.800,13,41,13,9,2,16,11,,21,60,.350,8,27,.296,6,8,.750,5,18,8,9,2,23,30
6,6,2013-11-30,@,Lamar,W,95,89,33,58,.569,13,26,.500,16,28,.571,9,28,26,8,0,11,19,,35,56,.625,4,9,.444,15,20,.750,3,22,17,3,2,10,23
7,7,2013-12-02,,Niagara,W,86,61,27,62,.435,6,18,.333,26,32,.813,10,39,14,9,7,12,15,,20,63,.317,8,21,.381,13,18,.722,8,30,7,5,0,18,24
8,8,2013-12-14,@,Nebraska,L,67,79,24,55,.436,7,17,.412,12,23,.522,10,32,10,7,1,21,22,,29,60,.483,8,16,.500,13,18,.722,8,34,19,15,1,16,21
9,9,2013-12-17,,Toledo,L,65,78,26,57,.456,9,24,.375,4,6,.667,3,21,12,5,1,12,15,,29,62,.468,1,8,.125,19,23,.826,12,40,14,8,1,10,8
10,10,2013-12-21,@,Marshall,W,83,82,29,62,.468,12,31,.387,13,23,.565,10,38,17,5,3,10,22,,27,70,.386,10,31,.323,18,26,.692,15,43,14,4,4,10,19
11,11,2013-12-30,,Southern Arkansas,W,91,66,27,56,.482,8,25,.320,29,33,.879,11,31,16,5,2,10,15,,25,58,.431,7,22,.318,9,12,.750,9,28,9,7,2,17,23
12,12,2014-01-02,@,Texas-Arlington,W,82,66,29,51,.569,10,23,.435,14,25,.560,5,33,16,3,5,14,22,,20,60,.333,5,22,.227,21,33,.636,13,32,9,9,1,12,17
13,13,2014-01-04,@,Texas State,W,74,69,24,45,.533,14,22,.636,12,15,.800,2,23,21,8,2,15,19,,25,59,.424,4,13,.308,15,19,.789,10,29,9,8,0,12,15
14,14,2014-01-09,,Troy,L,84,98,28,57,.491,8,24,.333,20,23,.870,4,21,12,10,2,13,18,,32,58,.552,14,27,.519,20,26,.769,10,36,14,7,1,16,19
15,15,2014-01-11,,South Alabama,W,72,60,23,54,.426,6,24,.250,20,30,.667,10,38,10,3,4,8,16,,19,55,.345,6,21,.286,16,21,.762,8,29,5,3,2,9,22
16,16,2014-01-16,@,Georgia State,L,72,73,27,63,.429,11,28,.393,7,11,.636,13,36,19,4,2,12,11,,28,58,.483,7,21,.333,10,11,.909,5,24,14,6,3,6,12
17,17,2014-01-18,@,Western Kentucky,L (2 OT),77,82,28,66,.424,6,24,.250,15,21,.714,9,35,15,9,4,14,16,,31,75,.413,9,31,.290,11,20,.550,15,47,12,5,3,14,20
18,18,2014-01-25,,Arkansas-Little Rock,W,77,49,23,59,.390,5,21,.238,26,32,.813,12,45,9,10,5,10,24,,14,58,.241,2,13,.154,19,26,.731,11,32,2,5,7,12,25
19,19,2014-01-30,@,Louisiana-Monroe,L,65,72,21,51,.412,11,24,.458,12,17,.706,7,27,17,4,2,14,19,,25,54,.463,4,11,.364,18,25,.720,9,32,15,6,7,6,18
20,20,2014-02-01,@,Troy,W,83,73,24,55,.436,11,25,.440,24,29,.828,8,27,15,11,3,9,21,,27,58,.466,7,27,.259,12,21,.571,11,33,11,2,4,15,23
21,21,2014-02-10,,Western Kentucky,W,72,58,19,48,.396,5,17,.294,29,34,.853,8,29,12,10,3,8,18,,17,46,.370,7,19,.368,17,24,.708,5,27,8,5,0,17,24
22,22,2014-02-13,@,South Alabama,W,85,61,28,53,.528,11,23,.478,18,18,1.000,6,27,16,10,2,6,14,,22,48,.458,6,19,.316,11,18,.611,6,25,10,4,1,14,16
23,23,2014-02-15,@,Louisiana-Lafayette,L,67,85,21,51,.412,6,19,.316,19,28,.679,2,16,12,9,1,16,22,,31,59,.525,7,16,.438,16,24,.667,13,39,15,9,4,18,22
