Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Southern,W,86,68,32,66,.485,8,15,.533,14,26,.538,13,38,21,10,6,14,24,,22,53,.415,4,12,.333,20,28,.714,4,22,9,8,5,17,22
2,2,2015-11-18,,Akron,L,80,88,24,63,.381,6,20,.300,26,32,.813,12,32,17,7,4,8,23,,29,57,.509,13,28,.464,17,25,.680,11,30,16,3,4,11,25
3,3,2015-11-20,,Charleston Southern,W,93,75,32,59,.542,7,13,.538,22,30,.733,7,34,23,6,8,13,24,,23,66,.348,12,31,.387,17,26,.654,15,32,15,5,1,12,25
4,4,2015-11-26,N,Georgia Tech,L,73,83,26,60,.433,6,14,.429,15,23,.652,7,24,14,6,5,12,23,,28,60,.467,8,16,.500,19,27,.704,16,44,15,5,2,15,20
5,5,2015-11-27,N,Stanford,L,66,69,23,66,.348,6,17,.353,14,16,.875,15,36,15,7,3,12,25,,23,49,.469,4,12,.333,19,32,.594,8,26,10,4,3,15,19
6,6,2015-12-01,,Northwestern State,W,117,78,44,79,.557,6,15,.400,23,30,.767,15,45,24,13,2,10,17,,29,62,.468,10,29,.345,10,16,.625,4,25,21,2,5,25,24
7,7,2015-12-04,@,Wake Forest,L,85,88,32,69,.464,5,17,.294,16,19,.842,10,28,15,8,4,8,24,,31,60,.517,9,22,.409,17,23,.739,12,32,18,1,6,15,20
8,8,2015-12-08,,Evansville,W,89,76,28,52,.538,9,13,.692,24,30,.800,4,25,18,10,8,11,16,,28,57,.491,3,17,.176,17,19,.895,7,26,17,7,6,14,23
9,9,2015-12-12,,Tennessee Tech,W,83,57,31,62,.500,7,15,.467,14,21,.667,6,39,21,4,13,10,19,,20,59,.339,7,24,.292,10,20,.500,7,32,13,3,4,12,19
10,10,2015-12-19,N,Mercer,L (1 OT),66,69,24,63,.381,7,16,.438,11,15,.733,7,37,14,10,5,11,18,,24,66,.364,10,25,.400,11,14,.786,10,42,12,6,6,15,17
11,11,2015-12-22,,North Florida,W,97,72,42,79,.532,4,10,.400,9,16,.563,17,46,27,7,6,10,20,,23,59,.390,10,27,.370,16,21,.762,7,25,14,5,4,13,16
12,12,2015-12-30,@,Dayton,L (1 OT),81,85,28,61,.459,5,15,.333,20,28,.714,8,36,14,4,4,16,26,,26,56,.464,8,24,.333,25,36,.694,8,33,16,7,6,14,28
13,13,2016-01-02,@,Texas A&M,L,69,92,24,59,.407,6,16,.375,15,24,.625,10,34,16,4,2,15,19,,32,65,.492,11,26,.423,17,26,.654,10,37,20,11,4,10,21
14,14,2016-01-05,,Vanderbilt,W (1 OT),90,85,29,71,.408,6,14,.429,26,35,.743,9,31,13,15,5,8,27,,26,52,.500,10,20,.500,23,32,.719,5,40,20,1,2,25,25
15,15,2016-01-09,,Mississippi State,W,82,68,28,56,.500,16,24,.667,10,13,.769,4,32,23,10,9,16,17,,24,64,.375,7,22,.318,13,20,.650,13,31,13,6,3,14,12
16,16,2016-01-12,@,Missouri,W,94,61,37,59,.627,8,15,.533,12,15,.800,3,25,20,5,6,6,20,,19,49,.388,3,15,.200,20,23,.870,8,26,8,3,2,13,19
17,17,2016-01-16,@,LSU,L,74,76,30,66,.455,7,17,.412,7,11,.636,8,35,15,7,6,11,24,,27,58,.466,5,12,.417,17,31,.548,10,36,13,7,3,10,13
18,18,2016-01-21,,Kentucky,L,66,80,22,55,.400,2,12,.167,20,31,.645,8,28,12,3,5,9,23,,26,62,.419,5,16,.313,23,30,.767,13,38,9,5,9,6,25
19,19,2016-01-23,@,Georgia,L (1 OT),73,76,24,61,.393,8,19,.421,17,28,.607,8,34,14,8,6,11,23,,26,60,.433,8,20,.400,16,30,.533,11,43,13,6,5,12,23
20,20,2016-01-27,,Texas A&M,W,74,71,25,59,.424,8,21,.381,16,24,.667,8,28,17,7,7,12,25,,19,48,.396,5,13,.385,28,35,.800,12,42,10,6,2,20,25
21,21,2016-01-30,,Texas Tech,W (1 OT),75,68,24,57,.421,6,19,.316,21,28,.750,10,34,15,6,5,10,18,,26,62,.419,1,13,.077,15,19,.789,10,34,7,7,4,12,23
