Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Ferrum,W,93,54,37,67,.552,7,19,.368,12,17,.706,16,35,18,10,6,10,15,,21,54,.389,2,13,.154,10,13,.769,12,27,6,9,4,19,21
2,2,2015-11-15,@,Binghamton,W,75,60,25,61,.410,11,30,.367,14,20,.700,8,38,17,6,2,15,27,,19,52,.365,3,14,.214,19,33,.576,7,33,8,7,4,17,19
3,3,2015-11-18,@,Fairleigh Dickinson,W,96,85,35,54,.648,12,23,.522,14,23,.609,8,43,25,4,1,24,19,,36,77,.468,6,17,.353,7,17,.412,10,22,10,11,1,8,23
4,4,2015-11-22,@,George Washington,L,81,92,30,65,.462,12,28,.429,9,20,.450,8,29,20,4,1,15,27,,31,61,.508,4,16,.250,26,33,.788,10,39,14,8,5,11,19
5,5,2015-11-24,@,Tennessee,L,80,95,28,70,.400,10,27,.370,14,18,.778,14,38,17,1,2,14,14,,37,70,.529,10,22,.455,11,17,.647,8,36,17,6,10,7,19
6,6,2015-11-27,N,Arkansas-Pine Bluff,W,81,60,27,68,.397,11,25,.440,16,20,.800,19,48,20,7,1,11,13,,22,65,.338,8,20,.400,8,12,.667,14,38,10,5,5,17,18
7,7,2015-11-28,,Gardner-Webb,W (1 OT),103,98,36,64,.563,12,24,.500,19,26,.731,6,37,27,6,5,17,24,,34,75,.453,15,32,.469,15,25,.600,11,36,17,10,4,15,23
8,8,2015-12-02,@,Maine,W,84,71,32,74,.432,12,34,.353,8,11,.727,12,39,19,10,10,12,16,,31,76,.408,2,16,.125,7,11,.636,15,44,11,8,2,16,14
9,9,2015-12-08,@,Bryant,W,77,55,31,66,.470,14,38,.368,1,3,.333,7,38,19,6,1,9,21,,19,55,.345,1,8,.125,16,25,.640,9,34,8,5,3,12,12
10,10,2015-12-12,@,Air Force,W,90,80,26,58,.448,12,28,.429,26,38,.684,6,36,16,6,6,15,25,,29,62,.468,6,10,.600,16,32,.500,10,35,11,9,2,13,28
