Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Alabama-Birmingham,W,75,74,22,51,.431,7,19,.368,24,31,.774,8,34,10,7,8,14,19,,31,70,.443,4,13,.308,8,11,.727,13,35,19,8,6,13,20
2,2,2015-11-17,,Colorado,L,84,91,31,67,.463,10,24,.417,12,22,.545,12,27,13,8,3,10,22,,31,54,.574,8,15,.533,21,26,.808,8,33,13,2,5,16,23
3,3,2015-11-20,,Georgia Southern,W,92,62,29,59,.492,9,24,.375,25,33,.758,7,43,18,7,9,14,19,,19,61,.311,7,30,.233,17,25,.680,8,35,8,10,1,18,26
4,4,2015-11-27,,Northwestern State,W,119,81,43,74,.581,17,32,.531,16,23,.696,11,38,23,11,2,17,21,,27,62,.435,6,22,.273,21,24,.875,7,22,14,10,4,19,20
5,5,2015-12-02,@,Coastal Carolina,W,81,78,24,55,.436,11,31,.355,22,33,.667,11,32,15,5,1,13,26,,25,62,.403,8,28,.286,20,30,.667,12,35,10,8,1,13,26
6,6,2015-12-12,@,Middle Tennessee,L (1 OT),81,88,30,75,.400,10,26,.385,11,24,.458,17,46,12,5,2,14,24,,30,66,.455,8,22,.364,20,30,.667,13,46,14,5,3,11,21
7,7,2015-12-15,,Mercer,W,78,71,29,67,.433,9,26,.346,11,20,.550,13,37,17,6,6,7,14,,28,62,.452,6,19,.316,9,16,.563,14,43,15,3,2,11,19
8,8,2015-12-19,@,Xavier,L,61,85,21,52,.404,7,20,.350,12,19,.632,5,23,9,3,4,13,23,,29,58,.500,9,22,.409,18,24,.750,13,40,20,10,4,9,23
9,9,2015-12-22,N,New Mexico,W,83,78,28,59,.475,10,30,.333,17,24,.708,7,33,13,11,5,17,23,,25,54,.463,10,22,.455,18,27,.667,4,30,8,5,2,20,21
10,10,2015-12-23,N,Harvard,L,51,69,19,63,.302,6,25,.240,7,17,.412,14,37,10,6,2,15,19,,25,53,.472,8,21,.381,11,20,.550,7,34,15,2,4,15,17
11,11,2015-12-25,@,Hawaii,L,67,79,23,55,.418,12,29,.414,9,13,.692,7,30,12,4,2,16,28,,22,54,.407,10,22,.455,25,34,.735,10,34,10,5,5,11,20
