Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Bradley,L,53,54,20,55,.364,3,11,.273,10,20,.500,11,40,7,7,4,12,27,,15,47,.319,5,20,.250,19,32,.594,12,41,10,3,5,12,23
2,2,2015-11-16,,Eastern Illinois,W,73,56,25,60,.417,5,18,.278,18,24,.750,15,40,12,4,4,8,20,,16,49,.327,5,18,.278,19,27,.704,10,29,8,5,2,10,18
3,3,2015-11-20,@,Eastern Kentucky,L,81,89,29,61,.475,12,26,.462,11,18,.611,11,29,18,5,0,16,25,,26,46,.565,11,22,.500,26,30,.867,4,25,14,7,3,15,24
4,4,2015-11-21,N,Longwood,W,78,67,24,53,.453,6,21,.286,24,28,.857,6,35,16,10,3,12,14,,24,56,.429,8,21,.381,11,16,.688,5,28,18,8,0,13,25
5,5,2015-11-22,N,South Carolina State,W,72,60,23,55,.418,6,19,.316,20,27,.741,13,39,16,2,5,11,18,,22,59,.373,5,15,.333,11,16,.688,8,28,13,5,2,7,22
6,6,2015-11-25,,Indiana-Kokomo,W,90,54,30,58,.517,11,22,.500,19,22,.864,7,32,23,13,5,7,9,,22,60,.367,7,27,.259,3,3,1.000,7,27,12,3,0,17,16
7,7,2015-11-28,,Valparaiso,W,69,66,23,50,.460,7,19,.368,16,23,.696,6,35,13,4,7,8,23,,23,57,.404,7,20,.350,13,21,.619,8,31,14,5,1,7,22
8,8,2015-12-01,,IUPUI,W,61,58,23,54,.426,8,20,.400,7,15,.467,8,33,12,10,10,15,14,,24,62,.387,7,22,.318,3,10,.300,13,40,12,9,2,15,15
9,9,2015-12-05,,New Orleans,W,66,52,23,53,.434,7,23,.304,13,19,.684,11,34,12,10,5,13,14,,19,55,.345,4,14,.286,10,14,.714,11,32,11,6,1,14,17
10,10,2015-12-12,,Pepperdine,L,63,72,22,59,.373,9,23,.391,10,18,.556,9,36,13,2,3,11,16,,25,58,.431,10,19,.526,12,15,.800,6,37,14,3,3,9,19
11,11,2015-12-22,@,Indiana State,L,61,73,22,57,.386,6,22,.273,11,18,.611,8,34,10,9,3,16,23,,24,54,.444,6,18,.333,19,29,.655,8,38,9,7,0,13,16
12,12,2015-12-29,,Alabama A&M,W,63,62,21,52,.404,6,27,.222,15,22,.682,10,38,15,4,1,7,15,,25,53,.472,8,22,.364,4,13,.308,6,28,17,3,1,8,18
13,13,2015-12-31,,Chicago State,W,73,48,25,54,.463,11,23,.478,12,15,.800,6,37,16,6,7,19,18,,18,65,.277,6,29,.207,6,12,.500,13,36,5,7,2,16,19
14,14,2016-01-06,,Toledo,W,87,69,30,62,.484,13,30,.433,14,20,.700,11,35,17,10,5,6,19,,23,57,.404,9,26,.346,14,19,.737,8,30,14,5,3,12,17
15,15,2016-01-09,@,Ohio,L,73,79,25,57,.439,9,24,.375,14,15,.933,2,28,13,5,1,11,22,,24,56,.429,6,15,.400,25,31,.806,7,36,8,7,1,9,14
16,16,2016-01-12,@,Western Michigan,W,74,64,28,54,.519,10,22,.455,8,13,.615,5,30,22,6,1,12,21,,19,52,.365,5,18,.278,21,29,.724,7,25,7,7,1,10,16
17,17,2016-01-16,,Miami (OH),W,48,46,16,44,.364,7,18,.389,9,10,.900,6,27,10,5,4,15,15,,15,39,.385,4,9,.444,12,17,.706,4,24,6,7,0,15,14
18,18,2016-01-19,,Kent State,L,68,76,24,59,.407,11,24,.458,9,13,.692,12,27,18,5,2,9,21,,25,49,.510,6,14,.429,20,25,.800,10,36,14,3,8,11,18
