Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Marquette,W,83,80,30,66,.455,12,34,.353,11,17,.647,8,30,23,2,1,12,22,,28,65,.431,6,26,.231,18,27,.667,15,43,19,7,4,11,20
2,2,2015-11-16,@,Arizona State,L,74,83,24,63,.381,8,31,.258,18,24,.750,9,30,13,9,2,14,21,,27,57,.474,10,22,.455,19,26,.731,11,42,19,7,5,22,26
3,3,2015-11-18,,Western Kentucky,W,90,85,29,61,.475,11,29,.379,21,31,.677,9,33,21,8,1,13,16,,31,65,.477,10,24,.417,13,21,.619,15,40,11,4,4,15,26
4,4,2015-11-21,@,Evansville,L,88,93,35,63,.556,9,30,.300,9,13,.692,5,29,24,5,1,15,28,,31,60,.517,6,12,.500,25,38,.658,9,32,23,8,1,9,17
5,5,2015-11-23,N,South Alabama,W,98,85,36,57,.632,8,20,.400,18,27,.667,5,31,15,2,0,13,20,,32,73,.438,6,25,.240,15,22,.682,13,33,8,7,1,12,24
6,6,2015-11-24,@,Kennesaw State,W,80,55,32,59,.542,13,32,.406,3,7,.429,7,41,16,4,1,15,13,,23,68,.338,4,17,.235,5,8,.625,10,32,12,11,2,10,11
7,7,2015-11-28,@,BYU,L,81,95,29,59,.492,11,31,.355,12,15,.800,3,26,14,3,1,15,21,,33,73,.452,13,27,.481,16,24,.667,16,43,20,7,2,12,16
8,8,2015-12-01,,Lipscomb,W,105,89,35,59,.593,16,31,.516,19,24,.792,8,34,23,2,4,13,22,,29,60,.483,10,29,.345,21,30,.700,8,24,14,6,2,8,20
9,9,2015-12-03,@,Valparaiso,L,57,61,20,47,.426,7,25,.280,10,14,.714,4,31,11,4,4,19,18,,23,65,.354,6,25,.240,9,12,.750,12,36,8,6,2,10,20
10,10,2015-12-07,@,Lipscomb,W,93,84,32,56,.571,8,24,.333,21,24,.875,7,37,18,6,2,12,16,,28,68,.412,14,38,.368,14,18,.778,13,27,16,8,1,9,22
11,11,2015-12-15,,Ouachita,W,80,54,26,51,.510,8,25,.320,20,29,.690,6,37,12,5,7,13,13,,19,61,.311,6,21,.286,10,15,.667,8,31,10,9,2,16,28
12,12,2015-12-17,@,Middle Tennessee,L,62,83,23,61,.377,9,30,.300,7,12,.583,6,35,12,1,4,17,17,,32,69,.464,7,22,.318,12,19,.632,9,44,11,8,8,9,20
13,13,2015-12-19,@,Cleveland State,L,65,67,20,58,.345,6,23,.261,19,26,.731,13,37,12,5,3,13,13,,28,62,.452,6,15,.400,5,7,.714,10,35,14,8,5,12,23
14,14,2015-12-28,,Valparaiso,W,85,81,29,58,.500,8,24,.333,19,25,.760,6,31,20,5,4,14,20,,27,60,.450,9,22,.409,18,27,.667,9,35,9,8,4,12,25
15,15,2015-12-31,@,Southeast Missouri State,W,92,82,27,59,.458,17,39,.436,21,26,.808,9,38,23,6,5,14,17,,27,64,.422,10,19,.526,18,24,.750,13,38,13,7,1,13,23
16,16,2016-01-06,@,Southern Illinois-Edwardsville,W,85,77,31,55,.564,7,18,.389,16,22,.727,5,30,12,3,2,13,14,,29,69,.420,7,22,.318,12,13,.923,11,28,21,7,6,7,19
17,17,2016-01-09,,Eastern Illinois,W,85,59,28,58,.483,15,36,.417,14,17,.824,5,37,20,7,0,11,17,,24,64,.375,6,22,.273,5,12,.417,11,34,12,6,3,13,18
18,18,2016-01-14,,Murray State,W,81,73,27,49,.551,8,19,.421,19,26,.731,5,23,14,6,2,11,19,,27,52,.519,8,22,.364,11,18,.611,7,27,12,5,2,16,23
19,19,2016-01-16,,Austin Peay,W,76,58,27,56,.482,13,32,.406,9,12,.750,11,41,20,9,2,24,20,,21,61,.344,4,22,.182,12,21,.571,13,32,9,15,3,20,20
20,20,2016-01-21,@,UT-Martin,W,82,72,28,67,.418,14,45,.311,12,17,.706,14,37,19,4,3,8,20,,22,60,.367,7,24,.292,21,25,.840,13,35,9,3,2,8,17
21,21,2016-01-24,,Tennessee State,W,103,95,36,62,.581,9,24,.375,22,29,.759,3,32,19,3,3,12,31,,32,64,.500,3,14,.214,28,46,.609,11,34,8,9,5,8,26
22,22,2016-01-28,@,Jacksonville State,W,72,63,29,54,.537,4,20,.200,10,14,.714,5,30,13,2,2,7,21,,21,55,.382,6,22,.273,15,18,.833,8,28,10,4,2,9,16
23,23,2016-01-30,@,Tennessee Tech,L,79,89,28,67,.418,17,45,.378,6,7,.857,10,35,21,0,3,18,27,,29,61,.475,8,23,.348,23,33,.697,9,34,9,9,3,9,13
24,24,2016-02-04,,Morehead State,W,73,67,25,44,.568,8,20,.400,15,27,.556,6,31,14,3,3,14,13,,24,61,.393,6,18,.333,13,16,.813,9,28,13,7,1,11,26
25,25,2016-02-06,,Eastern Kentucky,L,78,88,27,65,.415,14,42,.333,10,12,.833,12,34,16,3,3,16,24,,31,57,.544,10,22,.455,16,23,.696,7,32,14,11,6,16,19
26,26,2016-02-10,,Jacksonville State,W,81,73,31,58,.534,12,22,.545,7,14,.500,8,29,21,5,1,10,17,,25,46,.543,8,20,.400,15,18,.833,2,23,17,3,4,13,18
27,27,2016-02-13,@,Morehead State,L,77,78,24,46,.522,6,20,.300,23,29,.793,7,22,17,1,3,14,28,,27,60,.450,5,12,.417,19,26,.731,18,34,14,6,3,10,27
28,28,2016-02-18,@,Eastern Kentucky,W,86,78,27,59,.458,9,30,.300,23,29,.793,10,41,19,5,3,13,21,,25,65,.385,6,21,.286,22,24,.917,7,29,13,7,5,10,22
29,29,2016-02-20,,Tennessee Tech,W,95,86,31,62,.500,15,31,.484,18,28,.643,11,38,15,10,6,9,20,,26,60,.433,14,33,.424,20,24,.833,7,32,15,5,6,12,22
30,30,2016-02-28,@,Tennessee State,L,72,87,23,47,.489,13,32,.406,13,20,.650,5,23,12,5,0,23,23,,30,56,.536,2,8,.250,25,34,.735,14,33,8,9,1,15,22
31,31,2016-03-04,N,Austin Peay,L (1 OT),96,97,39,68,.574,9,30,.300,9,12,.750,11,28,23,7,1,15,23,,32,60,.533,8,19,.421,25,29,.862,13,31,11,8,1,16,18
