,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Trinity (FL),W,108,54,41,67,.612,12,28,.429,14,18,.778,13,42,26,18,5,21,19,,23,65,.354,0,10,.000,8,13,.615,14,28,6,7,0,26,17
2,2,2015-11-16,@,UT-Martin,W,86,79,27,56,.482,13,26,.500,19,27,.704,10,37,12,3,5,12,22,,26,59,.441,13,30,.433,14,25,.560,12,34,17,5,4,14,25
3,3,2015-11-21,@,Richmond,L,64,89,23,60,.383,4,22,.182,14,24,.583,8,29,5,8,1,14,24,,30,60,.500,9,28,.321,20,28,.714,12,47,21,5,2,15,22
4,4,2015-11-23,@,West Virginia,L,44,97,13,52,.250,5,27,.185,13,19,.684,10,26,7,10,3,30,21,,36,69,.522,8,24,.333,17,24,.708,18,50,20,15,3,16,19
5,5,2015-11-26,N,Stetson,L,70,83,29,77,.377,5,26,.192,7,17,.412,15,36,7,8,5,9,17,,31,58,.534,9,22,.409,12,16,.750,8,41,16,5,0,20,20
6,6,2015-11-27,N,Sam Houston State,L,46,71,15,46,.326,6,26,.231,10,17,.588,7,28,9,3,11,17,17,,27,72,.375,7,22,.318,10,13,.769,16,39,20,7,1,7,17
7,7,2015-12-03,,Trinity Baptist,W,78,49,26,66,.394,7,19,.368,19,22,.864,21,42,14,12,3,10,13,,18,47,.383,7,24,.292,6,9,.667,8,28,13,3,2,21,18
8,8,2015-12-07,,South Carolina State,W,69,54,26,61,.426,4,20,.200,13,17,.765,15,39,13,5,9,7,8,,22,65,.338,5,19,.263,5,6,.833,15,35,13,3,2,7,13
9,9,2015-12-12,@,Akron,L,60,81,25,72,.347,4,24,.167,6,10,.600,17,39,11,3,4,13,16,,26,63,.413,15,35,.429,14,20,.700,13,39,15,6,8,10,16
10,10,2015-12-16,,Citadel,L,87,99,30,66,.455,7,16,.438,20,33,.606,13,36,17,8,11,17,22,,36,74,.486,8,25,.320,19,30,.633,15,40,17,12,1,15,27
11,11,2015-12-19,@,Toledo,L,68,102,25,71,.352,4,26,.154,14,19,.737,16,35,8,5,5,7,18,,40,73,.548,12,26,.462,10,13,.769,11,38,28,4,0,8,17
12,12,2015-12-22,@,UCF,L (1 OT),96,101,35,71,.493,14,30,.467,12,20,.600,10,23,15,9,4,5,27,,28,52,.538,9,22,.409,36,43,.837,11,37,19,2,2,13,17
13,13,2015-12-28,@,Brown,L,73,81,28,72,.389,7,26,.269,10,13,.769,18,36,4,10,6,14,20,,28,51,.549,8,16,.500,17,28,.607,9,32,22,5,5,15,13
14,14,2015-12-31,@,Jacksonville,L,70,74,24,64,.375,11,25,.440,11,16,.688,9,34,9,5,6,12,22,,29,60,.483,8,16,.500,8,23,.348,9,39,12,5,4,14,18
15,15,2016-01-03,@,Grand Canyon,L,53,74,20,50,.400,7,20,.350,6,10,.600,5,22,6,8,3,13,13,,31,58,.534,7,18,.389,5,7,.714,8,34,19,6,1,12,14
16,16,2016-01-09,@,Hampton,L,70,75,26,57,.456,8,24,.333,10,13,.769,7,28,8,7,7,13,24,,26,59,.441,5,21,.238,18,33,.545,16,38,13,7,3,15,15
17,17,2016-01-11,@,Norfolk State,W,72,70,24,53,.453,8,26,.308,16,21,.762,12,28,14,4,5,11,24,,18,45,.400,5,19,.263,29,36,.806,10,26,14,7,3,8,20
18,18,2016-01-16,,Coppin State,L,54,62,22,59,.373,7,30,.233,3,8,.375,12,32,13,6,8,15,16,,22,65,.338,7,19,.368,11,14,.786,17,42,12,6,1,11,14
19,19,2016-01-18,,Morgan State,W,62,50,21,46,.457,9,17,.529,11,15,.733,6,35,13,6,12,21,22,,12,64,.188,2,19,.105,24,30,.800,19,40,4,9,2,12,17
20,20,2016-01-23,@,Maryland-Eastern Shore,L,72,74,24,58,.414,14,28,.500,10,12,.833,10,28,11,4,6,13,18,,27,56,.482,6,16,.375,14,17,.824,12,32,14,4,4,11,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-26,@,Howard,L,68,70,26,65,.400,10,26,.385,6,7,.857,13,34,13,4,6,14,15,,27,55,.491,3,12,.250,13,17,.765,7,26,15,7,7,9,8
22,22,2016-01-30,,Florida A&M,W,88,56,31,60,.517,8,23,.348,18,27,.667,8,35,19,7,3,10,26,,18,55,.327,5,22,.227,15,27,.556,11,35,12,4,2,14,22
23,23,2016-02-02,,Savannah State,W,62,59,20,47,.426,5,15,.333,17,24,.708,9,29,9,2,11,17,20,,22,55,.400,4,19,.211,11,16,.688,10,30,12,5,3,14,23
24,24,2016-02-06,,Delaware State,W,85,56,33,59,.559,13,35,.371,6,13,.462,5,33,20,6,7,10,15,,21,60,.350,10,28,.357,4,13,.308,10,31,16,3,1,11,16
25,25,2016-02-13,@,North Carolina Central,L,66,90,24,64,.375,9,30,.300,9,16,.563,14,32,12,3,5,8,15,,35,60,.583,8,16,.500,12,18,.667,7,32,21,5,4,4,14
26,26,2016-02-15,@,North Carolina A&T,W (1 OT),83,77,26,57,.456,7,25,.280,24,35,.686,11,40,12,3,6,14,19,,28,74,.378,8,28,.286,13,17,.765,13,36,13,7,3,9,29
27,27,2016-02-20,@,Florida A&M,W,55,54,18,53,.340,5,23,.217,14,18,.778,9,36,7,5,5,13,13,,22,54,.407,6,21,.286,4,10,.400,6,29,9,4,2,10,18
28,28,2016-02-22,@,Stetson,W (1 OT),96,94,29,67,.433,11,23,.478,27,33,.818,10,38,15,5,10,12,19,,35,73,.479,9,24,.375,15,24,.625,11,40,19,7,4,13,22
29,29,2016-02-27,,North Carolina Central,W,69,61,23,61,.377,8,24,.333,15,16,.938,13,31,16,9,5,10,15,,23,50,.460,7,17,.412,8,14,.571,7,28,15,4,3,17,16
30,30,2016-02-29,,North Carolina A&T,W,62,52,26,59,.441,5,25,.200,5,10,.500,9,34,13,8,7,8,12,,20,62,.323,6,22,.273,6,8,.750,15,41,9,2,1,11,15
31,31,2016-03-03,@,South Carolina State,L,72,85,26,66,.394,8,28,.286,12,20,.600,8,30,8,1,2,6,25,,28,62,.452,4,14,.286,25,30,.833,10,43,11,1,6,5,23
