,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,Loyola (MD),L,74,79,25,64,.391,9,20,.450,15,16,.938,16,28,8,3,4,14,23,,26,52,.500,7,16,.438,20,29,.690,13,33,11,8,7,17,19
2,2,2013-11-10,@,Brown,L,57,74,17,56,.304,5,16,.313,18,33,.545,11,35,5,7,3,17,24,,27,62,.435,5,17,.294,15,28,.536,13,41,14,9,7,14,26
3,3,2013-11-13,@,Cornell,W,89,79,24,54,.444,14,25,.560,27,34,.794,7,27,15,6,4,6,17,,30,63,.476,10,27,.370,9,11,.818,11,33,20,3,8,8,22
4,4,2013-11-16,,Navy,L,50,68,13,46,.283,2,19,.105,22,31,.710,5,28,3,6,1,18,20,,22,52,.423,4,13,.308,20,28,.714,6,35,9,9,1,15,24
5,5,2013-11-23,,Radford,L,63,69,20,51,.392,4,14,.286,19,31,.613,9,32,9,7,0,16,21,,19,51,.373,6,16,.375,25,34,.735,9,31,9,8,2,13,23
6,6,2013-11-26,@,St. Peter's,L,57,70,20,47,.426,6,20,.300,11,21,.524,3,26,8,10,1,17,20,,26,62,.419,7,23,.304,11,16,.688,11,36,12,10,2,14,20
7,7,2013-12-01,,Colgate,L,64,93,22,53,.415,8,17,.471,12,21,.571,6,22,12,3,1,12,15,,34,51,.667,15,24,.625,10,12,.833,1,23,18,8,1,10,20
8,8,2013-12-04,@,Mount St. Mary's,W,74,70,25,47,.532,6,10,.600,18,24,.750,7,33,8,3,1,21,21,,23,67,.343,9,29,.310,15,20,.750,13,25,12,10,0,9,24
9,9,2013-12-07,@,Syracuse,L,65,93,19,50,.380,6,22,.273,21,32,.656,13,31,9,3,1,16,18,,33,72,.458,13,36,.361,14,24,.583,20,40,24,12,6,9,23
10,10,2013-12-14,@,Monmouth,L,46,74,12,46,.261,3,22,.136,19,30,.633,8,32,6,4,6,15,20,,28,63,.444,11,28,.393,7,15,.467,11,37,18,3,3,7,24
11,11,2013-12-23,@,Buffalo,L,57,87,18,45,.400,3,12,.250,18,25,.720,9,25,10,2,0,16,25,,28,59,.475,9,24,.375,22,30,.733,16,37,21,7,7,7,21
12,12,2013-12-28,,Bryant,W,67,62,23,61,.377,8,21,.381,13,25,.520,12,37,16,9,4,13,18,,22,58,.379,5,24,.208,13,17,.765,9,38,12,8,5,15,21
