Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,St. Bonaventure,L,53,63,17,57,.298,5,24,.208,14,17,.824,5,35,8,4,2,19,23,,20,54,.370,4,19,.211,19,25,.760,7,40,12,9,4,13,21
2,2,2015-11-15,,Army,L,60,75,19,52,.365,3,14,.214,19,33,.576,7,33,8,7,4,17,19,,25,61,.410,11,30,.367,14,20,.700,8,38,17,6,2,15,27
3,3,2015-11-18,@,Cornell,L,59,76,22,60,.367,9,30,.300,6,7,.857,8,28,17,3,3,14,22,,28,53,.528,12,24,.500,8,13,.615,6,35,15,5,5,18,17
4,4,2015-11-24,@,Central Connecticut,W,81,75,28,53,.528,10,18,.556,15,20,.750,6,27,18,7,4,13,16,,29,64,.453,6,15,.400,11,14,.786,11,32,10,7,2,14,21
5,5,2015-11-28,,Boston University,L,65,75,22,60,.367,7,32,.219,14,18,.778,7,26,12,8,1,7,17,,26,56,.464,6,18,.333,17,21,.810,9,40,15,7,3,13,17
6,6,2015-12-01,,Colgate,W,69,50,19,46,.413,6,16,.375,25,36,.694,11,37,11,7,6,15,20,,19,64,.297,3,22,.136,9,14,.643,15,35,7,8,1,15,23
7,7,2015-12-05,@,Michigan State,L,33,76,10,60,.167,2,17,.118,11,15,.733,6,30,7,5,2,10,14,,30,64,.469,7,26,.269,9,14,.643,12,53,24,5,5,9,15
8,8,2015-12-07,@,Oakland,L,72,83,25,64,.391,14,35,.400,8,11,.727,8,30,19,4,0,14,20,,29,62,.468,7,16,.438,18,25,.720,9,40,19,10,3,12,13
9,9,2015-12-12,@,Buffalo,L,64,80,23,59,.390,10,27,.370,8,11,.727,4,30,11,1,0,14,21,,29,61,.475,7,22,.318,15,21,.714,8,37,17,10,5,9,17
10,10,2015-12-15,,Saint Francis (PA),L,61,67,19,50,.380,5,21,.238,18,29,.621,6,31,9,5,0,12,19,,25,51,.490,4,12,.333,13,21,.619,7,38,14,7,4,14,22
11,11,2015-12-22,,Florida International,L,49,66,15,57,.263,4,28,.143,15,20,.750,7,24,8,2,1,3,15,,27,52,.519,3,16,.188,9,13,.692,8,43,13,0,4,10,18
12,12,2015-12-29,,Mount St. Mary's,W,62,53,16,43,.372,2,9,.222,28,38,.737,5,32,7,7,1,18,21,,19,57,.333,4,17,.235,11,20,.550,10,34,9,8,4,17,29
13,13,2016-01-02,@,Penn,L,45,80,11,45,.244,2,18,.111,21,31,.677,10,27,5,4,3,17,18,,28,58,.483,12,32,.375,12,16,.750,7,33,18,8,3,12,24
14,14,2016-01-06,,Stony Brook,L,52,62,19,52,.365,3,18,.167,11,16,.688,10,33,4,4,2,14,17,,23,56,.411,6,18,.333,10,21,.476,13,35,9,9,2,9,10
15,15,2016-01-09,@,New Hampshire,L,43,58,17,47,.362,3,20,.150,6,12,.500,7,33,5,3,0,14,18,,19,56,.339,6,20,.300,14,17,.824,7,31,8,3,1,5,13
16,16,2016-01-13,,Hartford,L,72,76,23,48,.479,5,15,.333,21,34,.618,14,41,13,6,4,18,21,,25,54,.463,4,17,.235,22,29,.759,6,25,12,14,0,7,23
17,17,2016-01-18,@,Albany (NY),L,59,80,23,53,.434,7,21,.333,6,10,.600,9,17,14,4,1,13,21,,27,46,.587,6,17,.353,20,22,.909,7,29,11,7,0,14,16
18,18,2016-01-21,,Vermont,L,52,61,17,41,.415,8,20,.400,10,15,.667,3,27,14,3,5,17,15,,23,50,.460,8,15,.533,7,17,.412,8,29,13,13,3,11,15
19,19,2016-01-24,@,UMass-Lowell,W,64,57,22,61,.361,6,16,.375,14,22,.636,12,37,9,16,1,15,16,,19,50,.380,9,21,.429,10,18,.556,10,38,12,8,4,23,19
20,20,2016-01-27,,UMBC,W,66,57,22,47,.468,8,21,.381,14,16,.875,7,33,12,9,3,15,18,,19,49,.388,6,17,.353,13,21,.619,7,23,10,8,0,14,16
21,21,2016-01-30,@,Maine,L,63,74,24,59,.407,5,20,.250,10,14,.714,11,27,15,7,2,16,18,,26,51,.510,7,18,.389,15,19,.789,8,30,17,8,3,16,17
22,22,2016-02-03,@,Stony Brook,L,51,76,20,45,.444,4,12,.333,7,10,.700,5,24,10,4,1,18,13,,30,59,.508,11,19,.579,5,7,.714,9,29,20,7,4,8,15
23,23,2016-02-06,,New Hampshire,L,55,59,20,55,.364,6,18,.333,9,15,.600,9,40,9,3,4,11,19,,17,55,.309,6,24,.250,19,22,.864,6,29,8,5,3,4,16
24,24,2016-02-08,,Albany (NY),L,56,69,20,56,.357,5,22,.227,11,20,.550,11,31,11,5,2,10,19,,22,45,.489,6,16,.375,19,23,.826,5,33,12,6,1,12,19
25,25,2016-02-11,@,Hartford,W,68,54,24,55,.436,3,17,.176,17,23,.739,9,36,16,4,0,8,18,,17,49,.347,9,28,.321,11,18,.611,7,30,11,6,3,12,22
26,26,2016-02-17,@,Vermont,L,64,78,27,49,.551,5,13,.385,5,8,.625,5,27,14,8,2,16,19,,30,59,.508,6,18,.333,12,15,.800,8,26,14,9,5,10,15
27,27,2016-02-20,,UMass-Lowell,W,81,77,26,66,.394,7,23,.304,22,28,.786,12,43,9,3,4,9,17,,27,57,.474,8,23,.348,15,20,.750,3,32,12,5,4,13,20
28,28,2016-02-24,@,UMBC,L (1 OT),79,80,29,63,.460,8,22,.364,13,22,.591,11,36,18,9,4,20,25,,28,58,.483,10,20,.500,14,28,.500,9,29,18,10,4,18,19
29,29,2016-02-27,,Maine,W,78,66,31,66,.470,6,15,.400,10,16,.625,12,39,15,7,4,11,18,,26,65,.400,5,18,.278,9,19,.474,12,31,12,2,2,13,20
30,30,2016-03-02,@,New Hampshire,L,51,56,19,45,.422,3,17,.176,10,17,.588,2,30,5,2,2,11,21,,16,59,.271,5,28,.179,19,23,.826,13,35,8,1,0,4,14
