Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Montana,L,72,74,28,50,.560,8,26,.308,8,12,.667,2,21,13,4,1,14,29,,21,44,.477,7,29,.241,25,36,.694,5,24,9,4,2,12,22
2,2,2015-11-16,,Northern Arizona,W,101,81,33,60,.550,13,26,.500,22,31,.710,8,39,16,4,4,13,18,,28,66,.424,11,24,.458,14,20,.700,8,23,14,11,1,11,24
3,3,2015-11-19,@,Arizona,L,76,88,27,63,.429,10,30,.333,12,18,.667,10,28,14,3,2,10,22,,32,59,.542,10,21,.476,14,17,.824,9,37,17,4,6,13,18
4,4,2015-11-23,,Concordia (OR),W,100,53,34,69,.493,11,27,.407,21,26,.808,16,44,18,11,1,13,19,,19,47,.404,3,16,.188,12,17,.706,2,18,6,5,1,22,20
5,5,2015-11-26,N,UC-Irvine,W,71,64,25,57,.439,11,28,.393,10,14,.714,9,34,21,3,0,16,19,,22,50,.440,5,21,.238,15,20,.750,7,29,14,8,4,15,19
6,6,2015-11-27,N,Michigan State,L,67,77,21,49,.429,7,17,.412,18,25,.720,2,24,11,2,3,10,21,,25,55,.455,10,23,.435,17,19,.895,5,32,23,3,3,10,23
7,7,2015-11-29,N,Arizona,L,59,68,21,53,.396,5,20,.250,12,14,.857,3,22,13,3,0,15,24,,25,51,.490,2,8,.250,16,23,.696,5,32,9,11,6,17,20
8,8,2015-12-02,,Willamette,W,100,36,37,66,.561,11,28,.393,15,24,.625,16,48,20,9,2,10,9,,13,57,.228,8,34,.235,2,3,.667,10,22,11,4,0,20,19
9,9,2015-12-05,@,Portland,W,81,71,25,60,.417,10,34,.294,21,28,.750,6,36,13,7,2,11,15,,30,68,.441,6,22,.273,5,8,.625,7,31,12,5,6,12,24
10,10,2015-12-09,,Loyola Marymount,W,67,66,19,47,.404,9,28,.321,20,29,.690,6,29,14,3,1,13,16,,27,67,.403,7,20,.350,5,7,.714,12,36,10,2,6,12,24
11,11,2015-12-12,,Oregon,W,74,72,23,54,.426,11,29,.379,17,23,.739,8,28,14,5,2,9,16,,25,58,.431,9,21,.429,13,19,.684,11,30,11,5,4,11,20
12,12,2015-12-20,,Bradley,W,90,70,28,61,.459,6,20,.300,28,34,.824,10,36,14,7,5,6,18,,26,62,.419,9,24,.375,9,12,.750,7,27,10,3,5,13,23
13,13,2015-12-30,,UC-Davis,W,64,56,20,49,.408,6,21,.286,18,26,.692,4,23,12,10,2,12,13,,24,48,.500,4,13,.308,4,7,.571,2,22,11,4,3,16,22
14,14,2016-01-02,,Colorado State,W,84,80,30,64,.469,9,29,.310,15,25,.600,8,29,16,10,2,8,15,,27,53,.509,11,27,.407,15,20,.750,6,35,9,4,1,16,20
15,15,2016-01-05,@,Utah State,W,76,61,28,47,.596,7,17,.412,13,17,.765,5,32,13,7,1,16,18,,25,57,.439,6,22,.273,5,13,.385,11,27,14,6,2,16,15
16,16,2016-01-09,,Fresno State,W,81,70,25,50,.500,6,23,.261,25,39,.641,10,33,12,5,3,6,20,,26,60,.433,6,17,.353,12,22,.545,12,32,8,3,0,11,32
17,17,2016-01-13,@,Nevada,W,74,67,22,54,.407,4,16,.250,26,36,.722,10,39,13,6,2,13,16,,26,65,.400,5,20,.250,10,15,.667,13,35,16,6,5,15,25
