,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,St. Francis (NY),W,75,49,28,60,.467,5,15,.333,14,23,.609,13,47,9,5,5,13,18,,17,61,.279,6,24,.250,9,19,.474,9,32,7,5,6,13,23
2,2,2015-11-19,,Central Connecticut,W,82,57,32,65,.492,13,28,.464,5,16,.313,9,39,17,8,2,8,14,,21,58,.362,5,19,.263,10,16,.625,6,29,6,4,2,13,12
3,3,2015-11-22,,Harvard,W,69,56,18,49,.367,10,24,.417,23,29,.793,5,32,13,8,2,10,20,,20,46,.435,7,13,.538,9,23,.391,6,32,12,6,3,16,19
4,4,2015-11-26,N,Michigan State,L,68,99,26,55,.473,8,24,.333,8,15,.533,2,19,16,3,0,7,17,,37,59,.627,11,21,.524,14,20,.700,7,34,28,3,3,7,16
5,5,2015-11-27,N,UC-Irvine,L,67,80,24,53,.453,5,15,.333,14,17,.824,3,22,13,2,2,8,17,,31,60,.517,4,14,.286,14,18,.778,9,34,21,4,2,6,17
6,6,2015-11-29,N,Santa Clara,L,45,62,17,60,.283,4,26,.154,7,11,.636,8,29,9,2,0,12,14,,22,50,.440,8,24,.333,10,14,.714,8,37,17,9,4,16,15
7,7,2015-12-02,,Penn State,L,58,67,18,47,.383,6,18,.333,16,25,.640,3,27,14,3,3,5,20,,22,51,.431,10,22,.455,13,19,.684,9,38,12,5,5,9,22
8,8,2015-12-06,,UMass-Lowell,L,66,68,22,59,.373,10,30,.333,12,23,.522,12,40,10,8,4,17,21,,23,54,.426,9,22,.409,13,23,.565,5,32,14,10,3,12,18
9,9,2015-12-09,@,Providence,L,51,66,20,53,.377,4,22,.182,7,9,.778,2,22,10,8,6,13,22,,21,55,.382,3,13,.231,21,25,.840,12,42,10,7,5,16,12
10,10,2015-12-13,,Maine,W,91,60,36,67,.537,12,27,.444,7,9,.778,8,39,24,9,10,19,19,,21,57,.368,5,16,.313,13,20,.650,3,24,13,8,3,19,13
11,11,2015-12-19,,Delaware,W,69,61,27,57,.474,11,31,.355,4,7,.571,2,31,19,3,7,10,17,,19,62,.306,8,23,.348,15,20,.750,8,36,7,7,1,8,16
12,12,2015-12-22,N,Fordham,W,64,55,22,53,.415,3,18,.167,17,25,.680,11,38,14,7,7,13,15,,18,56,.321,8,24,.333,11,14,.786,8,26,12,6,0,12,21
13,13,2015-12-30,,New Hampshire,W (1 OT),72,67,26,53,.491,6,15,.400,14,24,.583,4,32,10,5,5,15,23,,24,60,.400,6,21,.286,13,21,.619,12,38,15,4,0,14,24
