,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Northeastern,L (1 OT),84,87,30,65,.462,11,29,.379,13,21,.619,6,30,21,3,3,9,22,,26,57,.456,11,24,.458,24,33,.727,7,32,13,5,4,7,19
2,2,2015-11-16,,Albany (NY),W,69,64,25,54,.463,10,30,.333,9,13,.692,6,28,13,5,3,15,22,,22,59,.373,1,13,.077,19,27,.704,13,36,9,7,1,12,17
3,3,2015-11-19,@,NJIT,L,76,90,26,56,.464,14,27,.519,10,22,.455,6,27,15,4,4,15,19,,32,67,.478,9,21,.429,17,20,.850,8,36,21,9,0,12,17
4,4,2015-11-21,@,South Florida,W,78,66,28,59,.475,10,22,.455,12,16,.750,4,26,17,8,1,6,21,,23,53,.434,0,10,.000,20,30,.667,12,40,8,3,3,12,17
5,5,2015-11-24,@,Kentucky,L,62,82,20,54,.370,8,24,.333,14,18,.778,5,21,9,6,2,17,22,,33,64,.516,3,15,.200,13,26,.500,17,44,15,12,5,11,18
6,6,2015-11-28,@,Binghamton,W,75,65,26,56,.464,6,18,.333,17,21,.810,9,40,15,7,3,13,17,,22,60,.367,7,32,.219,14,18,.778,7,26,12,8,1,7,17
7,7,2015-12-02,@,UMass,L,69,99,25,66,.379,7,24,.292,12,14,.857,10,32,17,3,3,15,17,,38,69,.551,13,25,.520,10,15,.667,7,37,23,8,5,8,11
8,8,2015-12-08,,Harvard,L,69,75,25,55,.455,4,17,.235,15,19,.789,6,30,9,5,1,14,16,,27,57,.474,10,19,.526,11,15,.733,6,28,19,6,1,9,17
9,9,2015-12-10,@,UMass-Lowell,W,80,60,27,56,.482,13,28,.464,13,15,.867,5,37,11,7,9,17,17,,23,69,.333,6,28,.214,8,10,.800,10,33,11,2,3,15,15
10,10,2015-12-13,@,Quinnipiac,W,64,57,22,54,.407,5,22,.227,15,24,.625,11,35,8,9,5,17,18,,22,60,.367,4,15,.267,9,21,.429,16,34,8,10,5,16,18
11,11,2015-12-19,@,Canisius,L,68,84,24,46,.522,6,19,.316,14,19,.737,4,24,11,5,6,23,29,,23,59,.390,8,25,.320,30,42,.714,16,33,12,10,3,16,19
12,12,2015-12-21,,New Hampshire,W,78,74,26,47,.553,8,17,.471,18,28,.643,3,28,12,4,5,14,25,,25,64,.391,5,22,.227,19,30,.633,15,36,8,6,0,8,23
13,13,2015-12-28,,Kean,W,86,53,33,63,.524,12,28,.429,8,10,.800,14,44,29,6,4,12,16,,17,51,.333,6,20,.300,13,18,.722,5,21,14,8,4,10,15
