Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,New Orleans,W,79,61,25,55,.455,6,23,.261,23,33,.697,9,40,13,6,5,14,21,,22,62,.355,4,14,.286,13,20,.650,10,37,8,5,3,15,27
2,2,2015-11-18,,Cincinnati,L,50,83,17,58,.293,7,25,.280,9,17,.529,8,32,10,6,2,16,16,,31,66,.470,13,30,.433,8,16,.500,11,46,15,12,8,10,18
3,3,2015-11-21,N,North Dakota,L,59,77,23,57,.404,5,15,.333,8,20,.400,3,30,6,9,3,15,21,,23,56,.411,10,21,.476,21,26,.808,6,37,10,6,3,18,23
4,4,2015-11-22,N,Youngstown State,W,79,72,26,57,.456,8,18,.444,19,28,.679,7,44,19,5,3,14,19,,24,65,.369,14,33,.424,10,19,.526,7,31,12,6,1,13,28
5,5,2015-11-23,@,Florida Gulf Coast,W,82,77,29,59,.492,5,18,.278,19,27,.704,11,37,9,5,4,9,22,,28,58,.483,7,13,.538,14,20,.700,5,25,9,4,4,8,23
6,6,2015-11-29,,Urbana,W,96,55,34,61,.557,14,22,.636,14,21,.667,10,44,25,9,6,11,15,,20,64,.313,9,29,.310,6,10,.600,8,29,10,7,1,13,19
7,7,2015-12-02,,UMBC,W,72,64,25,55,.455,3,15,.200,19,25,.760,11,35,5,10,3,17,19,,20,51,.392,9,27,.333,15,21,.714,6,25,10,10,3,16,24
8,8,2015-12-05,,Drake,W,75,63,26,53,.491,11,17,.647,12,18,.667,7,36,12,4,3,12,20,,22,53,.415,6,24,.250,13,20,.650,5,27,11,6,2,10,19
9,9,2015-12-08,@,Southeast Missouri State,W,79,52,32,58,.552,10,18,.556,5,9,.556,9,36,23,5,5,10,13,,22,69,.319,3,17,.176,5,10,.500,16,34,6,5,0,10,11
10,10,2015-12-12,@,Detroit,L,80,95,26,59,.441,7,16,.438,21,35,.600,10,34,16,8,4,10,21,,32,68,.471,13,30,.433,18,26,.692,13,39,16,7,5,9,22
11,11,2015-12-20,@,Wright State,L,47,83,14,51,.275,2,13,.154,17,25,.680,8,29,6,5,2,14,21,,26,50,.520,13,28,.464,18,23,.783,5,34,19,4,2,13,23
12,12,2015-12-23,@,Cleveland State,W,62,47,22,50,.440,3,7,.429,15,18,.833,10,35,10,5,5,14,16,,16,59,.271,3,20,.150,12,17,.706,18,35,7,6,1,12,18
13,13,2016-01-02,,Oakland City,W,87,56,34,66,.515,6,24,.250,13,23,.565,16,47,18,9,3,10,17,,22,63,.349,7,25,.280,5,10,.500,9,29,11,5,2,11,20
14,14,2016-01-06,,Miami (OH),W,73,62,22,50,.440,5,17,.294,24,30,.800,7,36,13,9,8,11,17,,23,67,.343,2,12,.167,14,22,.636,15,38,5,4,1,12,22
15,15,2016-01-09,,Central Michigan,L,67,79,24,57,.421,5,14,.357,14,21,.667,11,30,9,3,0,12,26,,24,47,.511,10,25,.400,21,27,.778,4,30,12,6,3,10,20
16,16,2016-01-12,@,Ohio,W,91,75,31,66,.470,7,11,.636,22,30,.733,15,38,11,6,4,9,19,,27,55,.491,9,19,.474,12,21,.571,11,28,8,3,5,14,30
17,17,2016-01-16,@,Eastern Michigan,W,84,79,28,59,.475,12,23,.522,16,26,.615,14,37,16,7,0,15,23,,26,59,.441,5,22,.227,22,25,.880,10,32,4,7,4,13,23
18,18,2016-01-19,,Toledo,L,74,81,26,59,.441,5,14,.357,17,24,.708,7,32,9,6,2,9,23,,25,51,.490,8,15,.533,23,30,.767,6,34,10,6,3,13,23
19,19,2016-01-23,,Kent State,L,59,62,21,56,.375,4,15,.267,13,21,.619,6,27,12,2,5,13,16,,25,66,.379,3,14,.214,9,15,.600,17,42,4,3,4,11,17
20,20,2016-01-26,@,Western Michigan,W,79,78,29,65,.446,6,15,.400,15,24,.625,10,38,8,3,3,9,24,,22,51,.431,7,18,.389,27,36,.750,4,27,13,4,5,11,19
21,21,2016-01-30,@,Central Michigan,L,65,77,23,62,.371,2,12,.167,17,23,.739,13,39,4,8,6,14,17,,26,59,.441,9,22,.409,16,21,.762,6,29,8,7,5,11,19
22,22,2016-02-02,,Ball State,L,64,72,18,48,.375,6,16,.375,22,32,.688,11,30,7,5,2,13,23,,25,47,.532,10,19,.526,12,20,.600,4,24,17,6,3,12,23
23,23,2016-02-06,@,Miami (OH),L,51,55,20,57,.351,4,13,.308,7,12,.583,10,35,5,6,3,16,24,,17,55,.309,2,10,.200,19,29,.655,11,39,10,8,3,14,10
24,24,2016-02-09,,Akron,L,68,83,26,54,.481,5,15,.333,11,19,.579,3,24,17,10,2,10,16,,28,57,.491,16,32,.500,11,15,.733,7,34,16,6,4,13,17
25,25,2016-02-13,,Western Michigan,L,68,74,23,50,.460,7,22,.318,15,32,.469,7,29,14,8,8,12,18,,27,53,.509,3,10,.300,17,22,.773,3,31,11,7,2,14,24
26,26,2016-02-16,@,Northern Illinois,L,60,71,18,55,.327,8,22,.364,16,22,.727,13,34,14,7,2,15,14,,27,62,.435,9,19,.474,8,10,.800,9,36,14,10,7,11,22
27,27,2016-02-20,@,Buffalo,L,74,88,31,57,.544,4,14,.286,8,15,.533,7,29,12,6,1,18,26,,29,59,.492,5,17,.294,25,33,.758,10,28,13,10,1,12,21
28,28,2016-02-23,,Ohio,W,87,82,32,61,.525,6,17,.353,17,22,.773,10,33,15,2,2,7,11,,32,60,.533,12,27,.444,6,8,.750,4,24,14,3,2,7,18
29,29,2016-02-26,@,Akron,L,54,89,20,48,.417,5,14,.357,9,18,.500,2,23,10,6,3,16,12,,31,65,.477,19,41,.463,8,10,.800,7,35,21,11,3,10,14
30,30,2016-03-01,@,Kent State,L,54,70,21,56,.375,4,13,.308,8,11,.727,6,25,10,6,2,12,17,,26,55,.473,5,20,.250,13,16,.813,11,39,8,5,2,11,14
31,31,2016-03-04,,Buffalo,L,83,87,32,60,.533,6,21,.286,13,22,.591,10,34,11,8,3,14,18,,33,66,.500,10,25,.400,11,19,.579,11,29,9,8,1,11,20
