,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Ball State,W,54,53,15,47,.319,5,20,.250,19,32,.594,12,41,10,3,5,12,23,,20,55,.364,3,11,.273,10,20,.500,11,40,7,7,4,12,27
2,2,2015-11-16,@,Arizona,L,60,90,21,55,.382,2,15,.133,16,24,.667,4,26,10,1,2,13,35,,25,46,.543,5,14,.357,35,52,.673,7,39,18,6,0,11,22
3,3,2015-11-19,N,Virginia,L,57,82,18,46,.391,6,15,.400,15,24,.625,5,18,7,2,1,12,15,,30,53,.566,6,15,.400,16,17,.941,7,33,19,6,2,9,20
4,4,2015-11-20,N,Seton Hall,L,59,67,21,53,.396,4,23,.174,13,18,.722,5,30,8,2,4,15,19,,24,56,.429,5,16,.313,14,26,.538,10,34,10,6,4,9,16
5,5,2015-11-22,N,Towson,L,60,62,20,51,.392,5,19,.263,15,17,.882,8,29,10,2,4,18,22,,21,54,.389,2,11,.182,18,24,.750,12,29,6,3,7,12,23
6,6,2015-11-25,,New Orleans,L,51,64,17,54,.315,2,18,.111,15,28,.536,13,41,5,5,5,13,23,,21,56,.375,7,12,.583,15,27,.556,11,38,11,7,6,14,27
7,7,2015-11-28,,Ole Miss,L,54,67,19,47,.404,6,19,.316,10,16,.625,7,26,10,10,2,25,22,,24,59,.407,4,16,.250,15,22,.682,15,35,12,12,5,17,18
8,8,2015-12-01,@,Delaware,L,47,70,16,57,.281,6,28,.214,9,12,.750,11,35,7,3,5,14,22,,24,55,.436,6,21,.286,16,23,.696,10,37,14,5,5,10,16
9,9,2015-12-05,,North Dakota,L (2 OT),59,65,22,59,.373,6,24,.250,9,22,.409,10,43,11,7,4,21,23,,21,65,.323,4,21,.190,19,36,.528,14,45,10,10,3,16,26
10,10,2015-12-08,@,Texas-Arlington,L,61,97,19,47,.404,5,19,.263,18,23,.783,5,33,9,5,2,24,22,,33,69,.478,17,40,.425,14,22,.636,11,34,27,10,2,7,22
11,11,2015-12-17,,Maryville (MO),W,61,53,19,45,.422,5,12,.417,18,34,.529,8,32,9,7,5,11,18,,18,45,.400,6,17,.353,11,15,.733,3,26,9,6,2,16,24
12,12,2015-12-20,@,Boise State,L,70,90,26,62,.419,9,24,.375,9,12,.750,7,27,10,3,5,13,23,,28,61,.459,6,20,.300,28,34,.824,10,36,14,7,5,6,18
13,13,2015-12-23,,Texas Christian,L,49,53,16,45,.356,5,21,.238,12,17,.706,7,35,6,4,1,21,37,,14,47,.298,4,17,.235,21,40,.525,11,33,6,10,1,14,19
14,14,2015-12-30,@,Northern Iowa,L,44,80,16,48,.333,5,21,.238,7,9,.778,5,24,8,4,1,12,26,,27,46,.587,8,20,.400,18,29,.621,4,29,18,7,1,6,15
15,15,2016-01-03,,Wichita State,L,58,85,17,45,.378,6,22,.273,18,22,.818,12,31,8,5,0,21,26,,27,49,.551,6,16,.375,25,36,.694,10,25,18,9,1,11,22
16,16,2016-01-06,,Southern Illinois,L,44,65,14,43,.326,2,13,.154,14,22,.636,5,31,6,10,2,28,22,,25,52,.481,4,12,.333,11,16,.688,1,27,12,14,3,18,24
17,17,2016-01-09,@,Evansville,L,35,67,12,46,.261,4,17,.235,7,11,.636,7,24,5,5,2,18,23,,25,47,.532,5,9,.556,12,22,.545,5,31,15,3,6,14,16
18,18,2016-01-13,@,Loyola (IL),W,54,53,20,50,.400,5,13,.385,9,9,1.000,8,35,12,5,3,13,19,,17,43,.395,5,16,.313,14,21,.667,4,24,8,4,3,11,13
19,19,2016-01-16,,Missouri State,L,42,61,11,41,.268,4,18,.222,16,22,.727,4,30,9,3,3,13,21,,21,51,.412,4,13,.308,15,25,.600,10,36,15,7,1,9,19
20,20,2016-01-20,,Illinois State,L,52,55,15,48,.313,4,21,.190,18,27,.667,8,35,8,8,3,11,21,,19,56,.339,6,23,.261,11,20,.550,11,43,11,6,2,15,25
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Wichita State,L,54,88,18,41,.439,8,15,.533,10,15,.667,1,21,11,1,1,20,24,,30,61,.492,6,22,.273,22,31,.710,10,32,10,14,3,4,17
22,22,2016-01-27,,Northern Iowa,L,50,68,17,46,.370,8,18,.444,8,9,.889,8,29,12,7,1,17,16,,22,46,.478,15,25,.600,9,13,.692,5,25,19,10,5,11,13
23,23,2016-01-30,@,Drake,L,70,80,25,61,.410,8,22,.364,12,15,.800,9,32,11,5,3,10,29,,23,50,.460,7,16,.438,27,36,.750,7,33,10,3,3,10,18
24,24,2016-02-02,@,Missouri State,L,71,77,23,50,.460,8,22,.364,17,21,.810,6,23,11,6,5,16,24,,21,49,.429,5,14,.357,30,37,.811,8,27,8,8,6,13,19
25,25,2016-02-06,,Indiana State,W,63,58,20,45,.444,2,10,.200,21,32,.656,5,31,10,9,5,13,19,,17,48,.354,5,17,.294,19,24,.792,5,33,8,7,2,17,26
26,26,2016-02-10,,Loyola (IL),L,43,54,17,58,.293,3,20,.150,6,16,.375,15,46,10,4,1,12,20,,19,51,.373,3,12,.250,13,21,.619,3,35,8,7,3,9,19
27,27,2016-02-14,@,Illinois State,L,60,75,23,49,.469,7,19,.368,7,18,.389,7,26,9,1,0,17,27,,23,42,.548,7,19,.368,22,32,.688,3,26,14,9,2,10,21
28,28,2016-02-17,@,Southern Illinois,L,59,71,20,47,.426,3,12,.250,16,21,.762,8,32,11,2,2,22,22,,27,65,.415,6,22,.273,11,17,.647,10,31,11,12,3,6,19
29,29,2016-02-20,,Drake,W,73,70,26,54,.481,5,18,.278,16,24,.667,10,31,11,3,2,13,25,,23,43,.535,5,9,.556,19,27,.704,3,22,12,7,0,15,24
30,30,2016-02-23,,Evansville,L,55,67,21,49,.429,4,13,.308,9,14,.643,2,31,13,5,3,18,24,,24,50,.480,1,5,.200,18,30,.600,3,29,16,10,6,9,18
31,31,2016-02-27,@,Indiana State,L,58,77,19,54,.352,8,22,.364,12,19,.632,7,33,10,1,3,15,27,,23,53,.434,5,20,.250,26,38,.684,5,38,8,4,0,8,22
32,32,2016-03-03,N,Loyola (IL),L,66,74,23,53,.434,5,17,.294,15,23,.652,11,39,5,4,2,19,25,,21,52,.404,10,23,.435,22,33,.667,6,31,13,11,3,8,19
