Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Utah Valley,W,85,54,30,74,.405,7,25,.280,18,27,.667,18,64,18,3,4,18,18,,19,71,.268,5,29,.172,11,17,.647,6,34,6,8,4,15,21
2,2,2015-11-16,@,Long Beach State,L,65,66,26,59,.441,5,20,.250,8,21,.381,12,45,11,5,6,24,25,,22,71,.310,7,23,.304,15,23,.652,10,31,14,11,2,9,23
3,3,2015-11-20,,Adams State,W,97,56,41,69,.594,7,22,.318,8,15,.533,8,41,25,8,7,11,19,,18,65,.277,6,28,.214,14,22,.636,9,32,11,5,2,14,19
4,4,2015-11-25,,Mississippi Valley State,W,75,68,26,56,.464,7,25,.280,16,26,.615,9,36,18,6,7,14,12,,26,64,.406,9,20,.450,7,11,.636,7,25,11,10,3,10,20
5,5,2015-11-28,,Belmont,W,95,81,33,73,.452,13,27,.481,16,24,.667,16,43,20,7,2,12,16,,29,59,.492,11,31,.355,12,15,.800,3,26,14,3,1,15,21
6,6,2015-12-02,@,Utah,L,75,83,27,64,.422,8,21,.381,13,20,.650,10,32,10,6,3,13,24,,27,60,.450,9,28,.321,20,26,.769,11,37,14,5,7,13,22
7,7,2015-12-05,,Weber State,W,73,68,30,52,.577,6,14,.429,7,13,.538,5,25,15,9,0,14,17,,27,53,.509,8,21,.381,6,11,.545,8,28,15,2,0,17,15
8,8,2015-12-09,,Utah State,W,80,68,30,70,.429,8,20,.400,12,15,.800,9,41,17,5,8,10,17,,23,65,.354,9,20,.450,13,18,.722,7,34,15,5,2,13,17
9,9,2015-12-12,@,Colorado,L,83,92,30,77,.390,9,29,.310,14,18,.778,9,33,10,8,5,9,20,,31,68,.456,10,24,.417,20,23,.870,10,43,18,7,3,12,18
10,10,2015-12-18,,Central Michigan,W,98,85,35,64,.547,14,31,.452,14,21,.667,10,35,26,6,2,6,18,,30,64,.469,17,36,.472,8,14,.571,11,32,18,3,1,11,17
11,11,2015-12-22,N,Harvard,L (1 OT),82,85,30,60,.500,3,13,.231,19,29,.655,7,31,12,7,2,15,24,,29,61,.475,11,22,.500,16,26,.615,8,32,18,5,4,14,24
12,12,2015-12-23,N,New Mexico,W,96,66,32,61,.525,16,28,.571,16,19,.842,8,28,21,10,2,11,18,,22,48,.458,5,12,.417,17,22,.773,4,23,8,3,1,17,18
13,13,2015-12-25,N,Northern Iowa,W,84,76,28,56,.500,9,21,.429,19,21,.905,9,39,14,6,3,15,17,,26,65,.400,12,35,.343,12,14,.857,7,25,13,5,3,8,19
14,14,2015-12-31,@,Saint Mary's (CA),L,74,85,30,72,.417,8,21,.381,6,10,.600,14,33,12,1,2,7,19,,31,55,.564,8,19,.421,15,18,.833,5,33,19,3,6,7,16
15,15,2016-01-02,@,Pacific,W,81,67,24,55,.436,11,23,.478,22,30,.733,13,37,11,6,6,11,16,,25,54,.463,7,18,.389,10,14,.714,7,26,20,5,3,14,27
16,16,2016-01-07,,Santa Clara,W,97,61,35,74,.473,13,32,.406,14,22,.636,11,48,19,7,2,6,19,,21,61,.344,6,24,.250,13,22,.591,3,27,10,0,7,9,18
17,17,2016-01-09,,San Francisco,W,102,92,32,68,.471,15,30,.500,23,30,.767,10,34,19,6,8,8,17,,33,68,.485,7,23,.304,19,24,.792,8,30,16,1,3,14,23
18,18,2016-01-14,@,Gonzaga,W,69,68,27,65,.415,3,17,.176,12,14,.857,5,37,11,5,7,11,22,,21,57,.368,6,20,.300,20,24,.833,3,32,11,7,2,12,16
19,19,2016-01-16,@,Portland,L,81,84,27,71,.380,6,22,.273,21,29,.724,15,39,10,8,4,14,21,,28,62,.452,10,26,.385,18,22,.818,6,30,12,6,5,13,26
20,20,2016-01-21,@,Loyola Marymount,W,91,80,32,65,.492,13,29,.448,14,20,.700,12,39,28,12,8,14,15,,31,64,.484,11,22,.500,7,12,.583,6,26,22,11,4,16,16
21,21,2016-01-23,@,Pepperdine,L,65,71,23,64,.359,6,22,.273,13,19,.684,15,32,10,9,6,11,15,,30,63,.476,4,12,.333,7,13,.538,13,39,16,5,4,12,18
22,22,2016-01-28,,Loyola Marymount,W,87,62,32,63,.508,8,24,.333,15,24,.625,10,45,23,9,3,11,23,,21,64,.328,2,22,.091,18,25,.720,10,33,9,6,3,13,19
23,23,2016-01-30,,Pepperdine,W,88,77,30,61,.492,8,21,.381,20,30,.667,7,30,15,9,3,13,24,,28,59,.475,3,13,.231,18,28,.643,8,30,12,10,4,16,24
24,24,2016-02-04,,Saint Mary's (CA),W,70,59,25,56,.446,7,22,.318,13,21,.619,9,38,12,4,5,10,12,,21,61,.344,6,23,.261,11,13,.846,6,29,13,4,4,9,18
