Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,@,Gonzaga,L,76,100,27,60,.450,4,21,.190,18,23,.783,5,24,5,5,2,14,23,,36,67,.537,7,19,.368,21,28,.750,9,36,16,9,1,8,18
2,2,2013-11-13,@,Dartmouth,W,87,77,29,49,.592,6,14,.429,23,28,.821,5,30,11,4,5,15,23,,29,61,.475,9,22,.409,10,22,.455,14,31,16,7,2,12,22
3,3,2013-11-16,,Vermont,W,87,64,29,52,.558,7,17,.412,22,29,.759,5,33,18,7,4,10,21,,24,54,.444,4,15,.267,12,20,.600,4,27,16,5,2,12,22
4,4,2013-11-20,@,Harvard,L,68,86,25,49,.510,2,13,.154,16,23,.696,9,21,7,13,5,19,21,,32,56,.571,3,10,.300,19,26,.731,13,30,17,11,11,16,19
5,5,2013-11-24,@,New Hampshire,W,60,55,17,42,.405,6,18,.333,20,30,.667,2,33,8,6,1,13,17,,23,66,.348,4,19,.211,5,9,.556,10,34,6,4,2,11,20
6,6,2013-11-27,,Brown,W,70,67,30,68,.441,5,20,.250,5,10,.500,14,37,16,5,4,7,15,,23,57,.404,7,16,.438,14,18,.778,12,33,15,4,5,9,17
7,7,2013-11-30,,Salve Regina,W,82,55,29,57,.509,7,18,.389,17,26,.654,6,32,17,11,4,14,21,,20,52,.385,5,21,.238,10,20,.500,8,32,12,7,2,23,24
8,8,2013-12-04,@,Yale,W,72,64,26,50,.520,6,15,.400,14,19,.737,4,26,12,10,3,14,21,,22,56,.393,3,21,.143,17,24,.708,10,27,11,9,5,14,19
9,9,2013-12-07,,North Dakota State,L,62,66,23,56,.411,6,23,.261,10,12,.833,9,25,11,11,3,13,17,,26,60,.433,3,11,.273,11,15,.733,14,38,9,8,5,17,14
10,10,2013-12-09,@,Notre Dame,L,59,70,22,59,.373,9,23,.391,6,7,.857,5,26,15,10,2,11,19,,22,55,.400,6,19,.316,20,26,.769,13,42,17,8,8,13,9
11,11,2013-12-11,@,Ohio State,L,48,86,16,58,.276,6,24,.250,10,14,.714,11,33,7,1,2,19,20,,32,61,.525,8,20,.400,14,20,.700,9,37,16,13,10,8,11
12,12,2013-12-14,,Navy,W (1 OT),90,80,28,55,.509,7,20,.350,27,38,.711,6,36,16,10,4,19,19,,28,66,.424,13,30,.433,11,22,.500,11,31,16,10,6,17,28
13,13,2013-12-21,N,Delaware,L (1 OT),107,108,37,65,.569,11,18,.611,22,37,.595,8,35,17,2,3,13,25,,38,77,.494,6,22,.273,26,36,.722,17,38,12,9,3,4,25
14,14,2013-12-28,@,Binghamton,L,62,67,22,58,.379,5,24,.208,13,17,.765,9,38,12,8,5,15,21,,23,61,.377,8,21,.381,13,25,.520,12,37,16,9,4,13,18
15,15,2013-12-30,,Lehigh,W,70,68,26,60,.433,5,21,.238,13,20,.650,7,30,12,4,3,7,15,,25,58,.431,8,16,.500,10,14,.714,8,35,13,2,5,13,18
16,16,2014-01-09,,Saint Francis (PA),W,77,67,27,55,.491,8,16,.500,15,22,.682,9,27,13,8,5,8,19,,21,45,.467,10,17,.588,15,20,.750,5,26,12,7,1,17,17
17,17,2014-01-11,,Robert Morris,L,67,71,26,54,.481,7,21,.333,8,15,.533,8,28,20,2,3,17,13,,26,67,.388,9,26,.346,10,13,.769,18,40,13,10,1,13,14
18,18,2014-01-16,,Sacred Heart,W,85,70,35,66,.530,8,25,.320,7,11,.636,7,32,21,6,3,7,20,,23,60,.383,7,25,.280,17,27,.630,15,39,11,1,0,16,14
19,19,2014-01-18,@,Fairleigh Dickinson,W,95,68,33,56,.589,11,17,.647,18,27,.667,10,30,20,6,0,10,21,,22,56,.393,6,20,.300,18,22,.818,11,28,9,5,7,10,25
20,20,2014-01-23,,LIU-Brooklyn,W,87,79,30,61,.492,9,21,.429,18,23,.783,9,31,21,3,1,8,12,,31,66,.470,11,34,.324,6,12,.500,10,33,17,3,2,8,17
21,21,2014-01-25,,St. Francis (NY),W,83,79,22,50,.440,4,15,.267,35,44,.795,5,36,8,3,3,12,25,,26,64,.406,10,26,.385,17,32,.531,11,37,11,6,6,8,33
22,22,2014-01-30,@,Robert Morris,L,76,79,31,60,.517,6,21,.286,8,12,.667,8,25,15,7,1,10,15,,27,58,.466,9,26,.346,16,17,.941,10,34,13,5,2,11,15
23,23,2014-02-02,@,Sacred Heart,W,76,67,26,55,.473,3,18,.167,21,25,.840,9,34,7,11,1,11,15,,25,63,.397,12,26,.462,5,6,.833,9,29,11,6,4,14,18
24,24,2014-02-06,@,Central Connecticut,W,79,68,31,63,.492,10,28,.357,7,9,.778,11,34,14,3,4,10,10,,26,66,.394,5,18,.278,11,12,.917,12,34,12,4,6,8,15
25,25,2014-02-08,,Mount St. Mary's,W,78,75,28,53,.528,5,12,.417,17,25,.680,9,31,11,7,3,14,13,,25,60,.417,10,26,.385,15,19,.789,11,30,8,8,4,10,17
26,26,2014-02-16,@,Wagner,L,61,73,24,52,.462,2,13,.154,11,14,.786,6,24,12,6,1,18,18,,22,45,.489,8,16,.500,21,26,.808,7,28,11,11,8,18,16
27,27,2014-02-20,,Fairleigh Dickinson,L,52,63,16,54,.296,5,18,.278,15,23,.652,8,30,9,4,2,9,16,,20,49,.408,13,22,.591,10,16,.625,7,35,11,7,6,11,21
28,28,2014-02-22,,Central Connecticut,W,68,65,27,58,.466,4,15,.267,10,17,.588,11,34,17,8,5,15,12,,23,57,.404,10,25,.400,9,15,.600,9,28,14,12,4,15,19
29,29,2014-02-24,@,Mount St. Mary's,L,73,88,29,62,.468,5,18,.278,10,20,.500,14,26,10,6,2,13,19,,30,55,.545,11,21,.524,17,19,.895,9,34,16,5,3,16,18
30,30,2014-02-27,@,St. Francis (NY),L,59,62,20,48,.417,4,13,.308,15,20,.750,9,30,7,4,5,9,15,,25,58,.431,5,24,.208,7,18,.389,15,33,12,3,12,8,17
31,31,2014-03-01,@,LIU-Brooklyn,W,81,62,29,56,.518,10,23,.435,13,21,.619,5,33,21,9,3,7,11,,24,62,.387,6,21,.286,8,12,.667,10,33,14,4,2,12,16
32,32,2014-03-05,,Saint Francis (PA),L,54,55,20,47,.426,8,19,.421,6,8,.750,3,21,10,7,1,9,16,,20,50,.400,7,20,.350,8,11,.727,12,31,12,4,4,13,9
