,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Texas A&M,L,58,82,20,64,.313,7,23,.304,11,19,.579,9,36,13,3,3,14,17,,32,67,.478,8,20,.400,10,19,.526,10,44,17,8,5,10,17
2,2,2013-11-13,@,Niagara,L,81,92,25,66,.379,5,24,.208,26,33,.788,16,39,8,5,6,17,30,,30,62,.484,3,11,.273,29,40,.725,11,37,10,6,0,16,26
3,3,2013-11-16,,West Virginia Wesleyan,W,80,60,30,56,.536,4,15,.267,16,26,.615,11,29,14,10,6,12,17,,20,50,.400,11,30,.367,9,14,.643,6,26,14,5,0,19,21
4,4,2013-11-26,,Robert Morris,W,81,66,25,58,.431,6,19,.316,25,39,.641,16,41,15,5,6,12,22,,21,55,.382,4,17,.235,20,27,.741,8,31,11,7,4,12,25
5,5,2013-11-30,,Delaware State,W,65,55,21,44,.477,7,19,.368,16,24,.667,7,31,15,11,5,16,17,,21,54,.389,5,11,.455,8,13,.615,10,28,13,9,1,16,20
6,6,2013-12-07,,St. Bonaventure,W,78,73,21,46,.457,8,23,.348,28,32,.875,8,29,11,5,8,14,25,,24,53,.453,1,10,.100,24,38,.632,12,28,9,9,2,12,22
7,7,2013-12-11,N,Canisius,L,55,69,23,54,.426,6,23,.261,3,8,.375,10,28,13,2,3,15,23,,25,57,.439,6,17,.353,13,25,.520,11,32,9,7,3,6,12
8,8,2013-12-21,N,Manhattan,L (1 OT),81,84,23,57,.404,5,14,.357,30,37,.811,12,38,11,7,12,22,29,,24,70,.343,6,18,.333,30,36,.833,12,30,16,16,5,14,27
9,9,2013-12-23,,Binghamton,W,87,57,28,59,.475,9,24,.375,22,30,.733,16,37,21,7,7,7,21,,18,45,.400,3,12,.250,18,25,.720,9,25,10,2,0,16,25
10,10,2013-12-29,@,Drexel,W,55,52,21,59,.356,4,16,.250,9,17,.529,12,42,13,3,6,12,16,,19,58,.328,1,14,.071,13,20,.650,6,34,11,6,4,8,19
