Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,UNLV,L,72,74,26,65,.400,7,25,.280,13,16,.813,12,32,13,9,1,13,30,,23,51,.451,3,14,.214,25,40,.625,14,40,16,4,5,19,24
2,2,2015-11-15,@,UCLA,L,83,88,28,63,.444,13,27,.481,14,23,.609,10,30,17,5,0,14,27,,32,64,.500,4,15,.267,20,30,.667,13,41,22,8,3,10,17
3,3,2015-11-18,,Cal State Monterey Bay,W,71,62,27,61,.443,5,21,.238,12,22,.545,9,44,16,5,3,9,14,,25,70,.357,7,21,.333,5,9,.556,10,37,14,5,1,8,23
4,4,2015-11-21,N,Austin Peay,W,73,64,26,60,.433,8,24,.333,13,19,.684,7,33,15,6,2,12,19,,23,55,.418,5,17,.294,13,18,.722,6,35,12,5,3,16,20
5,5,2015-11-22,N,UMBC,W,78,65,29,58,.500,15,27,.556,5,6,.833,8,37,20,2,2,13,18,,23,53,.434,4,19,.211,15,22,.682,3,19,11,6,0,5,14
6,6,2015-11-28,,Antelope Valley,W,85,55,34,73,.466,9,28,.321,8,13,.615,14,43,21,8,2,6,8,,22,59,.373,4,21,.190,7,9,.778,6,29,16,5,2,12,14
7,7,2015-12-03,,IPFW,L,73,75,27,61,.443,7,17,.412,12,20,.600,9,36,16,5,5,10,14,,28,59,.475,14,30,.467,5,8,.625,7,28,18,4,1,8,16
8,8,2015-12-05,,Fresno State,W,77,65,22,44,.500,8,22,.364,25,35,.714,6,33,14,4,3,10,20,,24,69,.348,5,22,.227,12,17,.706,17,39,12,3,0,6,26
9,9,2015-12-14,@,Saint Mary's (CA),L,63,93,22,53,.415,4,13,.308,15,21,.714,6,19,5,5,1,6,12,,35,58,.603,19,31,.613,4,5,.800,6,31,28,2,3,8,17
10,10,2015-12-17,@,USC,L,82,101,29,67,.433,8,17,.471,16,23,.696,9,30,15,11,3,10,22,,36,64,.563,12,23,.522,17,28,.607,8,35,22,7,3,13,20
