Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Loyola Marymount,L,74,79,27,57,.474,6,16,.375,14,19,.737,9,39,18,4,2,18,26,,25,72,.347,6,24,.250,23,29,.793,14,37,13,6,4,10,22
2,2,2015-11-17,@,Pacific,W,77,76,24,54,.444,9,23,.391,20,27,.741,5,30,11,4,1,11,25,,26,60,.433,9,27,.333,15,22,.682,11,39,16,5,1,12,23
3,3,2015-11-21,,San Diego,W,67,55,23,50,.460,7,14,.500,14,20,.700,6,24,11,7,1,9,18,,18,48,.375,6,24,.250,13,16,.813,10,34,11,2,3,19,17
4,4,2015-11-24,@,Southern Utah,W,80,66,23,56,.411,10,22,.455,24,36,.667,8,41,9,7,4,11,20,,23,66,.348,8,23,.348,12,17,.706,10,38,14,2,5,12,23
5,5,2015-11-28,,Nevada,W,75,66,25,64,.391,6,20,.300,19,23,.826,9,34,13,10,5,11,17,,23,59,.390,7,20,.350,13,14,.929,9,39,14,7,7,19,20
6,6,2015-12-01,,Cal State Dominguez Hills,W,88,56,34,71,.479,8,23,.348,12,18,.667,11,52,19,6,6,7,10,,24,72,.333,4,24,.167,4,8,.500,8,36,11,4,4,8,15
7,7,2015-12-04,@,Seattle,W,70,61,24,65,.369,9,32,.281,13,18,.722,11,34,10,10,1,10,17,,19,52,.365,7,19,.368,16,20,.800,9,37,10,4,1,19,19
8,8,2015-12-06,@,Washington,L,69,87,21,61,.344,7,19,.368,20,31,.645,14,35,8,10,2,19,24,,29,65,.446,11,26,.423,18,28,.643,15,39,18,8,11,17,21
9,9,2015-12-12,,Loyola Marymount,L,70,82,22,53,.415,8,21,.381,18,28,.643,10,28,12,1,1,13,19,,32,59,.542,10,19,.526,8,13,.615,8,27,21,4,3,9,22
10,10,2015-12-18,N,Oregon State,L,69,82,22,52,.423,9,23,.391,16,29,.552,8,29,10,3,0,10,23,,26,54,.481,8,20,.400,22,29,.759,10,35,14,2,2,10,20
