,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Northern Illinois,L,71,83,26,55,.473,4,12,.333,15,31,.484,11,30,15,7,1,14,27,,24,54,.444,11,24,.458,24,34,.706,8,36,16,8,3,12,24
2,2,2015-11-14,N,Wright State,W,72,67,22,44,.500,3,7,.429,25,33,.758,2,26,13,8,3,12,12,,25,55,.455,12,22,.545,5,9,.556,4,23,13,6,1,13,28
3,3,2015-11-15,N,South Dakota,L,72,76,23,53,.434,7,18,.389,19,26,.731,5,33,17,1,2,13,20,,27,57,.474,7,21,.333,15,20,.750,3,26,18,5,3,7,24
4,4,2015-11-18,,Vanguard,W,72,52,30,59,.508,3,12,.250,9,12,.750,8,41,21,5,3,13,14,,18,61,.295,9,27,.333,7,11,.636,10,30,8,7,3,10,14
5,5,2015-11-23,@,USC,L,61,96,22,64,.344,1,14,.071,16,25,.640,12,32,9,9,3,10,18,,37,76,.487,13,30,.433,9,11,.818,16,53,26,5,5,15,17
6,6,2015-11-25,@,Loyola Marymount,L (1 OT),80,82,24,53,.453,7,18,.389,25,27,.926,12,38,21,8,1,20,22,,28,67,.418,9,25,.360,17,22,.773,10,26,17,10,2,11,22
7,7,2015-11-29,@,UCLA,L,45,77,17,58,.293,1,11,.091,10,13,.769,8,35,9,4,1,15,14,,29,68,.426,9,24,.375,10,18,.556,15,45,21,7,4,7,12
8,8,2015-12-05,,Pepperdine,L,55,70,23,57,.404,3,10,.300,6,6,1.000,14,41,12,6,3,20,13,,29,67,.433,5,13,.385,7,9,.778,8,24,14,12,5,10,12
9,9,2015-12-07,@,San Francisco,L,61,65,22,54,.407,7,13,.538,10,14,.714,12,36,11,5,2,16,23,,21,50,.420,7,18,.389,16,24,.667,9,29,11,9,6,12,19
10,10,2015-12-17,@,Portland State,W,77,71,28,53,.528,4,10,.400,17,23,.739,11,38,10,10,4,18,16,,27,64,.422,9,23,.391,8,14,.571,9,24,21,12,3,14,17
11,11,2015-12-20,,Bethesda University (CA),W,79,49,23,51,.451,2,12,.167,31,44,.705,10,41,13,11,3,11,12,,18,65,.277,4,22,.182,9,12,.750,11,36,14,7,1,17,27
12,12,2015-12-23,@,San Diego,L,63,81,21,55,.382,3,14,.214,18,28,.643,6,28,8,3,3,8,23,,27,55,.491,15,35,.429,12,23,.522,10,41,17,3,5,8,20
13,13,2015-12-29,@,Idaho State,L,79,84,28,59,.475,7,25,.280,16,22,.727,8,32,13,4,4,14,25,,27,58,.466,6,19,.316,24,34,.706,9,34,11,5,2,10,19
14,14,2016-01-02,,Morgan State,W,88,74,28,57,.491,6,12,.500,26,31,.839,6,40,16,1,7,11,21,,26,70,.371,6,16,.375,16,21,.762,8,31,15,4,3,6,26
15,15,2016-01-06,,Long Beach State,L,79,94,31,62,.500,7,18,.389,10,19,.526,6,30,21,3,6,10,24,,32,65,.492,15,30,.500,15,24,.625,10,42,24,4,1,10,22
16,16,2016-01-09,@,Cal State Fullerton,W,85,75,26,48,.542,2,9,.222,31,39,.795,5,31,12,7,4,19,24,,20,65,.308,9,27,.333,26,29,.897,15,34,8,6,1,18,28
17,17,2016-01-14,@,UC-Davis,L,62,63,26,54,.481,1,8,.125,9,13,.692,4,24,16,6,6,8,17,,25,53,.472,7,11,.636,6,15,.400,8,31,14,4,3,13,16
18,18,2016-01-16,,UC-Riverside,L,72,75,23,58,.397,7,16,.438,19,23,.826,3,28,19,6,5,11,23,,24,56,.429,8,18,.444,19,27,.704,9,37,14,7,4,15,20
19,19,2016-01-21,,Cal Poly,W,76,74,27,56,.482,5,13,.385,17,23,.739,6,24,17,10,3,12,16,,29,54,.537,6,17,.353,10,17,.588,6,27,16,8,4,17,18
20,20,2016-01-23,@,UCSB,L,61,74,19,46,.413,6,17,.353,17,29,.586,1,26,13,5,0,16,18,,29,61,.475,5,15,.333,11,15,.733,9,36,22,6,4,14,25
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-27,,UC-Irvine,L,63,73,26,63,.413,1,12,.083,10,16,.625,10,31,14,8,1,15,19,,29,56,.518,4,12,.333,11,18,.611,7,33,13,5,7,15,18
22,22,2016-02-03,@,UC-Riverside,W,73,71,28,52,.538,6,15,.400,11,15,.733,7,22,16,4,4,6,14,,25,48,.521,9,17,.529,12,14,.857,4,24,14,5,3,12,19
23,23,2016-02-06,@,Long Beach State,L,76,81,26,56,.464,8,17,.471,16,27,.593,12,33,14,7,2,15,30,,24,56,.429,4,13,.308,29,37,.784,13,35,7,7,2,13,24
24,24,2016-02-10,,Cal State Fullerton,W,75,67,23,56,.411,4,16,.250,25,35,.714,12,40,11,7,7,14,24,,25,61,.410,3,14,.214,14,27,.519,12,36,8,5,1,15,26
25,25,2016-02-13,@,UC-Irvine,L,84,93,30,74,.405,5,18,.278,19,27,.704,9,33,16,11,2,12,21,,36,66,.545,8,14,.571,13,22,.591,8,44,20,6,13,19,24
26,26,2016-02-18,,Hawaii,L,63,69,21,56,.375,1,14,.071,20,28,.714,9,25,11,7,1,11,22,,22,47,.468,6,18,.333,19,22,.864,9,38,12,2,2,20,23
27,27,2016-02-20,@,Cal Poly,W (1 OT),75,71,24,62,.387,6,12,.500,21,27,.778,9,36,10,9,1,10,22,,25,66,.379,9,26,.346,12,25,.480,19,44,15,3,10,12,21
28,28,2016-02-25,,UCSB,L,63,78,20,64,.313,4,22,.182,19,28,.679,14,31,13,13,6,15,15,,31,65,.477,9,19,.474,7,12,.583,13,43,17,8,5,22,22
29,29,2016-02-27,@,Hawaii,L,78,89,29,68,.426,1,9,.111,19,27,.704,12,30,13,12,2,17,31,,28,53,.528,4,16,.250,29,37,.784,9,34,16,9,5,22,24
30,30,2016-03-05,,UC-Davis,L (3 OT),83,87,29,76,.382,4,21,.190,21,24,.875,9,44,19,6,6,19,24,,32,76,.421,4,14,.286,19,27,.704,10,44,20,11,2,13,17
