Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,North Dakota State,L (1 OT),71,79,26,61,.426,4,13,.308,15,31,.484,11,43,13,5,3,12,14,,34,77,.442,7,23,.304,4,9,.444,12,41,13,7,1,9,21
2,2,2015-11-15,,Portland,W,79,66,29,57,.509,7,14,.500,14,18,.778,9,48,12,4,2,20,17,,27,80,.338,11,31,.355,1,6,.167,14,31,12,9,5,11,20
3,3,2015-11-18,,Fresno Pacific,W,76,46,25,50,.500,6,14,.429,20,26,.769,3,43,13,9,5,22,11,,18,71,.254,6,25,.240,4,4,1.000,10,32,7,13,8,20,23
4,4,2015-11-24,@,Sacramento State,L,79,84,26,52,.500,9,22,.409,18,25,.720,9,36,13,3,0,19,30,,25,60,.417,6,15,.400,28,34,.824,10,29,15,9,2,6,24
5,5,2015-11-28,@,Utah Valley,W,82,70,30,59,.508,7,13,.538,15,23,.652,8,34,16,11,0,11,15,,26,52,.500,8,26,.308,10,15,.667,3,24,18,7,0,16,20
6,6,2015-12-02,,Sacramento State,W,66,61,23,51,.451,6,12,.500,14,24,.583,6,36,12,7,1,13,15,,23,61,.377,7,25,.280,8,16,.500,9,37,14,5,4,10,25
7,7,2015-12-04,@,Saint Mary's (CA),L,67,81,26,59,.441,7,18,.389,8,14,.571,4,25,12,3,1,8,23,,27,52,.519,12,29,.414,15,23,.652,6,39,22,5,3,12,16
8,8,2015-12-15,@,San Diego,L,55,61,18,46,.391,4,11,.364,15,27,.556,6,32,8,8,1,14,22,,21,52,.404,7,23,.304,12,23,.522,9,35,14,7,11,13,26
9,9,2015-12-19,,Air Force,L,60,67,24,63,.381,4,23,.174,8,13,.615,14,35,6,7,2,15,17,,24,48,.500,8,19,.421,11,17,.647,4,27,14,3,2,15,15
10,10,2015-12-22,,Idaho,L,51,68,14,40,.350,4,15,.267,19,32,.594,7,26,8,7,2,16,15,,26,56,.464,7,18,.389,9,10,.900,9,33,16,7,3,15,25
11,11,2015-12-28,@,Seattle,L (1 OT),75,80,27,59,.458,9,23,.391,12,21,.571,10,28,13,12,1,18,25,,27,57,.474,10,27,.370,16,23,.696,10,29,19,9,1,21,22
12,12,2015-12-30,@,Boise State,L,56,64,24,48,.500,4,13,.308,4,7,.571,2,22,11,4,3,16,22,,20,49,.408,6,21,.286,18,26,.692,4,23,12,10,2,12,13
13,13,2016-01-02,,Holy Names,W,74,49,30,54,.556,1,12,.083,13,26,.500,8,42,14,6,2,9,15,,19,58,.328,4,20,.200,7,10,.700,3,22,14,3,1,11,20
14,14,2016-01-07,@,UC-Irvine,L,55,76,15,50,.300,3,13,.231,22,29,.759,9,29,5,5,4,12,20,,27,51,.529,7,12,.583,15,23,.652,6,34,14,9,7,14,25
15,15,2016-01-09,@,Long Beach State,L,47,59,20,50,.400,3,10,.300,4,10,.400,6,35,5,6,0,17,15,,23,57,.404,5,16,.313,8,13,.615,10,34,13,10,4,12,14
16,16,2016-01-14,,Cal State Northridge,W,63,62,25,53,.472,7,11,.636,6,15,.400,8,31,14,4,3,13,16,,26,54,.481,1,8,.125,9,13,.692,4,24,16,6,6,8,17
17,17,2016-01-21,,UC-Riverside,W,58,55,20,46,.435,5,13,.385,13,16,.813,6,26,12,9,3,16,14,,22,53,.415,7,23,.304,4,5,.800,10,33,12,9,2,20,18
18,18,2016-01-23,@,Hawaii,L,62,78,24,47,.511,3,9,.333,11,17,.647,5,18,9,5,0,13,18,,26,48,.542,10,27,.370,16,19,.842,6,24,17,10,3,9,18
19,19,2016-01-27,,Cal State Fullerton,W,69,64,25,57,.439,7,16,.438,12,17,.706,8,29,9,4,1,10,19,,20,46,.435,6,17,.353,18,25,.720,6,32,8,6,4,16,19
