Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,UC-San Diego,W,89,73,31,50,.620,7,14,.500,20,28,.714,3,26,18,2,8,8,16,,24,62,.387,11,27,.407,14,15,.933,8,24,13,4,1,5,21
2,2,2015-11-15,,Loyola Marymount,W,77,53,27,51,.529,5,19,.263,18,26,.692,8,39,17,12,6,17,20,,17,62,.274,4,17,.235,15,19,.789,14,30,8,9,2,16,25
3,3,2015-11-18,@,UCF,W (1 OT),61,60,24,69,.348,7,18,.389,6,8,.750,6,31,17,9,6,7,19,,22,64,.344,5,19,.263,11,17,.647,13,47,15,2,6,17,12
4,4,2015-11-23,,Santa Clara,W,79,61,24,56,.429,9,16,.563,22,33,.667,14,47,16,5,7,16,21,,17,67,.254,4,21,.190,23,27,.852,13,31,7,6,2,9,25
5,5,2015-11-26,N,Boise State,L,64,71,22,50,.440,5,21,.238,15,20,.750,7,29,14,8,4,15,19,,25,57,.439,11,28,.393,10,14,.714,9,34,21,3,0,16,19
6,6,2015-11-27,N,Boston College,W,80,67,31,60,.517,4,14,.286,14,18,.778,9,34,21,4,2,6,17,,24,53,.453,5,15,.333,14,17,.824,3,22,13,2,2,8,17
7,7,2015-11-29,N,Evansville,L,56,75,20,62,.323,3,15,.200,13,19,.684,6,26,16,3,3,5,16,,26,47,.553,4,11,.364,19,23,.826,3,34,23,3,6,12,18
8,8,2015-12-04,@,Pacific,W,70,67,25,56,.446,5,20,.250,15,21,.714,13,35,17,6,1,13,14,,28,57,.491,6,20,.300,5,9,.556,9,27,16,3,2,10,18
9,9,2015-12-06,@,Saint Mary's (CA),L,60,70,19,48,.396,9,24,.375,13,20,.650,11,32,12,4,5,12,15,,25,50,.500,9,17,.529,11,16,.688,7,29,18,5,2,8,17
10,10,2015-12-12,@,Utah State,W,73,63,28,58,.483,7,18,.389,10,13,.769,11,42,16,5,5,10,15,,23,65,.354,10,28,.357,7,10,.700,13,33,17,7,0,8,14
11,11,2015-12-15,@,Oregon,L,63,78,24,52,.462,4,15,.267,11,17,.647,9,28,15,3,3,22,23,,27,63,.429,6,18,.333,18,23,.783,15,33,19,12,6,12,15
12,12,2015-12-18,,Chapman,W,65,51,26,53,.491,6,17,.353,7,14,.500,6,38,12,5,13,14,12,,21,63,.333,6,19,.316,3,6,.500,10,30,9,5,0,9,18
13,13,2015-12-21,N,Sam Houston State,W,63,53,22,51,.431,5,19,.263,14,17,.824,4,33,14,8,4,9,22,,19,55,.345,4,15,.267,11,20,.550,11,34,11,3,0,13,18
14,14,2015-12-22,N,Norfolk State,W,80,62,25,53,.472,8,19,.421,22,33,.667,12,45,17,7,8,12,19,,16,58,.276,8,24,.333,22,28,.786,8,26,8,5,3,11,27
15,15,2015-12-29,@,Kansas,L,53,78,18,48,.375,2,15,.133,15,22,.682,8,26,7,4,4,12,22,,24,51,.471,5,17,.294,25,33,.758,10,32,17,9,2,9,23
16,16,2016-01-02,,New Mexico State,W,54,52,21,54,.389,4,11,.364,8,13,.615,6,28,12,7,2,7,13,,22,53,.415,7,19,.368,1,1,1.000,8,34,14,3,3,15,9
17,17,2016-01-07,,UC-Davis,W,76,55,27,51,.529,7,12,.583,15,23,.652,6,34,14,9,7,14,25,,15,50,.300,3,13,.231,22,29,.759,9,29,5,5,4,12,20
18,18,2016-01-09,,UC-Riverside,W,84,68,27,48,.563,8,12,.667,22,28,.786,2,33,13,4,7,12,21,,22,61,.361,7,23,.304,17,28,.607,12,35,12,5,1,7,24
19,19,2016-01-14,@,Long Beach State,W,58,54,19,58,.328,5,19,.263,15,24,.625,7,35,13,10,4,11,23,,14,57,.246,6,26,.231,20,26,.769,15,47,9,6,3,18,22
20,20,2016-01-16,@,UCSB,W,61,52,19,54,.352,4,17,.235,19,32,.594,13,41,9,3,3,8,13,,20,57,.351,11,26,.423,1,5,.200,9,36,16,2,3,15,24
21,21,2016-01-20,,Cal State Fullerton,W,72,59,27,59,.458,9,28,.321,9,14,.643,9,38,15,3,2,7,18,,18,50,.360,4,18,.222,19,26,.731,3,27,5,4,1,7,15
22,22,2016-01-27,@,Cal State Northridge,W,73,63,29,56,.518,4,12,.333,11,18,.611,7,33,13,5,7,15,18,,26,63,.413,1,12,.083,10,16,.625,10,31,14,8,1,15,19
23,23,2016-01-30,,UCSB,L,60,76,22,52,.423,7,16,.438,9,13,.692,11,32,9,3,5,15,19,,27,61,.443,9,23,.391,13,19,.684,12,30,20,9,6,8,14
24,24,2016-02-03,@,Cal Poly,W (1 OT),78,72,26,55,.473,6,13,.462,20,29,.690,6,36,16,5,13,17,20,,25,70,.357,10,30,.333,12,17,.706,11,35,16,8,2,10,27
25,25,2016-02-11,@,Hawaii,L,52,74,20,64,.313,4,16,.250,8,12,.667,15,40,10,5,2,13,16,,25,59,.424,14,30,.467,10,17,.588,8,39,20,9,3,9,17
26,26,2016-02-13,,Cal State Northridge,W,93,84,36,66,.545,8,14,.571,13,22,.591,8,44,20,6,13,19,24,,30,74,.405,5,18,.278,19,27,.704,9,33,16,11,2,12,21
27,27,2016-02-17,@,Cal State Fullerton,W,96,77,34,56,.607,13,24,.542,15,20,.750,6,29,27,4,3,9,10,,28,55,.509,12,25,.480,9,12,.750,5,24,17,5,1,11,19
28,28,2016-02-20,,Hawaii,L,71,75,25,56,.446,3,18,.167,18,26,.692,10,24,19,7,5,11,19,,25,53,.472,7,19,.368,18,24,.750,10,32,15,6,0,13,21
29,29,2016-02-24,,Long Beach State,W,90,67,34,53,.642,12,20,.600,10,14,.714,4,30,23,6,6,12,21,,17,53,.321,8,26,.308,25,27,.926,6,23,11,5,1,11,19
30,30,2016-02-27,@,UC-Davis,W,62,61,25,59,.424,7,16,.438,5,10,.500,10,33,19,7,4,14,13,,26,53,.491,7,20,.350,2,3,.667,4,26,17,5,2,16,15
31,31,2016-03-03,,Cal Poly,W,72,62,29,51,.569,4,11,.364,10,15,.667,4,25,16,6,6,11,21,,17,52,.327,4,22,.182,24,29,.828,12,31,10,3,1,12,19
32,32,2016-03-05,@,UC-Riverside,W,76,66,25,41,.610,4,12,.333,22,32,.688,4,29,11,4,2,17,21,,21,54,.389,8,19,.421,16,22,.727,5,20,16,3,0,11,23
