,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,William Jessup,W,100,68,39,70,.557,12,26,.462,10,21,.476,9,39,25,10,7,8,21,,23,68,.338,3,21,.143,19,25,.760,13,36,11,5,2,13,19
2,2,2015-11-19,,Santa Clara,W,77,63,28,62,.452,13,29,.448,8,11,.727,10,34,19,4,3,6,17,,23,54,.426,4,15,.267,13,18,.722,6,31,14,1,1,8,15
3,3,2015-11-21,@,San Francisco,L,57,58,22,62,.355,11,30,.367,2,5,.400,7,31,9,6,4,7,19,,17,53,.321,6,25,.240,18,21,.857,10,42,10,2,3,11,12
4,4,2015-11-24,,Delaware State,W,81,55,28,57,.491,9,21,.429,16,23,.696,11,41,18,7,2,12,20,,19,53,.358,3,16,.188,14,18,.778,3,25,9,7,7,15,19
5,5,2015-11-27,@,Rice,L,81,87,25,60,.417,9,24,.375,22,33,.667,14,36,12,6,1,11,29,,26,53,.491,7,22,.318,28,37,.757,7,35,16,4,3,11,23
6,6,2015-11-29,@,Lamar,W,74,69,27,60,.450,9,23,.391,11,16,.688,12,33,13,6,1,17,21,,22,60,.367,3,19,.158,22,28,.786,16,37,14,8,2,18,21
7,7,2015-12-03,,Northern Colorado,W,77,66,25,56,.446,9,24,.375,18,26,.692,7,37,17,4,3,12,16,,24,65,.369,7,18,.389,11,17,.647,10,30,7,4,3,10,21
8,8,2015-12-06,@,Loyola Marymount,L,76,77,23,58,.397,9,27,.333,21,24,.875,9,33,16,6,6,15,18,,27,63,.429,9,22,.409,14,18,.778,11,34,18,9,3,12,20
9,9,2015-12-12,,UNLV,L,62,73,21,61,.344,5,18,.278,15,21,.714,13,46,10,5,6,22,25,,27,66,.409,4,15,.267,15,26,.577,9,35,11,16,6,10,18
