,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Nebraska-Omaha,W,60,59,22,63,.349,4,22,.182,12,16,.750,14,42,10,9,3,20,25,,17,49,.347,3,22,.136,22,35,.629,8,33,10,10,3,19,18
2,2,2015-11-16,@,University of California,L,67,85,24,60,.400,7,20,.350,12,22,.545,4,26,13,3,1,9,25,,25,51,.490,6,22,.273,29,38,.763,5,35,14,2,6,10,18
3,3,2015-11-21,,Oregon State,L,59,71,22,65,.338,4,22,.182,11,14,.786,16,36,14,4,1,9,12,,24,55,.436,10,18,.556,13,14,.929,9,34,18,3,5,13,18
4,4,2015-11-25,@,San Francisco,W,68,61,25,59,.424,5,20,.250,13,15,.867,11,33,12,3,1,7,19,,21,50,.420,5,20,.250,14,24,.583,11,32,9,3,2,13,16
5,5,2015-11-29,@,Arizona State,L,68,70,26,52,.500,8,16,.500,8,8,1.000,4,28,21,6,3,15,23,,20,59,.339,7,25,.280,23,26,.885,14,32,10,4,2,9,14
6,6,2015-12-03,,USC,L,63,75,25,59,.424,10,19,.526,3,6,.500,4,24,19,2,2,13,17,,25,64,.391,7,24,.292,18,23,.783,14,42,16,7,8,10,11
7,7,2015-12-13,@,South Dakota State,L,68,86,25,56,.446,2,18,.111,16,23,.696,8,25,12,8,3,9,22,,28,48,.583,9,20,.450,21,26,.808,4,27,11,4,2,12,23
8,8,2015-12-16,@,Vermont,L,68,75,25,57,.439,7,16,.438,11,19,.579,11,33,10,4,2,12,25,,21,47,.447,7,25,.280,26,36,.722,5,30,6,5,2,9,19
9,9,2015-12-21,N,Akron,L,70,84,26,56,.464,7,20,.350,11,14,.786,8,34,14,8,4,19,21,,27,56,.482,15,32,.469,15,21,.714,4,24,17,7,4,11,17
10,10,2015-12-22,N,Iona,W,80,76,27,60,.450,5,16,.313,21,28,.750,7,37,11,6,3,8,17,,26,59,.441,11,30,.367,13,23,.565,7,36,14,4,1,11,19
11,11,2015-12-28,@,Washington,W,83,78,30,66,.455,7,19,.368,16,18,.889,10,39,15,4,2,16,22,,27,68,.397,6,27,.222,18,27,.667,16,36,14,7,9,11,17
12,12,2015-12-30,@,Seattle,W,88,50,34,64,.531,14,30,.467,6,8,.750,8,38,23,8,3,9,16,,19,55,.345,5,18,.278,7,12,.583,6,25,12,6,3,15,9
