,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Montreat,W,87,42,29,63,.460,13,33,.394,16,26,.615,14,45,18,18,5,14,20,,13,57,.228,4,17,.235,12,19,.632,9,32,3,6,1,20,21
2,2,2015-11-16,@,Savannah State,L,57,59,19,44,.432,4,14,.286,15,26,.577,6,35,10,10,1,23,25,,19,50,.380,5,13,.385,16,27,.593,6,27,8,9,3,17,23
3,3,2015-11-21,,Morgan State,L,54,59,19,56,.339,4,20,.200,12,23,.522,7,30,9,12,2,10,22,,20,47,.426,6,13,.462,13,22,.591,6,40,15,4,3,16,20
4,4,2015-11-24,@,Southern Illinois-Edwardsville,W,77,74,27,52,.519,7,19,.368,16,25,.640,1,22,11,6,0,8,21,,28,65,.431,4,16,.250,14,23,.609,15,41,10,4,3,13,24
5,5,2015-11-28,,Coastal Carolina,W,79,73,27,55,.491,11,23,.478,14,20,.700,6,31,13,2,1,11,16,,28,58,.483,5,18,.278,12,20,.600,8,31,15,4,2,9,17
6,6,2015-11-30,,Virginia Military Institute,W,66,65,20,58,.345,5,18,.278,21,31,.677,12,38,11,6,5,5,16,,25,60,.417,7,20,.350,8,13,.615,9,39,13,5,4,9,19
7,7,2015-12-09,@,Charlotte,W,76,70,30,64,.469,8,20,.400,8,12,.667,9,34,6,4,2,10,16,,24,64,.375,7,24,.292,15,19,.789,13,40,9,4,3,13,14
8,8,2015-12-13,@,North Carolina-Asheville,L,60,80,19,64,.297,4,27,.148,18,24,.750,9,30,7,8,1,9,26,,25,52,.481,1,7,.143,29,35,.829,7,40,12,2,4,12,20
9,9,2015-12-16,,Johnson & Wales (NC),W,87,53,31,63,.492,13,32,.406,12,18,.667,14,45,21,9,3,15,10,,21,61,.344,3,12,.250,8,14,.571,9,28,6,11,0,13,16
10,10,2015-12-19,,Citadel,W,101,82,31,53,.585,10,26,.385,29,40,.725,4,38,18,8,0,15,21,,29,72,.403,7,32,.219,17,22,.773,10,33,12,7,0,15,28
11,11,2015-12-22,,College of Charleston,L,68,86,23,55,.418,4,20,.200,18,24,.750,3,22,11,6,0,12,17,,33,57,.579,9,19,.474,11,17,.647,6,36,15,8,2,16,21
12,12,2015-12-28,@,North Carolina-Wilmington,L,83,106,26,60,.433,6,20,.300,25,38,.658,11,33,7,4,1,15,26,,39,70,.557,9,18,.500,19,26,.731,11,40,16,7,5,11,29
13,13,2015-12-31,@,Winthrop,W,90,83,29,54,.537,8,17,.471,24,31,.774,5,30,10,5,3,16,22,,29,65,.446,10,28,.357,15,24,.625,13,32,10,7,4,15,23
14,14,2016-01-02,,Presbyterian,L,63,70,23,55,.418,8,32,.250,9,14,.643,7,33,14,6,2,13,15,,27,56,.482,7,15,.467,9,14,.643,5,32,14,9,2,9,17
15,15,2016-01-06,@,Gardner-Webb,L,68,71,23,48,.479,6,18,.333,16,24,.667,4,27,6,7,2,14,21,,27,65,.415,4,20,.200,13,22,.591,22,44,8,6,2,16,21
16,16,2016-01-09,@,Liberty,L,52,55,15,49,.306,5,21,.238,17,23,.739,5,25,7,7,0,12,19,,18,39,.462,5,16,.313,14,22,.636,3,35,8,3,0,18,19
17,17,2016-01-14,,Longwood,L,57,74,20,61,.328,7,27,.259,10,13,.769,6,26,10,10,2,10,12,,32,58,.552,4,10,.400,6,11,.545,7,41,14,5,3,15,15
18,18,2016-01-16,,Charleston Southern,L,75,82,26,58,.448,11,30,.367,12,15,.800,6,27,16,6,1,9,17,,29,51,.569,10,17,.588,14,20,.700,4,30,17,6,2,13,20
19,19,2016-01-20,@,Radford,L,66,78,27,63,.429,8,16,.500,4,4,1.000,11,27,10,7,3,11,16,,30,55,.545,9,14,.643,9,13,.692,10,29,13,6,8,13,13
20,20,2016-01-27,,High Point,L,63,73,18,42,.429,8,24,.333,19,23,.826,3,21,9,4,1,12,20,,23,47,.489,6,12,.500,21,24,.875,3,26,13,6,0,7,17
