,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Hofstra,L,85,96,34,71,.479,11,32,.344,6,9,.667,10,30,17,4,2,12,20,,35,65,.538,11,28,.393,15,24,.625,11,37,23,7,1,13,12
2,2,2015-11-16,,Lehigh,W,98,89,28,66,.424,11,30,.367,31,38,.816,21,38,16,6,3,9,22,,27,58,.466,13,27,.481,22,28,.786,12,27,19,7,4,14,29
3,3,2015-11-21,,Cornell,W,87,62,30,67,.448,8,23,.348,19,27,.704,16,40,19,5,2,10,24,,17,48,.354,6,22,.273,22,32,.688,6,27,9,1,6,16,24
4,4,2015-11-24,,St. Bonaventure,L,73,77,24,63,.381,8,30,.267,17,23,.739,11,30,16,3,4,7,22,,24,54,.444,5,18,.278,24,28,.857,6,34,15,4,3,9,22
5,5,2015-11-28,@,Buffalo,L (1 OT),96,98,34,70,.486,11,29,.379,17,23,.739,13,40,18,6,3,19,26,,34,70,.486,7,16,.438,23,33,.697,12,35,15,12,3,10,23
6,6,2015-12-04,,Monmouth,W,96,86,29,66,.439,16,35,.457,22,29,.759,11,43,20,4,5,14,20,,28,69,.406,9,26,.346,21,26,.808,10,37,13,8,4,8,23
7,7,2015-12-05,,Quinnipiac,L,76,78,27,68,.397,8,30,.267,14,20,.700,12,29,13,6,3,11,18,,29,61,.475,6,16,.375,14,18,.778,14,40,12,5,5,18,19
8,8,2015-12-10,@,Penn State,L,67,81,22,65,.338,8,31,.258,15,23,.652,12,23,12,12,2,12,23,,28,50,.560,3,12,.250,22,26,.846,10,35,16,5,7,21,20
9,9,2015-12-12,@,Kent State,L,77,84,26,66,.394,11,29,.379,14,18,.778,4,23,18,7,1,10,25,,32,59,.542,3,14,.214,17,30,.567,12,42,18,7,7,12,18
10,10,2015-12-19,,Boston University,W,84,68,23,59,.390,8,25,.320,30,42,.714,16,33,12,10,3,16,19,,24,46,.522,6,19,.316,14,19,.737,4,24,11,5,6,23,29
11,11,2015-12-22,N,Louisiana-Monroe,W (3 OT),108,96,29,74,.392,15,35,.429,35,48,.729,9,37,13,11,0,13,25,,34,71,.479,7,22,.318,21,33,.636,14,55,17,8,3,24,33
12,12,2015-12-23,N,Nicholls State,W,83,74,30,59,.508,10,23,.435,13,16,.813,6,27,18,5,2,7,17,,30,61,.492,6,20,.300,8,12,.667,9,30,19,3,0,12,16
13,13,2016-01-02,@,Marist,W,92,83,28,57,.491,9,24,.375,27,34,.794,11,34,15,4,4,10,17,,29,62,.468,15,35,.429,10,17,.588,8,29,17,6,0,11,24
14,14,2016-01-04,@,Monmouth,L,66,81,19,59,.322,7,28,.250,21,33,.636,8,27,13,7,1,8,16,,32,59,.542,8,18,.444,9,12,.750,11,44,14,2,3,17,25
15,15,2016-01-07,,Manhattan,L,86,94,25,50,.500,9,22,.409,27,35,.771,7,23,17,2,3,11,24,,29,52,.558,14,22,.636,22,29,.759,5,22,21,5,0,8,27
16,16,2016-01-09,,St. Peter's,L,53,70,19,64,.297,7,28,.250,8,11,.727,8,29,9,7,1,14,18,,25,49,.510,7,17,.412,13,19,.684,4,35,16,6,5,16,15
17,17,2016-01-12,@,Dartmouth,L,69,80,28,63,.444,8,30,.267,5,8,.625,17,30,11,6,5,16,22,,23,43,.535,6,13,.462,28,35,.800,7,25,14,9,0,16,15
18,18,2016-01-15,@,Manhattan,W,65,62,22,51,.431,3,14,.214,18,23,.783,9,33,13,9,3,14,17,,20,50,.400,8,21,.381,14,21,.667,8,27,15,9,1,14,19
