,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Hartford,L (2 OT),83,92,30,76,.395,9,31,.290,14,25,.560,13,46,15,2,9,13,24,,28,66,.424,10,23,.435,26,33,.788,3,33,12,7,3,6,21
2,2,2015-11-15,@,Penn,L,61,77,25,59,.424,3,14,.214,8,11,.727,5,33,5,6,4,12,22,,26,59,.441,9,27,.333,16,25,.640,8,36,15,5,0,8,13
3,3,2015-11-19,@,Boston College,L,57,82,21,58,.362,5,19,.263,10,16,.625,6,29,6,4,2,13,12,,32,65,.492,13,28,.464,5,16,.313,9,39,17,8,2,8,14
4,4,2015-11-24,,Binghamton,L,75,81,29,64,.453,6,15,.400,11,14,.786,11,32,10,7,2,14,21,,28,53,.528,10,18,.556,15,20,.750,6,27,18,7,4,13,16
5,5,2015-11-29,,Maine,L,74,81,27,70,.386,4,20,.200,16,26,.615,10,35,9,5,5,11,21,,28,59,.475,7,20,.350,18,28,.643,8,37,13,8,3,16,22
6,6,2015-12-02,@,Brown,L,64,82,23,73,.315,6,19,.316,12,22,.545,19,46,10,1,4,10,18,,30,64,.469,10,30,.333,12,16,.750,9,43,19,3,8,5,18
7,7,2015-12-05,@,Fordham,L,54,86,18,47,.383,5,16,.313,13,20,.650,6,23,13,5,1,26,18,,32,60,.533,9,20,.450,13,17,.765,9,34,18,12,3,15,19
8,8,2015-12-08,@,Rutgers,L,59,75,23,60,.383,7,18,.389,6,9,.667,8,29,12,7,6,11,19,,28,57,.491,6,13,.462,13,17,.765,6,33,18,8,2,12,14
9,9,2015-12-18,,UMass-Lowell,W,83,79,29,68,.426,4,12,.333,21,27,.778,14,32,16,13,1,10,16,,31,53,.585,11,24,.458,6,11,.545,4,27,19,4,6,20,21
10,10,2015-12-23,@,UConn,L,52,99,17,49,.347,4,17,.235,14,26,.538,6,17,9,7,3,17,20,,38,63,.603,6,15,.400,17,22,.773,11,43,22,7,3,13,22
11,11,2015-12-30,,Yale,L,42,62,18,53,.340,3,12,.250,3,7,.429,5,24,12,5,9,15,19,,24,63,.381,2,10,.200,12,18,.667,19,47,8,10,8,13,12
