,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Davidson,L,85,90,29,68,.426,9,25,.360,18,29,.621,8,42,18,1,7,10,24,,30,75,.400,9,37,.243,21,28,.750,9,39,18,5,4,6,24
2,2,2015-11-18,,UC-Irvine,L (1 OT),60,61,22,64,.344,5,19,.263,11,17,.647,13,47,15,2,6,17,12,,24,69,.348,7,18,.389,6,8,.750,6,31,17,9,6,7,19
3,3,2015-11-21,,North Carolina-Greensboro,W,65,54,27,58,.466,7,21,.333,4,8,.500,10,41,18,5,5,14,7,,21,69,.304,9,34,.265,3,3,1.000,11,32,12,5,0,8,15
4,4,2015-11-28,@,Miami (OH),L,63,64,26,48,.542,5,16,.313,6,8,.750,8,31,12,5,3,22,18,,23,64,.359,7,27,.259,11,13,.846,16,26,13,12,1,11,15
5,5,2015-12-02,@,Stetson,W,94,85,35,60,.583,7,21,.333,17,23,.739,14,42,17,2,5,12,15,,32,71,.451,9,25,.360,12,19,.632,11,26,22,7,0,5,19
6,6,2015-12-05,,UIC,W,88,58,26,57,.456,7,20,.350,29,37,.784,8,32,14,10,13,5,16,,22,70,.314,4,17,.235,10,21,.476,22,43,10,3,3,15,27
7,7,2015-12-08,,UMass,W,67,63,25,57,.439,4,16,.250,13,19,.684,13,40,11,6,2,18,10,,26,68,.382,7,30,.233,4,6,.667,10,31,13,10,4,10,22
8,8,2015-12-12,,Florida Atlantic,W,75,61,28,60,.467,5,19,.263,14,19,.737,11,42,11,3,8,11,18,,21,57,.368,5,18,.278,14,23,.609,6,28,13,4,3,8,18
9,9,2015-12-19,@,Detroit,L,89,95,29,59,.492,7,21,.333,24,31,.774,5,26,11,8,3,15,25,,30,58,.517,12,25,.480,23,36,.639,9,34,14,10,4,18,26
10,10,2015-12-22,,Bethune-Cookman,W (1 OT),101,96,28,52,.538,9,22,.409,36,43,.837,11,37,19,2,2,13,17,,35,71,.493,14,30,.467,12,20,.600,10,23,15,9,4,5,27
11,11,2015-12-29,,George Washington,L,50,67,17,48,.354,7,23,.304,9,13,.692,3,19,9,6,2,13,13,,29,56,.518,5,15,.333,4,6,.667,9,35,15,10,3,11,14
12,12,2016-01-02,@,East Carolina,W,71,68,23,52,.442,4,18,.222,21,26,.808,12,38,12,5,7,18,17,,23,66,.348,7,26,.269,15,23,.652,17,33,19,10,1,9,21
13,13,2016-01-06,,South Florida,W,75,64,23,48,.479,9,23,.391,20,25,.800,5,31,17,3,4,11,11,,27,62,.435,3,18,.167,7,10,.700,10,31,13,4,5,10,17
14,14,2016-01-10,@,SMU,L,73,88,26,55,.473,7,18,.389,14,24,.583,8,25,12,7,3,11,12,,34,62,.548,9,16,.563,11,14,.786,10,35,19,8,3,12,16
