Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Jacksonville State,W,89,83,25,48,.521,8,19,.421,31,41,.756,10,34,8,4,3,13,15,,32,71,.451,6,19,.316,13,16,.813,14,31,10,7,1,8,26
2,2,2015-11-17,,Alma,W,79,64,29,63,.460,9,27,.333,12,22,.545,11,48,14,3,6,11,15,,25,68,.368,10,29,.345,4,12,.333,12,38,17,7,3,9,20
3,3,2015-11-23,N,Weber State,L,60,63,21,61,.344,11,40,.275,7,11,.636,13,35,14,3,0,10,23,,18,44,.409,3,16,.188,24,31,.774,7,31,8,4,2,9,17
4,4,2015-11-24,N,Western Kentucky,L,60,88,23,75,.307,10,41,.244,4,16,.250,15,34,14,4,5,6,15,,31,59,.525,10,20,.500,16,21,.762,8,44,21,3,4,10,16
5,5,2015-11-25,N,Milwaukee,L,78,84,25,63,.397,6,22,.273,22,26,.846,12,38,10,6,1,8,27,,28,60,.467,5,23,.217,23,30,.767,5,31,19,3,0,8,21
6,6,2015-11-30,,McNeese State,W,74,73,23,52,.442,9,25,.360,19,25,.760,6,28,15,3,2,10,17,,29,65,.446,6,19,.316,9,16,.563,12,33,9,8,4,9,20
7,7,2015-12-03,@,Grand Canyon,L,72,75,20,50,.400,10,28,.357,22,26,.846,8,25,8,10,1,17,24,,26,57,.456,8,18,.444,15,23,.652,10,33,14,8,1,17,20
8,8,2015-12-07,,Aquinas,W,90,51,33,63,.524,15,34,.441,9,15,.600,8,37,19,8,7,8,12,,21,66,.318,6,18,.333,3,5,.600,8,31,10,1,1,13,17
9,9,2015-12-12,,Texas Southern,W,79,71,28,50,.560,14,25,.560,9,12,.750,3,24,15,7,2,18,19,,30,67,.448,8,30,.267,3,9,.333,16,35,19,4,3,14,17
10,10,2015-12-18,@,BYU,L,85,98,30,64,.469,17,36,.472,8,14,.571,11,32,18,3,1,11,17,,35,64,.547,14,31,.452,14,21,.667,10,35,26,6,2,6,18
11,11,2015-12-22,,Howard,W,72,52,26,56,.464,12,29,.414,8,14,.571,11,41,18,2,4,12,15,,17,56,.304,2,14,.143,16,19,.842,6,26,3,5,1,9,17
12,12,2015-12-29,@,William & Mary,L,84,88,29,66,.439,12,37,.324,14,17,.824,9,32,14,6,3,5,25,,29,59,.492,8,22,.364,22,30,.733,9,38,17,2,6,7,16
13,13,2015-12-31,,Lourdes,W,87,66,29,54,.537,6,21,.286,23,35,.657,12,36,11,4,2,8,15,,26,52,.500,7,12,.583,7,13,.538,5,17,9,3,0,11,27
14,14,2016-01-06,,Eastern Michigan,L,80,99,28,63,.444,11,28,.393,13,23,.565,9,23,18,4,0,7,21,,33,50,.660,13,20,.650,20,28,.714,6,32,16,5,0,13,19
15,15,2016-01-09,@,Bowling Green State,W,79,67,24,47,.511,10,25,.400,21,27,.778,4,30,12,6,3,10,20,,24,57,.421,5,14,.357,14,21,.667,11,30,9,3,0,12,26
16,16,2016-01-12,,Akron,W,92,81,31,66,.470,5,20,.250,25,28,.893,8,34,11,5,2,3,14,,32,69,.464,12,30,.400,5,11,.455,10,34,14,3,3,9,22
17,17,2016-01-16,@,Buffalo,L,61,74,24,66,.364,7,27,.259,6,8,.750,6,24,13,8,2,8,20,,25,50,.500,10,23,.435,14,23,.609,7,40,19,3,6,18,15
18,18,2016-01-19,@,Northern Illinois,L,70,75,22,50,.440,10,29,.345,16,23,.696,3,28,14,4,5,16,20,,30,62,.484,4,19,.211,11,20,.550,9,34,14,5,2,12,24
19,19,2016-01-23,,Ohio,W,72,49,30,59,.508,5,20,.250,7,9,.778,7,36,14,4,3,10,16,,19,52,.365,3,16,.188,8,12,.667,5,28,10,5,1,12,13
20,20,2016-01-26,@,Miami (OH),W,68,51,21,46,.457,8,19,.421,18,20,.900,5,26,11,4,1,5,11,,21,57,.368,7,19,.368,2,2,1.000,11,32,12,0,0,9,17
21,21,2016-01-30,,Bowling Green State,W,77,65,26,59,.441,9,22,.409,16,21,.762,6,29,8,7,5,11,19,,23,62,.371,2,12,.167,17,23,.739,13,39,4,8,6,14,17
22,22,2016-02-02,,Kent State,W,88,61,34,56,.607,14,29,.483,6,8,.750,2,22,20,6,1,7,19,,21,54,.389,5,18,.278,14,21,.667,11,30,1,2,0,14,17
