Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Indiana,L,72,100,21,81,.259,8,36,.222,22,27,.815,14,31,9,12,6,9,36,,27,59,.458,1,8,.125,45,55,.818,15,56,8,3,13,19,20
2,2,2013-11-09,,Urbana,W,77,52,29,59,.492,4,13,.308,15,24,.625,5,30,13,17,0,15,27,,13,47,.277,4,14,.286,22,34,.647,10,33,7,3,0,27,21
3,3,2013-11-12,,Jacksonville State,W,79,75,28,57,.491,9,20,.450,14,23,.609,7,31,15,9,1,10,20,,24,55,.436,11,21,.524,16,24,.667,8,32,10,5,0,13,18
4,4,2013-11-15,@,Bradley,L,64,77,25,64,.391,4,23,.174,10,19,.526,13,32,8,12,2,15,25,,26,55,.473,6,13,.462,19,24,.792,12,41,13,5,3,22,25
5,5,2013-11-18,@,Alabama State,L,75,79,26,55,.473,5,14,.357,18,25,.720,11,26,12,5,1,13,21,,26,56,.464,6,21,.286,21,26,.808,14,30,11,4,0,11,23
6,6,2013-11-22,@,Illinois,L,53,77,18,45,.400,7,20,.350,10,14,.714,3,17,8,4,2,13,19,,26,54,.481,9,21,.429,16,22,.727,13,35,11,6,4,10,13
7,7,2013-11-30,,Southern Illinois,W,88,84,29,57,.509,10,25,.400,20,29,.690,9,28,13,5,1,12,20,,29,52,.558,7,17,.412,19,25,.760,3,25,15,9,1,13,23
8,8,2013-12-04,@,Illinois State,L,56,75,17,55,.309,8,22,.364,14,20,.700,12,33,7,1,0,10,22,,25,53,.472,7,23,.304,18,26,.692,11,39,14,5,6,10,17
9,9,2013-12-07,,Wisconsin-Parkside,W,90,81,34,55,.618,7,13,.538,15,27,.556,3,25,12,8,2,11,15,,30,66,.455,8,27,.296,13,15,.867,11,31,16,5,3,16,19
10,10,2013-12-15,@,DePaul,L (1 OT),70,77,27,70,.386,8,26,.308,8,13,.615,9,31,11,9,8,19,30,,22,53,.415,4,11,.364,29,40,.725,8,37,14,12,10,23,16
11,11,2013-12-16,,Southern Illinois-Edwardsville,W,81,64,32,57,.561,3,11,.273,14,17,.824,10,37,15,10,3,15,21,,22,54,.407,8,19,.421,12,22,.545,10,27,12,8,3,18,17
