,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Illinois Tech,W,137,59,56,91,.615,8,18,.444,17,31,.548,18,51,30,26,5,11,26,,23,56,.411,1,3,.333,12,29,.414,9,32,7,3,1,35,24
2,2,2015-11-16,@,Iowa State,L,64,106,23,75,.307,10,37,.270,8,11,.727,9,30,9,9,2,18,23,,41,69,.594,8,25,.320,16,27,.593,9,49,26,8,6,17,14
3,3,2015-11-18,,Indiana-Northwest,W,105,64,36,76,.474,9,30,.300,24,28,.857,17,48,21,17,7,16,23,,19,59,.322,6,20,.300,20,27,.741,8,32,17,7,1,22,22
4,4,2015-11-21,,Trinity International (IL),W,81,70,29,76,.382,6,20,.300,17,21,.810,20,44,16,12,3,14,19,,26,62,.419,7,25,.280,11,15,.733,7,33,18,7,4,24,21
5,5,2015-11-23,N,Illinois,L,79,82,26,57,.456,11,25,.440,16,22,.727,5,27,11,5,4,11,29,,22,55,.400,9,26,.346,29,41,.707,11,33,14,8,1,14,19
6,6,2015-11-27,N,Jacksonville State,L,65,68,22,47,.468,6,20,.300,15,24,.625,7,25,7,5,2,12,21,,21,47,.447,9,22,.409,17,22,.773,6,21,13,4,2,11,18
7,7,2015-11-28,N,Alabama State,L,64,66,24,58,.414,9,22,.409,7,14,.500,16,40,14,10,2,26,20,,21,62,.339,9,32,.281,15,21,.714,11,30,13,13,3,16,16
8,8,2015-12-02,@,Northern Illinois,L,58,80,18,59,.305,8,22,.364,14,19,.737,6,27,11,6,4,14,19,,33,64,.516,7,20,.350,7,16,.438,13,45,24,5,7,13,18
9,9,2015-12-05,@,DePaul,L,72,96,25,71,.352,8,29,.276,14,21,.667,12,34,9,6,3,15,24,,31,57,.544,11,20,.550,23,31,.742,8,38,20,8,7,16,17
10,10,2015-12-11,,Valparaiso,L,53,71,19,48,.396,5,17,.294,10,15,.667,5,29,9,3,4,17,15,,23,56,.411,14,27,.519,11,15,.733,8,34,18,12,4,13,16
11,11,2015-12-13,@,Northwestern,L,35,77,15,60,.250,1,19,.053,4,7,.571,12,29,6,4,1,13,11,,29,56,.518,15,36,.417,4,9,.444,7,35,24,3,8,7,11
12,12,2015-12-16,@,Minnesota,L,52,70,20,61,.328,7,22,.318,5,6,.833,8,33,12,3,4,12,23,,21,54,.389,8,26,.308,20,32,.625,10,36,15,8,7,8,10
13,13,2015-12-19,,Western Illinois,W,77,70,23,49,.469,10,20,.500,21,29,.724,3,27,12,4,4,7,12,,26,65,.400,11,30,.367,7,9,.778,11,38,18,2,1,9,22
14,14,2015-12-21,@,Marquette,L,74,91,29,61,.475,12,28,.429,4,7,.571,9,28,18,7,3,20,24,,29,63,.460,9,22,.409,24,32,.750,17,40,20,14,1,15,14
15,15,2015-12-28,@,Oakland,L,93,101,32,78,.410,12,33,.364,17,21,.810,18,34,19,10,2,17,32,,28,58,.483,12,29,.414,33,43,.767,13,34,17,9,4,18,20
16,16,2015-12-31,@,Ball State,L,48,73,18,65,.277,6,29,.207,6,12,.500,13,36,5,7,2,16,19,,25,54,.463,11,23,.478,12,15,.800,6,37,16,6,7,19,18
17,17,2016-01-09,,Seattle,L,50,66,18,55,.327,5,24,.208,9,14,.643,9,22,13,12,3,13,24,,19,41,.463,7,12,.583,21,28,.750,7,34,14,4,1,18,16
18,18,2016-01-11,,Cal State Bakersfield,L,56,67,20,59,.339,6,24,.250,10,16,.625,8,27,13,11,4,12,22,,24,50,.480,4,15,.267,15,25,.600,9,37,16,6,8,15,16
19,19,2016-01-14,@,Texas-Rio Grande Valley,L,72,82,30,79,.380,8,25,.320,4,14,.286,19,42,15,6,4,8,17,,31,60,.517,10,25,.400,10,14,.714,7,36,22,2,6,11,20
20,20,2016-01-16,@,New Mexico State,L,62,80,22,69,.319,4,20,.200,14,23,.609,17,35,1,6,2,8,28,,28,59,.475,3,19,.158,21,33,.636,18,52,17,1,10,12,17
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-19,,Green Bay,L,66,99,21,71,.296,10,28,.357,14,21,.667,18,42,14,7,4,22,21,,33,64,.516,10,26,.385,23,33,.697,12,45,16,16,7,14,21
