Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Virginia Military Institute,L,71,82,24,72,.333,6,21,.286,17,25,.680,19,48,12,8,3,20,19,,32,80,.400,8,35,.229,10,20,.500,21,46,9,15,9,10,20
2,2,2013-11-09,N,Army,L,69,84,23,56,.411,3,8,.375,20,20,1.000,10,30,12,8,0,16,22,,29,60,.483,9,31,.290,17,21,.810,10,30,17,8,5,12,18
3,3,2013-11-12,,Presbyterian,W,82,68,29,56,.518,11,24,.458,13,16,.813,9,36,16,3,4,15,18,,29,68,.426,3,17,.176,7,15,.467,15,31,15,4,0,8,15
4,4,2013-11-16,,North Greenville,W,83,53,29,65,.446,12,26,.462,13,22,.591,7,33,23,8,2,10,20,,17,54,.315,5,23,.217,14,21,.667,8,37,5,4,4,20,25
5,5,2013-11-18,@,Tennessee,L,60,86,19,55,.345,8,18,.444,14,22,.636,9,25,12,6,3,12,25,,30,53,.566,7,13,.538,19,28,.679,12,37,11,8,6,14,20
6,6,2013-11-21,@,Wake Forest,L,54,82,19,53,.358,4,16,.250,12,16,.750,6,28,14,3,4,16,21,,28,64,.438,9,18,.500,17,32,.531,15,43,21,12,6,7,17
7,7,2013-11-25,,Montreat,W,109,64,36,63,.571,14,30,.467,23,26,.885,8,40,23,5,4,11,27,,19,55,.345,4,15,.267,22,34,.647,7,21,2,6,1,17,22
8,8,2013-11-29,@,Towson,L,59,84,22,56,.393,7,19,.368,8,12,.667,7,28,15,3,2,15,17,,31,72,.431,10,22,.455,12,20,.600,18,47,17,10,6,13,16
9,9,2013-11-30,N,West Alabama,L,77,90,23,51,.451,6,20,.300,25,39,.641,7,28,16,6,1,11,19,,32,63,.508,11,25,.440,15,21,.714,12,37,16,8,2,14,28
10,10,2013-12-04,@,Navy,L,74,79,25,56,.446,8,21,.381,16,24,.667,8,33,17,3,2,15,22,,25,56,.446,7,19,.368,22,30,.733,11,38,16,6,2,12,20
11,11,2013-12-07,,Gardner-Webb,L,55,67,19,50,.380,2,15,.133,15,22,.682,9,31,15,4,2,17,22,,23,47,.489,3,17,.176,18,27,.667,6,28,12,9,1,13,20
12,12,2013-12-18,,Brevard,W,79,68,21,46,.457,6,24,.250,31,33,.939,5,32,13,5,4,13,22,,22,50,.440,10,26,.385,14,21,.667,5,22,8,4,1,11,24
13,13,2013-12-21,@,Nebraska,L,62,77,23,54,.426,6,21,.286,10,14,.714,8,32,9,6,0,17,24,,25,48,.521,5,17,.294,22,34,.647,7,28,12,9,3,13,16
14,14,2013-12-29,,College of Charleston,L,48,72,19,63,.302,3,15,.200,7,14,.500,11,39,8,4,4,11,26,,23,60,.383,7,21,.333,19,31,.613,12,47,16,6,4,8,18
15,15,2014-01-02,@,Radford,L,59,76,18,47,.383,2,11,.182,21,27,.778,6,25,11,3,5,14,21,,28,60,.467,3,13,.231,17,22,.773,10,33,16,6,7,9,20
16,16,2014-01-06,,Chattanooga,L,78,82,28,62,.452,9,18,.500,13,19,.684,15,33,19,5,6,17,18,,27,65,.415,6,23,.261,22,27,.815,20,38,11,11,7,12,21
17,17,2014-01-09,@,Wofford,L (1 OT),75,79,28,51,.549,10,16,.625,9,19,.474,5,23,18,6,5,9,17,,31,63,.492,3,10,.300,14,19,.737,14,36,11,4,2,7,16
18,18,2014-01-11,@,Elon,L,65,74,27,54,.500,5,13,.385,6,9,.667,8,32,10,1,2,10,19,,25,62,.403,9,31,.290,15,20,.750,10,30,14,1,4,4,11
19,19,2014-01-16,@,North Carolina-Greensboro,L (1 OT),65,69,23,55,.418,10,28,.357,9,18,.500,4,33,14,5,5,15,18,,24,66,.364,5,17,.294,16,26,.615,12,42,8,8,2,11,19
20,20,2014-01-18,,Furman,L,71,76,28,61,.459,5,15,.333,10,17,.588,14,35,12,2,6,8,15,,27,57,.474,10,20,.500,12,21,.571,9,30,15,1,0,10,16
21,21,2014-01-23,,Appalachian State,L,67,80,22,46,.478,6,16,.375,17,23,.739,4,24,14,4,4,11,14,,34,61,.557,7,14,.500,5,8,.625,7,27,15,5,4,7,17
22,22,2014-01-25,,Western Carolina,L,60,78,15,46,.326,4,18,.222,26,33,.788,5,26,11,7,1,13,14,,30,66,.455,7,21,.333,11,14,.786,13,41,16,3,6,13,25
23,23,2014-01-30,@,Georgia Southern,L,52,83,20,57,.351,1,13,.077,11,15,.733,9,29,6,2,3,12,15,,31,58,.534,11,22,.500,10,17,.588,10,41,19,8,3,10,16
24,24,2014-02-01,@,Davidson,L,43,62,20,46,.435,2,8,.250,1,2,.500,3,18,12,2,2,6,17,,23,46,.500,9,22,.409,7,11,.636,7,28,16,1,4,9,11
25,25,2014-02-06,@,Appalachian State,L,45,54,18,50,.360,5,15,.333,4,5,.800,4,25,10,5,2,8,14,,18,47,.383,6,19,.316,12,15,.800,9,31,13,4,3,10,12
26,26,2014-02-08,,Wofford,L,56,77,24,49,.490,2,10,.200,6,9,.667,8,28,13,1,2,14,15,,30,59,.508,8,21,.381,9,16,.563,13,32,16,8,2,6,15
27,27,2014-02-15,@,Furman,L,67,76,21,56,.375,9,20,.450,16,20,.800,6,27,9,5,1,4,21,,25,53,.472,7,22,.318,19,25,.760,11,35,14,3,9,8,13
28,28,2014-02-17,,Davidson,L,76,83,24,48,.500,5,12,.417,23,30,.767,7,23,11,4,2,8,24,,23,48,.479,11,21,.524,26,36,.722,8,26,14,2,0,9,22
29,29,2014-02-22,@,Western Carolina,L,52,70,17,54,.315,5,15,.333,13,20,.650,8,30,7,3,1,13,17,,24,54,.444,5,17,.294,17,23,.739,9,37,12,7,9,9,15
30,30,2014-02-24,,Samford,W,81,71,26,49,.531,9,20,.450,20,26,.769,7,32,15,2,0,10,19,,28,62,.452,6,17,.353,9,14,.643,11,28,10,2,4,12,22
31,31,2014-03-01,,Georgia Southern,W,80,63,31,57,.544,10,24,.417,8,9,.889,3,30,26,5,6,7,15,,24,59,.407,7,21,.333,8,13,.615,10,32,7,6,3,9,16
32,32,2014-03-07,N,North Carolina-Greensboro,W,86,76,26,50,.520,10,19,.526,24,33,.727,6,33,14,2,5,13,17,,28,63,.444,2,12,.167,18,21,.857,7,27,7,6,1,8,25
33,33,2014-03-08,N,Wofford,L,51,68,17,44,.386,5,13,.385,12,16,.750,5,23,5,1,2,11,16,,25,48,.521,10,17,.588,8,14,.571,5,24,11,3,1,6,20
