Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,North Carolina Central,W,74,40,23,52,.442,8,23,.348,20,23,.870,7,39,16,3,9,6,17,,17,56,.304,2,16,.125,4,12,.333,9,30,7,2,0,10,20
2,2,2015-11-15,,UTSA,W,78,45,27,53,.509,12,25,.480,12,23,.522,12,45,22,6,8,13,14,,18,58,.310,6,25,.240,3,6,.500,9,25,7,8,2,13,20
3,3,2015-11-19,,Texas Southern,W,76,56,30,60,.500,7,19,.368,9,14,.643,10,36,18,2,6,7,11,,21,59,.356,9,29,.310,5,7,.714,8,26,13,2,1,6,16
4,4,2015-11-23,N,UMass,L,65,82,24,64,.375,6,27,.222,11,19,.579,9,36,4,5,3,7,20,,27,57,.474,16,31,.516,12,17,.706,4,36,17,6,1,10,21
5,5,2015-11-25,N,Rutgers,W,76,58,28,55,.509,5,19,.263,15,22,.682,11,35,15,8,2,11,21,,22,47,.468,2,9,.222,12,18,.667,2,20,9,3,0,15,18
6,6,2015-11-30,@,Minnesota,L,83,89,29,54,.537,14,28,.500,11,15,.733,5,23,21,4,4,11,24,,29,55,.527,7,17,.412,24,30,.800,11,30,18,7,4,6,13
7,7,2015-12-02,,South Carolina Upstate,W,76,56,28,57,.491,13,29,.448,7,13,.538,8,33,18,7,2,8,6,,23,54,.426,5,16,.313,5,8,.625,4,22,10,4,1,9,17
8,8,2015-12-06,,Wofford,W,66,51,21,50,.420,8,16,.500,16,26,.615,6,33,15,3,6,9,19,,16,49,.327,7,17,.412,12,14,.857,5,32,12,3,2,13,22
9,9,2015-12-13,,Alabama,L,50,51,18,48,.375,4,14,.286,10,14,.714,8,28,12,8,10,11,13,,21,61,.344,7,20,.350,2,5,.400,18,39,14,7,5,15,16
10,10,2015-12-15,,Presbyterian,W,69,41,24,57,.421,5,23,.217,16,21,.762,12,47,12,6,9,16,19,,16,58,.276,1,10,.100,8,17,.471,7,28,4,8,1,12,20
11,11,2015-12-18,,South Carolina,L,59,65,23,63,.365,8,26,.308,5,9,.556,15,32,11,2,8,10,20,,23,53,.434,8,19,.421,11,14,.786,11,37,12,3,3,14,16
12,12,2015-12-22,@,Georgia,L,48,71,16,59,.271,7,27,.259,9,11,.818,16,32,9,4,3,14,17,,25,48,.521,6,19,.316,15,19,.789,7,33,13,8,6,13,19
13,13,2015-12-30,@,UNC,L,69,80,21,53,.396,7,19,.368,20,26,.769,8,25,10,5,3,12,18,,32,64,.500,5,13,.385,11,14,.786,13,35,16,6,3,12,19
14,14,2016-01-02,,Florida State,W,84,75,25,56,.446,10,26,.385,24,33,.727,14,39,15,6,8,9,15,,27,59,.458,9,24,.375,12,18,.667,8,29,13,5,4,8,24
15,15,2016-01-05,@,Syracuse,W (1 OT),74,73,28,52,.538,8,17,.471,10,11,.909,5,28,22,4,4,13,16,,24,62,.387,13,34,.382,12,19,.632,11,27,18,11,1,8,12
16,16,2016-01-10,,Louisville,W,66,62,14,43,.326,6,20,.300,32,44,.727,8,30,10,8,7,12,18,,24,68,.353,3,23,.130,11,16,.688,20,45,11,6,6,17,29
17,17,2016-01-13,,Duke,W,68,63,25,55,.455,6,16,.375,12,13,.923,10,33,15,8,7,12,16,,25,51,.490,11,25,.440,2,7,.286,2,21,16,4,1,13,18
18,18,2016-01-16,,Miami (FL),W,76,65,27,56,.482,7,16,.438,15,15,1.000,10,28,15,8,3,6,11,,24,55,.436,7,14,.500,10,14,.714,13,30,9,4,3,13,12
19,19,2016-01-19,@,Virginia,L,62,69,24,53,.453,8,24,.333,6,6,1.000,2,20,9,5,1,7,18,,25,46,.543,4,7,.571,15,22,.682,6,32,14,3,2,9,11
20,20,2016-01-27,,Pitt,W,73,60,24,51,.471,7,18,.389,18,26,.692,7,34,14,9,5,9,16,,21,55,.382,8,19,.421,10,14,.714,8,30,13,3,2,10,24
21,21,2016-01-30,@,Florida State,L,65,76,21,63,.333,6,23,.261,17,21,.810,11,30,7,7,5,18,22,,26,54,.481,5,12,.417,19,30,.633,10,32,12,13,9,16,20
22,22,2016-02-02,@,Wake Forest,W,76,62,23,52,.442,4,17,.235,26,30,.867,7,33,8,8,7,11,17,,22,53,.415,5,18,.278,13,23,.565,8,31,12,4,2,15,25
23,23,2016-02-06,@,Virginia Tech,L,57,60,20,57,.351,7,25,.280,10,16,.625,10,36,10,3,10,10,17,,21,56,.375,4,16,.250,14,16,.875,8,32,10,2,6,8,16
24,24,2016-02-08,,Notre Dame,L,83,89,31,59,.525,10,20,.500,11,16,.688,8,29,12,3,5,8,18,,29,57,.509,10,22,.455,21,25,.840,7,26,14,4,4,4,14
25,25,2016-02-13,,Georgia Tech,W,66,52,24,60,.400,2,13,.154,16,21,.762,14,35,3,10,1,6,17,,19,55,.345,1,11,.091,13,16,.813,13,36,6,3,2,13,22
26,26,2016-02-17,,Boston College,W,65,54,22,54,.407,9,25,.360,12,17,.706,11,33,14,6,5,9,9,,21,54,.389,7,23,.304,5,5,1.000,5,26,12,4,1,11,19
27,27,2016-02-20,@,North Carolina State,L,74,77,29,64,.453,7,27,.259,9,12,.750,7,26,16,6,6,1,16,,28,60,.467,9,20,.450,12,16,.750,14,39,13,1,7,10,13
28,28,2016-02-23,@,Georgia Tech,L,73,75,29,62,.468,12,26,.462,3,5,.600,7,20,20,7,3,8,17,,26,48,.542,9,20,.450,14,15,.933,6,31,11,5,6,13,11
29,29,2016-03-01,,Virginia,L,57,64,20,46,.435,6,17,.353,11,16,.688,5,24,12,6,5,12,13,,21,52,.404,9,19,.474,13,15,.867,9,33,12,7,1,8,15
30,30,2016-03-05,@,Boston College,W,66,50,24,50,.480,9,24,.375,9,17,.529,8,37,14,7,2,14,11,,20,55,.364,4,21,.190,6,11,.545,6,26,14,9,0,12,16
