Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,N,Akron,L,53,65,18,57,.316,4,18,.222,13,22,.591,13,34,6,10,3,13,22,,24,53,.453,7,19,.368,10,19,.526,11,37,13,5,3,15,18
2,2,2015-11-17,,Malone,W,62,46,25,58,.431,4,13,.308,8,16,.500,14,39,10,7,3,13,16,,17,54,.315,3,18,.167,9,16,.563,11,31,10,5,2,15,21
3,3,2015-11-21,@,Rhode Island,L,45,73,15,55,.273,4,21,.190,11,16,.688,8,22,4,11,1,19,20,,26,41,.634,6,14,.429,15,24,.625,7,33,15,9,5,22,14
4,4,2015-11-24,N,Rider,W,57,52,15,44,.341,4,14,.286,23,32,.719,10,26,8,9,1,17,23,,18,38,.474,2,13,.154,14,25,.560,4,22,11,9,4,18,27
5,5,2015-11-25,N,South Dakota State,L,66,77,23,59,.390,7,24,.292,13,19,.684,11,33,7,8,1,8,28,,23,46,.500,7,22,.318,24,32,.750,5,32,10,3,0,12,16
6,6,2015-11-28,@,Maryland,L,63,80,29,55,.527,3,12,.250,2,2,1.000,8,21,9,3,2,8,19,,29,50,.580,7,14,.500,15,18,.833,9,25,22,5,2,10,10
7,7,2015-12-02,@,Toledo,L,65,76,23,54,.426,6,18,.333,13,18,.722,6,25,11,8,1,10,27,,22,46,.478,6,18,.333,26,36,.722,8,29,19,2,1,13,15
8,8,2015-12-05,,Kent State,L,62,66,24,55,.436,6,17,.353,8,14,.571,10,26,17,6,1,13,24,,25,51,.490,2,12,.167,14,22,.636,10,31,15,5,2,13,18
9,9,2015-12-12,,Ohio,L,67,76,26,59,.441,10,21,.476,5,9,.556,8,30,13,4,4,14,19,,30,61,.492,7,22,.318,9,15,.600,11,35,14,4,4,12,15
10,10,2015-12-16,@,Loyola (IL),W,60,54,19,55,.345,7,17,.412,15,20,.750,14,34,11,9,6,12,19,,20,49,.408,3,13,.231,11,16,.688,6,26,12,4,5,15,18
11,11,2015-12-19,,Belmont,W,67,65,28,62,.452,6,15,.400,5,7,.714,10,35,14,8,5,12,23,,20,58,.345,6,23,.261,19,26,.731,13,37,12,5,3,13,13
12,12,2015-12-23,,Bowling Green State,L,47,62,16,59,.271,3,20,.150,12,17,.706,18,35,7,6,1,12,18,,22,50,.440,3,7,.429,15,18,.833,10,35,10,5,5,14,16
13,13,2015-12-29,,Cedarville,W,77,37,27,57,.474,12,30,.400,11,18,.611,12,40,18,10,6,12,13,,14,52,.269,4,26,.154,5,10,.500,9,28,7,6,0,20,20
