,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Nevada,L,56,73,18,60,.300,4,15,.267,16,28,.571,16,43,8,5,4,17,22,,26,65,.400,5,17,.294,16,24,.667,14,43,13,10,8,8,19
2,2,2015-11-15,N,Hawaii,L,63,74,20,52,.385,8,25,.320,15,21,.714,5,28,9,8,4,20,32,,20,52,.385,9,25,.360,25,37,.676,7,32,10,9,1,12,23
3,3,2015-11-18,,Grace Bible,W,104,67,40,76,.526,11,31,.355,13,21,.619,16,43,23,11,3,6,12,,25,66,.379,10,39,.256,7,10,.700,12,33,13,3,2,17,18
4,4,2015-11-21,,Piedmont,W,116,35,43,70,.614,13,31,.419,17,25,.680,16,57,22,9,4,8,13,,12,61,.197,5,30,.167,6,8,.750,7,19,6,3,2,14,24
5,5,2015-11-24,@,College of Charleston,W,67,61,26,47,.553,5,12,.417,10,16,.625,5,32,10,3,1,12,20,,20,59,.339,10,29,.345,11,19,.579,9,27,9,4,0,5,19
6,6,2015-11-28,@,Campbell,L,73,79,28,58,.483,5,18,.278,12,20,.600,8,31,15,4,2,9,17,,27,55,.491,11,23,.478,14,20,.700,6,31,13,2,1,11,16
7,7,2015-12-02,,Auburn,L,78,81,25,62,.403,8,28,.286,20,30,.667,12,35,10,8,1,13,26,,24,55,.436,11,31,.355,22,33,.667,11,32,15,5,1,13,26
8,8,2015-12-06,,Radford,W,63,58,25,62,.403,4,15,.267,9,10,.900,11,36,9,11,7,9,11,,21,60,.350,9,24,.375,7,14,.500,11,34,10,3,3,12,14
9,9,2015-12-09,,North Carolina Wesleyan,W,98,73,33,58,.569,9,23,.391,23,35,.657,12,37,17,9,3,10,11,,28,68,.412,12,33,.364,5,8,.625,14,30,20,6,0,18,27
10,10,2015-12-14,@,Wofford,W,71,63,24,41,.585,7,11,.636,16,25,.640,5,33,11,1,2,16,24,,19,50,.380,6,20,.300,19,29,.655,5,23,11,7,3,5,21
11,11,2015-12-18,@,Wake Forest,L,77,83,27,55,.491,8,20,.400,15,22,.682,8,24,14,5,1,13,21,,31,56,.554,9,24,.375,12,22,.545,11,29,23,8,5,11,19
12,12,2015-12-20,,Alabama State,W,68,65,25,60,.417,6,25,.240,12,19,.632,11,35,12,6,4,11,10,,23,58,.397,8,23,.348,11,14,.786,5,32,16,4,3,12,16
13,13,2015-12-31,@,Gardner-Webb,L,61,65,19,49,.388,7,18,.389,16,24,.667,8,35,9,6,3,13,17,,21,58,.362,7,16,.438,16,25,.640,13,31,13,6,5,11,19
14,14,2016-01-02,,Winthrop,W,82,63,32,62,.516,7,21,.333,11,15,.733,8,37,15,7,0,14,21,,26,57,.456,3,22,.136,8,20,.400,5,25,7,9,3,14,17
15,15,2016-01-06,,Liberty,L,61,62,23,49,.469,7,19,.368,8,13,.615,8,33,12,2,1,12,14,,24,53,.453,12,33,.364,2,6,.333,4,24,12,10,0,7,16
16,16,2016-01-09,@,Longwood,L,61,76,20,62,.323,4,24,.167,17,22,.773,13,31,8,7,3,9,15,,30,55,.545,7,15,.467,9,10,.900,6,30,16,5,4,13,15
17,17,2016-01-14,,Presbyterian,W,87,58,33,63,.524,11,26,.423,10,12,.833,12,41,20,9,8,16,15,,20,57,.351,7,23,.304,11,16,.688,7,23,11,7,3,13,12
18,18,2016-01-16,@,High Point,W,71,68,27,55,.491,9,16,.563,8,14,.571,10,34,14,6,2,14,19,,24,60,.400,4,22,.182,16,20,.800,11,30,13,6,5,8,16
19,19,2016-01-23,@,Charleston Southern,W,78,63,28,63,.444,10,27,.370,12,18,.667,8,42,14,4,7,11,18,,25,65,.385,6,24,.250,7,14,.500,7,30,13,5,3,10,18
20,20,2016-01-27,,North Carolina-Asheville,W (1 OT),68,66,25,58,.431,7,22,.318,11,16,.688,3,37,10,2,6,13,13,,28,81,.346,5,28,.179,5,14,.357,17,49,9,8,1,7,13
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,Campbell,W,97,68,33,56,.589,9,21,.429,22,35,.629,12,42,11,4,3,9,23,,20,56,.357,6,27,.222,22,30,.733,10,29,5,5,1,8,22
22,22,2016-02-03,@,Presbyterian,W,69,66,21,46,.457,6,20,.300,21,33,.636,10,34,12,5,2,14,18,,22,52,.423,7,20,.350,15,20,.750,4,20,10,7,1,10,26
23,23,2016-02-06,@,Radford,W,72,60,27,54,.500,7,22,.318,11,14,.786,6,36,13,7,1,12,9,,23,62,.371,8,26,.308,6,14,.429,9,31,12,9,3,11,14
24,24,2016-02-11,,High Point,L,67,68,24,55,.436,4,14,.286,15,26,.577,12,34,12,4,5,8,20,,23,62,.371,3,21,.143,19,23,.826,14,34,9,3,5,5,17
25,25,2016-02-13,,Gardner-Webb,W,78,71,26,58,.448,7,20,.350,19,26,.731,13,42,15,6,5,12,19,,23,61,.377,9,25,.360,16,26,.615,14,35,9,5,1,11,21
26,26,2016-02-18,@,Winthrop,L,67,79,24,67,.358,4,23,.174,15,19,.789,10,30,6,6,5,15,21,,25,64,.391,9,27,.333,20,20,1.000,11,42,11,5,8,14,21
27,27,2016-02-25,,Charleston Southern,W,68,60,23,58,.397,9,22,.409,13,21,.619,13,40,11,5,3,9,15,,23,57,.404,8,25,.320,6,15,.400,11,34,10,5,1,11,18
28,28,2016-02-27,@,North Carolina-Asheville,W,81,79,27,51,.529,7,16,.438,20,27,.741,10,31,5,9,0,19,17,,32,62,.516,8,22,.364,7,14,.500,9,23,15,10,3,13,14
29,29,2016-03-04,N,Gardner-Webb,L,65,69,24,65,.369,11,35,.314,6,12,.500,12,32,11,4,1,9,18,,23,63,.365,6,28,.214,17,21,.810,13,40,8,4,4,7,15
