,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,George Mason,W,66,53,22,44,.500,5,14,.357,17,26,.654,4,33,13,1,2,14,30,,16,49,.327,3,18,.167,18,35,.514,10,32,5,3,0,14,27
2,2,2015-11-16,,Cornell,L (2 OT),98,101,32,73,.438,12,32,.375,22,33,.667,12,43,18,8,5,16,26,,33,74,.446,10,27,.370,25,39,.641,13,48,9,11,7,18,27
3,3,2015-11-19,@,Albany (NY),L,67,88,23,51,.451,6,15,.400,15,19,.789,10,28,11,6,4,20,25,,29,55,.527,12,19,.632,18,26,.692,8,27,18,10,1,13,20
4,4,2015-11-24,@,Fordham,L,58,84,24,59,.407,5,21,.238,5,13,.385,10,29,15,6,0,12,15,,29,56,.518,9,21,.429,17,21,.810,10,36,21,10,4,11,18
5,5,2015-11-28,@,UMBC,W,71,63,22,48,.458,10,26,.385,17,22,.773,6,29,12,4,1,11,23,,18,47,.383,3,15,.200,24,29,.828,5,27,11,3,2,12,22
6,6,2015-12-01,@,Binghamton,L,50,69,19,64,.297,3,22,.136,9,14,.643,15,35,7,8,1,15,23,,19,46,.413,6,16,.375,25,36,.694,11,37,11,7,6,15,20
7,7,2015-12-05,@,Texas Christian,L,49,76,18,49,.367,7,26,.269,6,10,.600,4,19,11,3,3,14,18,,30,59,.508,5,14,.357,11,18,.611,14,39,19,5,5,11,14
8,8,2015-12-08,@,Syracuse,L,51,78,17,51,.333,10,28,.357,7,9,.778,8,25,12,7,1,19,16,,25,51,.490,14,30,.467,14,18,.778,8,30,20,11,5,10,13
9,9,2015-12-10,,Utica,W,90,68,33,74,.446,16,39,.410,8,10,.800,18,42,21,8,8,10,20,,22,61,.361,8,25,.320,16,20,.800,9,29,10,5,5,12,13
10,10,2015-12-13,,New Hampshire,W,75,59,29,61,.475,11,28,.393,6,9,.667,9,34,15,5,3,7,13,,22,55,.400,7,11,.636,8,12,.667,8,29,9,2,1,9,12
11,11,2015-12-23,@,Georgia Tech,L,60,76,23,47,.489,6,16,.375,8,15,.533,4,19,10,3,2,7,10,,33,59,.559,5,13,.385,5,11,.455,11,33,16,4,5,7,16
12,12,2015-12-30,,Lafayette,W,77,70,24,52,.462,5,20,.250,24,32,.750,6,26,9,7,2,6,18,,27,63,.429,7,26,.269,9,13,.692,16,40,8,5,2,18,27
13,13,2016-01-03,@,American,W,56,37,23,43,.535,5,13,.385,5,9,.556,5,25,14,6,2,12,14,,14,40,.350,4,15,.267,5,6,.833,6,23,8,5,0,15,16
14,14,2016-01-06,@,Holy Cross,L,63,65,22,60,.367,12,31,.387,7,8,.875,8,28,16,4,3,11,20,,20,46,.435,6,19,.316,19,29,.655,3,30,17,6,6,10,13
15,15,2016-01-09,,Navy,L (1 OT),68,71,24,65,.369,10,37,.270,10,18,.556,13,38,12,7,3,11,23,,24,56,.429,3,13,.231,20,27,.741,8,37,10,5,9,12,19
16,16,2016-01-13,,Army,W,80,66,31,58,.534,10,25,.400,8,11,.727,10,26,19,13,4,14,18,,22,56,.393,9,26,.346,13,18,.722,10,28,13,8,3,19,14
17,17,2016-01-16,@,Bucknell,W,84,73,27,62,.435,13,28,.464,17,25,.680,10,37,19,8,4,12,23,,26,61,.426,5,17,.294,16,21,.762,9,35,14,4,4,13,21
18,18,2016-01-20,,Boston University,W,85,78,28,48,.583,14,25,.560,15,22,.682,2,23,17,6,3,17,23,,25,53,.472,7,22,.318,21,30,.700,11,32,12,7,2,16,20
19,19,2016-01-24,,Holy Cross,W,76,61,25,46,.543,7,15,.467,19,23,.826,6,24,17,10,1,9,16,,20,46,.435,10,21,.476,11,15,.733,6,23,11,4,4,15,20
20,20,2016-01-27,@,Lehigh,L,70,79,25,52,.481,8,21,.381,12,21,.571,5,24,13,9,0,13,18,,26,49,.531,10,25,.400,17,22,.773,6,31,17,7,3,21,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,,American,L,49,54,19,43,.442,4,16,.250,7,11,.636,4,24,7,7,2,17,20,,16,36,.444,8,18,.444,14,21,.667,2,21,10,6,1,14,13
22,22,2016-02-01,@,Loyola (MD),L,65,68,23,56,.411,7,23,.304,12,15,.800,11,32,11,5,7,10,19,,21,56,.375,7,24,.292,19,25,.760,9,31,12,6,4,10,15
23,23,2016-02-06,@,Navy,W,58,55,19,48,.396,11,25,.440,9,17,.529,8,29,12,2,4,7,16,,23,52,.442,1,14,.071,8,19,.421,11,32,11,2,2,7,18
24,24,2016-02-08,@,Army,L,72,82,25,53,.472,10,23,.435,12,17,.706,2,24,9,4,1,10,23,,27,57,.474,10,25,.400,18,25,.720,10,37,16,2,4,10,18
25,25,2016-02-13,,Bucknell,W,91,81,33,55,.600,7,18,.389,18,19,.947,4,21,15,5,2,8,27,,25,51,.490,10,21,.476,21,33,.636,8,25,11,2,2,10,20
26,26,2016-02-17,@,Boston University,L,68,71,22,60,.367,11,25,.440,13,19,.684,6,32,8,7,0,11,18,,27,55,.491,6,23,.261,11,22,.500,7,40,13,6,8,13,19
27,27,2016-02-21,,Loyola (MD),W (1 OT),93,90,37,65,.569,10,20,.500,9,12,.750,8,24,18,10,1,6,12,,35,59,.593,9,15,.600,11,15,.733,11,32,12,5,2,13,17
28,28,2016-02-24,,Lehigh,L,54,71,21,63,.333,9,26,.346,3,5,.600,7,26,9,7,2,9,12,,26,49,.531,10,20,.500,9,11,.818,4,37,11,6,4,15,11
29,29,2016-02-27,@,Lafayette,L,77,79,27,55,.491,13,32,.406,10,14,.714,5,26,13,4,0,12,21,,28,49,.571,11,21,.524,12,19,.632,5,25,15,6,2,13,14
30,30,2016-03-03,@,Army,L,72,79,30,68,.441,10,28,.357,2,10,.200,13,38,15,4,1,9,23,,26,54,.481,7,22,.318,20,28,.714,6,34,14,3,5,7,13
