Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,South Carolina State,W,74,54,21,50,.420,8,23,.348,24,35,.686,9,38,13,6,3,13,20,,18,56,.321,3,18,.167,15,20,.750,7,26,5,3,3,10,24
2,2,2015-11-16,@,Navy,W,72,58,24,55,.436,11,24,.458,13,19,.684,6,30,14,7,3,7,29,,16,43,.372,2,10,.200,24,34,.706,7,30,11,3,4,13,18
3,3,2015-11-21,@,Davidson,L,81,82,32,63,.508,7,19,.368,10,15,.667,13,42,8,4,2,17,25,,28,57,.491,10,26,.385,16,24,.667,5,23,13,5,1,10,19
4,4,2015-11-24,,Coastal Carolina,L,61,67,20,59,.339,10,29,.345,11,19,.579,9,27,9,4,0,5,19,,26,47,.553,5,12,.417,10,16,.625,5,32,10,3,1,12,20
5,5,2015-11-27,,Western Carolina,W,57,56,19,57,.333,4,18,.222,15,25,.600,12,27,9,10,4,15,23,,16,40,.400,5,16,.313,19,26,.731,7,32,6,5,4,24,25
6,6,2015-11-30,,LSU,W,70,58,25,64,.391,6,15,.400,14,21,.667,13,43,13,10,3,16,22,,19,61,.311,5,23,.217,15,27,.556,13,40,12,8,7,18,19
7,7,2015-12-05,@,Citadel,W,82,74,30,51,.588,2,13,.154,20,30,.667,5,29,14,8,3,20,16,,28,67,.418,9,36,.250,9,12,.750,9,28,15,10,1,16,25
8,8,2015-12-07,,East Carolina,W,77,73,25,56,.446,5,15,.333,22,29,.759,8,36,18,6,2,8,19,,29,63,.460,5,16,.313,10,22,.455,10,37,14,3,4,9,22
9,9,2015-12-13,,North Greenville,W,89,52,31,56,.554,12,24,.500,15,22,.682,6,33,22,9,5,10,13,,19,49,.388,7,16,.438,7,14,.500,6,23,11,5,4,19,18
10,10,2015-12-19,@,Miami (FL),L,63,85,24,61,.393,4,13,.308,11,17,.647,10,28,12,13,0,17,25,,29,52,.558,8,21,.381,19,28,.679,5,34,14,11,3,17,20
11,11,2015-12-22,@,Campbell,W,86,68,33,57,.579,9,19,.474,11,17,.647,6,36,15,8,2,16,21,,23,55,.418,4,20,.200,18,24,.750,3,22,11,6,0,12,17
