,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Northern Iowa,W,84,78,30,62,.484,9,30,.300,15,20,.750,6,32,14,5,2,8,20,,28,58,.483,11,30,.367,11,13,.846,6,30,16,4,2,11,21
2,2,2015-11-19,,Loyola Marymount,W,83,75,21,49,.429,9,18,.500,32,42,.762,13,37,18,3,3,12,14,,27,58,.466,9,25,.360,12,16,.750,6,24,13,8,0,7,30
3,3,2015-11-22,,Oakland,W,95,89,30,65,.462,12,32,.375,23,28,.821,15,38,19,6,3,13,19,,33,74,.446,8,23,.348,15,16,.938,16,37,19,5,2,16,25
4,4,2015-11-24,,Abilene Christian,W (2 OT),108,100,36,73,.493,9,24,.375,27,33,.818,11,39,18,2,3,10,22,,33,70,.471,14,30,.467,20,24,.833,6,31,23,5,3,10,29
5,5,2015-11-27,N,Portland,W,90,74,31,58,.534,10,17,.588,18,22,.818,6,37,13,3,5,16,16,,25,70,.357,12,40,.300,12,18,.667,11,28,7,6,2,9,15
6,6,2015-11-28,N,UTEP,L (2 OT),90,99,29,90,.322,12,41,.293,20,30,.667,25,69,14,3,1,21,27,,37,86,.430,4,25,.160,21,29,.724,9,44,10,9,7,8,24
7,7,2015-12-03,,Long Beach State,L,77,83,21,53,.396,12,32,.375,23,39,.590,10,40,13,1,3,14,17,,31,68,.456,11,24,.458,10,16,.625,8,33,18,10,3,7,27
8,8,2015-12-06,,Colorado,L,77,88,26,64,.406,12,23,.522,13,17,.765,11,33,11,4,4,8,20,,31,66,.470,8,22,.364,18,21,.857,12,35,18,4,3,7,19
9,9,2015-12-09,,Arkansas-Fort Smith,W,97,72,34,62,.548,14,31,.452,15,19,.789,13,31,19,9,0,12,11,,28,52,.538,9,21,.429,7,10,.700,5,19,14,7,1,17,22
