Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Kean,W,107,62,39,80,.488,16,46,.348,13,28,.464,27,58,22,10,10,14,21,,20,57,.351,9,26,.346,13,18,.722,7,25,13,5,2,20,27
2,2,2015-11-16,@,Kansas State,L,71,81,23,50,.460,5,24,.208,20,26,.769,8,25,12,8,1,14,22,,30,60,.500,7,22,.318,14,20,.700,13,34,17,6,0,14,21
3,3,2015-11-20,@,Northwestern,L (1 OT),80,83,26,55,.473,10,24,.417,18,28,.643,9,29,20,6,0,9,19,,31,59,.525,13,26,.500,8,14,.571,11,33,19,3,5,14,22
4,4,2015-11-22,,Lehigh,W,88,61,28,48,.583,11,20,.550,21,30,.700,9,32,17,9,2,13,18,,22,52,.423,7,19,.368,10,16,.625,9,22,15,5,1,14,22
5,5,2015-11-24,,Wofford,W,70,59,25,48,.521,7,17,.412,13,17,.765,7,30,15,5,2,12,14,,24,50,.480,6,12,.500,5,11,.455,5,23,12,2,1,13,16
6,6,2015-11-27,@,Fairfield,L (1 OT),81,82,27,69,.391,15,41,.366,12,19,.632,11,36,14,7,0,12,19,,28,60,.467,11,29,.379,15,19,.789,5,34,13,2,3,12,17
7,7,2015-11-28,,Longwood,L,69,70,22,50,.440,15,34,.441,10,13,.769,7,25,20,5,4,10,16,,23,50,.460,7,18,.389,17,20,.850,7,27,14,3,5,9,15
8,8,2015-12-02,@,Bucknell,W,72,61,20,54,.370,11,26,.423,21,27,.778,9,31,18,9,5,8,23,,20,52,.385,3,24,.125,18,25,.720,9,31,11,5,4,16,19
9,9,2015-12-04,,St. Joseph's,L,78,80,30,63,.476,9,22,.409,9,11,.818,7,30,15,3,3,10,12,,30,65,.462,9,27,.333,11,12,.917,11,32,21,5,7,7,13
10,10,2015-12-06,,Delaware,W,82,69,27,57,.474,9,28,.321,19,26,.731,5,29,14,6,5,6,18,,22,49,.449,9,19,.474,16,22,.727,5,27,12,2,5,12,23
11,11,2015-12-09,@,Manhattan,W,72,71,24,53,.453,4,16,.250,20,28,.714,8,29,16,4,1,9,25,,20,47,.426,9,26,.346,22,33,.667,11,35,12,2,2,13,21
12,12,2015-12-12,,NJIT,W,65,56,19,49,.388,8,23,.348,19,24,.792,9,40,10,4,5,13,20,,22,64,.344,5,25,.200,7,16,.438,10,30,12,4,2,8,18
13,13,2015-12-14,,Robert Morris,W,78,71,22,49,.449,13,30,.433,21,24,.875,7,29,19,5,4,11,18,,25,54,.463,4,19,.211,17,21,.810,8,25,14,7,6,14,21
14,14,2015-12-28,,Howard,W,72,59,23,59,.390,11,25,.440,15,20,.750,9,43,13,3,7,16,24,,16,62,.258,4,19,.211,23,27,.852,6,34,5,7,6,11,17
15,15,2016-01-02,@,Stony Brook,L,60,69,21,55,.382,10,25,.400,8,10,.800,11,34,10,6,4,18,19,,25,60,.417,4,14,.286,15,20,.750,10,29,11,9,6,7,15
16,16,2016-01-06,,Maryland-Eastern Shore,W,81,75,23,49,.469,11,26,.423,24,29,.828,8,27,13,4,1,8,22,,23,46,.500,8,22,.364,21,28,.750,7,21,13,4,3,12,24
17,17,2016-01-09,,Central Pennsylvania College,W,96,68,37,76,.487,7,26,.269,15,24,.625,20,59,21,6,4,14,18,,24,69,.348,7,21,.333,13,22,.591,6,26,11,7,1,12,21
18,18,2016-01-16,,Cornell,W,74,70,22,59,.373,7,23,.304,23,29,.793,11,39,15,10,3,12,15,,27,58,.466,10,27,.370,6,11,.545,4,33,12,6,1,18,23
19,19,2016-01-23,@,Cornell,W,79,68,25,50,.500,13,24,.542,16,22,.727,4,31,16,3,3,14,15,,27,64,.422,5,26,.192,9,11,.818,7,31,12,9,3,11,22
20,20,2016-01-29,@,Dartmouth,W,77,60,21,50,.420,10,25,.400,25,36,.694,11,33,12,10,3,10,27,,17,46,.370,4,16,.250,22,31,.710,10,30,8,5,1,20,26
21,21,2016-01-30,@,Harvard,W,55,54,22,57,.386,6,24,.250,5,10,.500,5,27,8,8,5,5,15,,21,49,.429,5,16,.313,7,13,.538,9,39,12,3,7,15,10
22,22,2016-02-05,@,Yale,L,72,86,26,59,.441,9,31,.290,11,19,.579,6,19,8,11,2,7,30,,24,39,.615,10,18,.556,28,36,.778,3,32,16,1,3,17,14
23,23,2016-02-06,@,Brown,W,77,73,25,55,.455,12,30,.400,15,19,.789,5,27,16,4,6,9,18,,27,53,.509,13,22,.591,6,14,.429,5,28,13,4,1,11,15
24,24,2016-02-12,,Penn,W,63,53,25,59,.424,6,19,.316,7,19,.368,13,40,11,11,5,13,19,,17,47,.362,6,18,.333,13,20,.650,5,33,10,9,1,13,16
25,25,2016-02-13,,Princeton,L (1 OT),83,88,31,79,.392,8,25,.320,13,18,.722,17,39,14,6,3,6,28,,27,59,.458,6,21,.286,28,36,.778,10,39,10,2,4,14,19
26,26,2016-02-19,,Harvard,W,90,76,31,54,.574,11,26,.423,17,21,.810,7,24,17,9,3,5,14,,29,51,.569,11,18,.611,7,11,.636,5,18,17,3,1,12,17
27,27,2016-02-20,,Dartmouth,W,73,54,24,54,.444,9,29,.310,16,17,.941,5,36,13,4,6,10,15,,20,62,.323,7,26,.269,7,14,.500,12,31,10,3,1,10,15
28,28,2016-02-26,@,Princeton,L,83,88,31,58,.534,4,12,.333,17,27,.630,11,32,7,5,2,8,22,,31,49,.633,13,21,.619,13,24,.542,2,24,17,5,2,9,21
29,29,2016-02-27,@,Penn,W,93,65,34,53,.642,10,24,.417,15,18,.833,5,24,19,5,1,4,15,,23,50,.460,7,23,.304,12,17,.706,6,21,13,2,2,8,15
30,30,2016-03-04,,Brown,W,66,63,24,55,.436,8,16,.500,10,16,.625,7,27,15,6,2,9,13,,22,51,.431,8,20,.400,11,12,.917,8,30,9,5,5,13,14
31,31,2016-03-05,,Yale,L,55,71,21,52,.404,8,22,.364,5,10,.500,4,17,10,6,3,9,18,,27,53,.509,9,20,.450,8,14,.571,7,33,16,5,6,11,12
