Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Georgia Tech,L,81,116,28,60,.467,13,31,.419,12,19,.632,6,22,14,2,0,13,21,,47,78,.603,8,23,.348,14,23,.609,18,46,30,8,2,6,19
2,2,2015-11-16,@,Colgate,W (2 OT),101,98,33,74,.446,10,27,.370,25,39,.641,13,48,9,11,7,18,27,,32,73,.438,12,32,.375,22,33,.667,12,43,18,8,5,16,26
3,3,2015-11-18,,Binghamton,W,76,59,28,53,.528,12,24,.500,8,13,.615,6,35,15,5,5,18,17,,22,60,.367,9,30,.300,6,7,.857,8,28,17,3,3,14,22
4,4,2015-11-21,@,Canisius,L,62,87,17,48,.354,6,22,.273,22,32,.688,6,27,9,1,6,16,24,,30,67,.448,8,23,.348,19,27,.704,16,40,19,5,2,10,24
5,5,2015-11-23,,Penn State-Harrisburg,W,76,47,28,57,.491,8,24,.333,12,20,.600,11,44,15,13,7,18,13,,20,67,.299,4,19,.211,3,8,.375,10,33,8,9,3,17,22
6,6,2015-11-25,@,Pitt,L,49,93,18,61,.295,6,20,.300,7,14,.500,11,27,10,3,2,14,17,,33,64,.516,10,21,.476,17,19,.895,12,44,25,5,3,8,15
7,7,2015-11-29,@,UMass-Lowell,L,77,80,24,59,.407,12,34,.353,17,26,.654,5,23,12,7,1,14,20,,26,57,.456,10,22,.455,18,23,.783,11,45,12,8,0,23,22
8,8,2015-12-01,,Siena,W,81,80,26,61,.426,10,22,.455,19,28,.679,5,27,12,9,4,11,19,,29,60,.483,8,16,.500,14,17,.824,7,34,17,6,6,15,24
9,9,2015-12-05,,Lafayette,W,85,67,34,65,.523,5,20,.250,12,19,.632,7,35,15,15,2,14,16,,25,61,.410,6,28,.214,11,15,.733,7,30,16,6,1,20,19
10,10,2015-12-19,@,Syracuse,L,46,67,17,54,.315,6,25,.240,6,12,.500,6,20,10,9,1,11,14,,26,60,.433,7,21,.333,8,11,.727,14,45,13,7,9,13,16
11,11,2015-12-23,,Monmouth,L,69,78,22,57,.386,12,32,.375,13,18,.722,7,30,11,8,9,18,23,,30,71,.423,3,16,.188,15,24,.625,15,43,11,9,1,16,17
12,12,2015-12-28,@,St. Peter's,W,65,62,24,65,.369,5,24,.208,12,20,.600,10,31,7,11,6,8,22,,22,58,.379,8,27,.296,10,18,.556,14,47,11,1,9,20,21
13,13,2016-01-02,,Albany (NY),L,70,75,24,63,.381,10,32,.313,12,20,.600,10,24,13,10,6,8,25,,21,51,.412,7,16,.438,26,29,.897,10,40,17,2,4,17,18
14,14,2016-01-06,@,Howard,W,84,81,35,66,.530,6,18,.333,8,18,.444,10,38,10,7,4,14,21,,28,71,.394,10,18,.556,15,24,.625,17,41,13,5,3,16,17
15,15,2016-01-16,@,Columbia,L,70,74,27,58,.466,10,27,.370,6,11,.545,4,33,12,6,1,18,23,,22,59,.373,7,23,.304,23,29,.793,11,39,15,10,3,12,15
16,16,2016-01-23,,Columbia,L,68,79,27,64,.422,5,26,.192,9,11,.818,7,31,12,9,3,11,22,,25,50,.500,13,24,.542,16,22,.727,4,31,16,3,3,14,15
17,17,2016-01-29,@,Harvard,W,77,65,24,59,.407,10,27,.370,19,24,.792,1,27,10,9,4,9,21,,27,67,.403,5,19,.263,6,17,.353,15,47,21,3,6,14,20
18,18,2016-01-30,@,Dartmouth,W,77,73,22,47,.468,7,17,.412,26,35,.743,5,29,7,7,3,15,19,,27,64,.422,2,17,.118,17,22,.773,13,37,10,6,1,14,25
19,19,2016-02-05,@,Brown,L,80,86,30,76,.395,9,31,.290,11,20,.550,14,36,8,12,1,8,22,,28,60,.467,9,19,.474,21,24,.875,10,47,18,5,6,16,17
20,20,2016-02-06,@,Yale,L,52,83,19,56,.339,8,23,.348,6,14,.429,5,18,8,5,6,8,15,,30,64,.469,12,23,.522,11,14,.786,17,52,21,3,6,11,12
21,21,2016-02-12,,Princeton,L,56,85,21,58,.362,5,16,.313,9,10,.900,6,26,5,8,3,13,18,,28,56,.500,11,25,.440,18,20,.900,6,37,15,6,3,11,12
22,22,2016-02-13,,Penn,L,84,92,29,70,.414,12,28,.429,14,20,.700,11,30,16,3,4,11,25,,28,60,.467,7,24,.292,29,35,.829,12,44,18,5,1,16,16
23,23,2016-02-19,,Dartmouth,L,66,78,22,62,.355,8,33,.242,14,17,.824,8,30,8,9,5,14,27,,24,59,.407,5,13,.385,25,32,.781,15,44,14,6,2,16,17
