,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Texas Southern,W,93,70,38,72,.528,10,28,.357,7,12,.583,14,39,22,8,2,10,22,,26,52,.500,7,17,.412,11,22,.500,7,29,10,5,1,19,19
2,2,2015-11-17,,UTSA,W,103,78,35,64,.547,15,35,.429,18,24,.750,6,31,26,10,3,12,20,,26,58,.448,10,23,.435,16,27,.593,4,27,13,7,0,18,18
3,3,2015-11-19,@,Indiana,L,65,86,27,60,.450,3,18,.167,8,16,.500,7,31,10,5,5,15,15,,35,70,.500,10,28,.357,6,9,.667,13,40,18,6,5,16,21
4,4,2015-11-23,N,Rutgers,W,85,75,29,61,.475,9,23,.391,18,26,.692,9,35,17,7,2,14,17,,29,67,.433,6,16,.375,11,15,.733,10,31,12,8,1,15,19
5,5,2015-11-25,N,UMass,W,97,76,29,57,.509,11,26,.423,28,36,.778,6,37,19,4,3,12,31,,23,59,.390,3,16,.188,27,40,.675,10,32,4,7,2,14,28
6,6,2015-11-28,,Western Illinois,W,97,67,35,69,.507,10,24,.417,17,27,.630,17,44,16,3,4,4,16,,27,60,.450,10,22,.455,3,6,.500,5,25,12,2,4,9,23
7,7,2015-12-02,,Arizona State,L,77,79,30,59,.508,11,23,.478,6,11,.545,7,27,16,8,2,13,16,,31,60,.517,7,17,.412,10,16,.625,11,33,21,8,0,12,16
8,8,2015-12-05,@,Loyola (IL),L,65,68,25,59,.424,6,20,.300,9,16,.563,10,39,12,4,5,11,18,,25,60,.417,8,20,.400,10,14,.714,8,29,17,4,2,8,18
9,9,2015-12-09,,Nebraska,W,83,67,28,54,.519,6,17,.353,21,34,.618,4,35,17,6,4,12,17,,27,68,.397,4,21,.190,9,13,.692,9,36,11,8,5,14,26
10,10,2015-12-12,,IUPUI,W,90,65,32,54,.593,12,21,.571,14,24,.583,7,37,20,5,6,13,20,,21,65,.323,5,23,.217,18,24,.750,13,30,7,6,3,10,21
11,11,2015-12-19,@,Oklahoma,L,74,87,27,74,.365,12,26,.462,8,10,.800,10,34,12,6,3,12,18,,31,65,.477,8,20,.400,17,24,.708,10,43,14,7,11,10,13
12,12,2015-12-21,,North Texas,W,105,82,36,63,.571,4,17,.235,29,40,.725,10,37,20,10,6,8,20,,27,60,.450,5,14,.357,23,32,.719,7,27,13,3,1,12,26
13,13,2015-12-28,,Coppin State,W,102,77,37,61,.607,12,23,.522,16,21,.762,10,41,28,6,5,11,17,,25,59,.424,12,25,.480,15,21,.714,5,18,13,4,0,9,17
14,14,2015-12-31,@,St. John's (NY),W,80,70,26,56,.464,7,22,.318,21,29,.724,10,38,13,8,5,12,20,,27,64,.422,4,13,.308,12,19,.632,10,35,13,4,7,12,21
15,15,2016-01-02,,Villanova,L,71,85,25,55,.455,5,23,.217,16,20,.800,3,23,12,5,0,9,18,,34,50,.680,6,18,.333,11,16,.688,0,29,20,7,3,14,20
16,16,2016-01-05,,Georgetown,W,79,66,25,52,.481,8,19,.421,21,25,.840,3,27,12,6,2,8,10,,26,55,.473,11,24,.458,3,7,.429,4,26,19,6,4,15,20
17,17,2016-01-09,@,Seton Hall,W,82,67,29,64,.453,8,19,.421,16,24,.667,8,33,17,9,2,9,20,,24,57,.421,4,12,.333,15,28,.536,12,38,8,5,4,14,19
18,18,2016-01-12,,Providence,L,48,50,17,66,.258,5,23,.217,9,13,.692,15,39,10,8,1,11,18,,16,54,.296,4,24,.167,14,19,.737,9,38,8,6,6,14,15
19,19,2016-01-17,@,DePaul,W,91,80,30,57,.526,13,26,.500,18,22,.818,6,23,14,12,4,11,17,,31,57,.544,6,19,.316,12,15,.800,10,33,9,4,3,17,21
20,20,2016-01-23,,Butler,W,72,64,23,55,.418,6,24,.250,20,33,.606,8,35,13,3,5,9,20,,21,64,.328,7,16,.438,15,20,.750,16,42,7,6,1,11,26
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-26,@,Georgetown,L,73,74,26,64,.406,4,21,.190,17,24,.708,13,38,11,4,3,10,21,,25,60,.417,6,21,.286,18,22,.818,9,33,16,10,7,10,26
22,22,2016-01-30,,Seton Hall,L,65,75,23,55,.418,6,23,.261,13,19,.684,6,27,10,8,4,11,16,,29,64,.453,7,17,.412,10,15,.667,16,44,12,8,2,12,20
