,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,UCF,W,90,85,30,75,.400,9,37,.243,21,28,.750,9,39,18,5,4,6,24,,29,68,.426,9,25,.360,18,29,.621,8,42,18,1,7,10,24
2,2,2015-11-21,,College of Charleston,W,82,81,28,57,.491,10,26,.385,16,24,.667,5,23,13,5,1,10,19,,32,63,.508,7,19,.368,10,15,.667,13,42,8,4,2,17,25
3,3,2015-11-23,,Mercer,W,77,71,23,62,.371,9,31,.290,22,28,.786,10,34,14,4,3,5,17,,26,65,.400,8,24,.333,11,18,.611,17,47,12,3,3,13,22
4,4,2015-11-28,,Denison,W,83,70,27,61,.443,10,26,.385,19,27,.704,13,41,20,8,2,11,10,,26,63,.413,15,37,.405,3,6,.500,6,29,19,6,2,17,22
5,5,2015-12-01,@,Charlotte,W,109,74,36,62,.581,15,29,.517,22,29,.759,5,35,15,8,5,7,22,,24,70,.343,6,19,.316,20,27,.741,15,38,11,6,3,13,24
6,6,2015-12-06,@,UNC,L,65,98,23,67,.343,8,31,.258,11,13,.846,7,28,13,4,4,14,16,,38,75,.507,8,23,.348,14,17,.824,12,47,21,7,3,15,18
7,7,2015-12-09,,Eastern Washington,W,96,86,34,57,.596,13,26,.500,15,19,.789,3,30,18,7,4,11,14,,33,68,.485,10,27,.370,10,12,.833,9,31,9,6,2,11,18
8,8,2015-12-12,,Western Carolina,W,87,54,29,61,.475,9,31,.290,20,28,.714,8,44,16,3,6,9,21,,17,64,.266,8,29,.276,12,23,.522,15,36,8,6,1,13,23
9,9,2015-12-20,N,Pitt,L,69,94,24,69,.348,6,30,.200,15,26,.577,13,28,10,3,1,8,14,,36,66,.545,9,20,.450,13,14,.929,12,47,21,6,7,13,24
10,10,2015-12-23,,Morehead State,W,81,77,28,47,.596,10,21,.476,15,25,.600,4,26,19,7,3,16,17,,28,62,.452,11,23,.478,10,18,.556,11,29,11,10,1,12,21
11,11,2015-12-28,@,University of California,L,60,86,21,67,.313,8,29,.276,10,12,.833,9,26,10,5,1,10,17,,31,59,.525,12,22,.545,12,17,.706,11,44,21,4,10,18,16
12,12,2016-01-02,@,St. Bonaventure,L,85,97,29,65,.446,11,26,.423,16,21,.762,7,27,22,5,1,10,25,,31,60,.517,9,26,.346,26,34,.765,9,34,16,6,6,8,21
13,13,2016-01-06,,Duquesne,W,77,66,28,66,.424,8,29,.276,13,14,.929,10,37,18,9,3,13,19,,25,63,.397,4,24,.167,12,17,.706,10,36,7,9,1,14,16
14,14,2016-01-09,,George Mason,W,81,75,30,67,.448,12,26,.462,9,12,.750,4,25,19,4,5,3,11,,30,62,.484,7,17,.412,8,14,.571,10,42,12,2,2,13,16
15,15,2016-01-12,@,Dayton,L,74,80,24,61,.393,13,36,.361,13,17,.765,12,32,17,1,2,8,17,,29,56,.518,11,24,.458,11,16,.688,8,34,14,3,2,10,18
16,16,2016-01-16,,UMass,W,86,74,26,59,.441,10,25,.400,24,26,.923,9,44,15,2,2,14,15,,26,70,.371,12,37,.324,10,15,.667,10,34,16,10,3,9,24
17,17,2016-01-20,@,Saint Louis,L,87,96,31,75,.413,10,36,.278,15,18,.833,11,37,14,3,1,6,21,,33,61,.541,9,22,.409,21,26,.808,4,36,17,1,0,7,20
18,18,2016-01-25,@,Richmond,W,78,70,25,56,.446,7,23,.304,21,24,.875,9,34,14,2,3,9,17,,27,63,.429,0,15,.000,16,21,.762,12,35,12,7,0,6,23
19,19,2016-01-29,,VCU,L,69,79,24,58,.414,11,31,.355,10,12,.833,4,26,11,9,5,16,18,,31,62,.500,5,14,.357,12,19,.632,11,42,11,11,5,17,20
20,20,2016-02-03,@,George Washington,L,69,79,25,59,.424,9,22,.409,10,14,.714,10,26,10,4,0,7,17,,30,57,.526,4,16,.250,15,21,.714,13,38,10,3,3,10,12
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,@,Duquesne,W,93,82,32,76,.421,12,26,.462,17,26,.654,19,46,22,5,1,9,19,,28,64,.438,13,34,.382,13,20,.650,10,40,23,4,5,13,23
22,22,2016-02-10,,La Salle,W,79,66,29,50,.580,12,24,.500,9,12,.750,7,27,24,5,3,16,17,,25,46,.543,5,13,.385,11,16,.688,3,18,13,10,3,15,14
23,23,2016-02-13,@,George Mason,L,59,60,25,63,.397,3,19,.158,6,8,.750,7,34,7,4,2,4,14,,25,66,.379,5,22,.227,5,7,.714,12,40,8,2,2,9,11
24,24,2016-02-16,,Richmond,W,83,79,28,52,.538,11,26,.423,16,19,.842,8,30,16,1,6,12,17,,29,56,.518,7,17,.412,14,22,.636,6,23,19,9,0,4,20
25,25,2016-02-20,,St. Joseph's,W,99,93,30,53,.566,10,21,.476,29,38,.763,6,27,16,6,1,12,15,,37,66,.561,9,23,.391,10,16,.625,5,21,16,6,1,9,23
26,26,2016-02-23,,Rhode Island,W,65,54,22,52,.423,9,22,.409,12,18,.667,8,38,13,3,6,8,19,,18,53,.340,3,13,.231,15,20,.750,7,33,6,2,5,9,19
27,27,2016-02-27,@,Fordham,L,82,91,26,60,.433,12,31,.387,18,20,.900,8,26,14,5,2,14,23,,30,58,.517,10,25,.400,21,27,.778,9,33,20,9,5,11,20
28,28,2016-03-02,@,VCU,L,60,70,22,58,.379,6,24,.250,10,10,1.000,7,27,11,6,4,8,15,,28,55,.509,1,14,.071,13,15,.867,7,34,15,7,5,9,15
29,29,2016-03-05,,George Washington,W,87,80,33,59,.559,7,20,.350,14,19,.737,7,24,15,8,5,10,18,,29,61,.475,8,17,.471,14,22,.636,15,38,17,7,1,14,21
30,30,2016-03-10,N,La Salle,W,78,63,25,58,.431,8,20,.400,20,24,.833,10,38,14,5,6,9,13,,21,60,.350,7,24,.292,14,18,.778,10,36,9,4,4,10,24
31,31,2016-03-11,N,St. Bonaventure,W (1 OT),90,86,31,74,.419,11,32,.344,17,25,.680,11,38,15,2,3,5,17,,35,75,.467,7,24,.292,9,16,.563,10,42,15,3,8,7,22
32,32,2016-03-12,N,VCU,L,54,76,20,54,.370,5,23,.217,9,14,.643,7,30,9,2,5,10,10,,28,58,.483,10,25,.400,10,15,.667,8,37,13,4,2,5,16
