Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Delaware,L,56,62,24,64,.375,8,29,.276,0,2,.000,5,26,7,10,3,8,21,,19,48,.396,8,25,.320,16,23,.696,9,39,13,2,6,14,9
2,2,2015-11-17,,Penn,L,54,60,21,61,.344,5,17,.294,7,9,.778,9,31,11,4,5,9,18,,22,54,.407,3,23,.130,13,18,.722,8,36,13,2,1,10,12
3,3,2015-11-19,@,Nebraska,L,60,75,21,47,.447,5,11,.455,13,22,.591,9,26,6,6,1,17,24,,22,50,.440,12,28,.429,19,25,.760,14,31,19,7,4,16,22
4,4,2015-11-21,,Lamar,L,66,77,23,62,.371,6,21,.286,14,23,.609,16,34,17,6,3,19,22,,23,51,.451,8,19,.421,23,30,.767,12,38,16,10,7,20,23
5,5,2015-11-24,@,UC-Riverside,L,55,81,19,53,.358,3,16,.188,14,18,.778,3,25,9,7,7,15,19,,28,57,.491,9,21,.429,16,23,.696,11,41,18,7,2,12,20
6,6,2015-11-27,@,Fresno State,L,59,80,20,63,.317,10,30,.333,9,16,.563,13,29,14,4,3,11,20,,27,61,.443,10,24,.417,16,22,.727,17,50,15,5,6,11,18
7,7,2015-11-29,@,San Francisco,L,47,67,17,51,.333,8,26,.308,5,13,.385,7,26,10,5,5,9,14,,26,55,.473,9,25,.360,6,11,.545,9,37,18,3,1,10,17
8,8,2015-12-04,@,Old Dominion,L,38,82,15,59,.254,3,17,.176,5,12,.417,10,25,8,5,3,14,22,,30,60,.500,6,23,.261,16,20,.800,15,45,18,6,6,10,15
9,9,2015-12-12,@,Michigan,L,33,80,12,50,.240,4,21,.190,5,10,.500,7,27,8,3,4,16,11,,32,61,.525,11,27,.407,5,10,.500,6,38,23,6,2,7,12
10,10,2015-12-15,@,Grand Canyon,L,59,88,23,55,.418,6,17,.353,7,15,.467,10,23,13,4,2,15,21,,31,56,.554,9,20,.450,17,26,.654,14,36,18,12,3,13,15
11,11,2015-12-19,@,Temple,L,63,78,21,54,.389,5,17,.294,16,23,.696,9,29,9,7,5,14,25,,22,62,.355,4,27,.148,30,38,.789,17,42,12,5,2,9,21
12,12,2015-12-22,@,Utah,L,58,105,21,65,.323,8,20,.400,8,12,.667,6,19,8,4,1,8,16,,37,60,.617,12,23,.522,19,24,.792,10,47,30,4,5,9,9
13,13,2015-12-28,@,Texas Christian,L,47,75,15,48,.313,10,25,.400,7,15,.467,7,27,12,5,0,16,22,,25,60,.417,9,22,.409,16,23,.696,17,43,17,8,1,11,18
14,14,2016-01-04,,Summit,W,93,44,34,71,.479,12,30,.400,13,23,.565,15,52,17,12,2,4,11,,18,65,.277,4,29,.138,4,7,.571,8,33,9,1,2,14,18
15,15,2016-01-09,@,Morgan State,L,58,63,18,44,.409,4,20,.200,18,23,.783,8,35,7,1,6,19,19,,25,75,.333,6,31,.194,7,16,.438,21,37,14,9,2,6,21
16,16,2016-01-11,,Howard,L,67,71,23,59,.390,9,28,.321,12,17,.706,9,28,14,6,4,13,27,,19,53,.358,3,14,.214,30,42,.714,16,41,8,8,1,11,18
17,17,2016-01-16,@,South Carolina State,L,79,90,27,61,.443,11,32,.344,14,23,.609,7,30,12,2,2,10,21,,31,65,.477,10,26,.385,18,23,.783,7,32,15,3,2,7,20
18,18,2016-01-18,@,Savannah State,L,47,64,15,42,.357,2,16,.125,15,18,.833,2,20,3,9,1,16,20,,22,50,.440,9,23,.391,11,17,.647,9,31,13,4,1,17,18
19,19,2016-01-25,,North Carolina A&T,W,57,55,20,58,.345,8,25,.320,9,19,.474,9,34,17,9,1,17,18,,17,61,.279,7,28,.250,14,23,.609,15,42,14,4,3,18,19
20,20,2016-01-27,,North Carolina Central,W,71,60,24,57,.421,9,28,.321,14,19,.737,11,35,12,8,2,15,15,,21,57,.368,11,33,.333,7,12,.583,13,35,15,3,2,18,20
