Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Delaware State,W,62,56,19,48,.396,8,25,.320,16,23,.696,9,39,13,2,6,14,9,,24,64,.375,8,29,.276,0,2,.000,5,26,7,10,3,8,21
2,2,2015-11-20,@,Iona,L,77,92,25,50,.500,5,15,.333,22,26,.846,7,27,14,5,3,15,19,,30,59,.508,16,34,.471,16,21,.762,6,23,23,11,4,10,20
3,3,2015-11-24,,Fairleigh Dickinson,W,73,72,25,59,.424,6,21,.286,17,34,.500,16,45,15,6,2,11,20,,26,59,.441,8,23,.348,12,21,.571,8,31,14,6,0,11,26
4,4,2015-11-29,@,Temple,L,50,69,20,63,.317,3,18,.167,7,10,.700,13,40,9,2,4,10,12,,26,65,.400,9,29,.310,8,12,.667,12,39,13,4,5,5,12
5,5,2015-12-01,,Bradley,W,70,47,24,55,.436,6,21,.286,16,23,.696,10,37,14,5,5,10,16,,16,57,.281,6,28,.214,9,12,.750,11,35,7,3,5,14,22
6,6,2015-12-03,,South Florida,W,67,58,17,55,.309,4,17,.235,29,37,.784,14,46,8,7,1,11,12,,23,62,.371,5,23,.217,7,13,.538,8,33,6,11,11,11,27
7,7,2015-12-06,@,Columbia,L,69,82,22,49,.449,9,19,.474,16,22,.727,5,27,12,2,5,12,23,,27,57,.474,9,28,.321,19,26,.731,5,29,14,6,5,6,18
8,8,2015-12-12,@,Marist,W,70,69,23,53,.434,6,16,.375,18,28,.643,10,40,14,2,2,12,17,,21,53,.396,11,28,.393,16,22,.727,5,22,13,4,6,6,19
9,9,2015-12-19,@,Boston College,L,61,69,19,62,.306,8,23,.348,15,20,.750,8,36,7,7,1,8,16,,27,57,.474,11,31,.355,4,7,.571,2,31,19,3,7,10,17
10,10,2015-12-22,@,Villanova,L,48,78,16,46,.348,9,23,.391,7,12,.583,9,22,9,4,2,19,16,,27,56,.482,13,35,.371,11,12,.917,15,34,20,7,1,12,16
11,11,2015-12-29,@,Buffalo,L,79,99,26,59,.441,3,12,.250,24,37,.649,10,33,10,4,2,14,21,,33,66,.500,11,30,.367,22,28,.786,11,35,21,7,3,13,27
12,12,2015-12-31,@,Hofstra,L,80,90,31,69,.449,7,18,.389,11,16,.688,12,35,15,4,3,15,18,,32,66,.485,14,33,.424,12,21,.571,12,35,23,7,3,10,18
13,13,2016-01-02,,James Madison,L,63,73,19,60,.317,4,24,.167,21,28,.750,11,35,11,6,4,8,16,,23,61,.377,13,32,.406,14,17,.824,11,43,13,5,3,13,23
14,14,2016-01-07,@,Northeastern,L,56,88,21,60,.350,9,27,.333,5,10,.500,9,32,15,3,1,12,15,,31,65,.477,14,35,.400,12,15,.800,9,39,25,7,2,6,11
15,15,2016-01-09,,North Carolina-Wilmington,L,67,85,18,46,.391,1,8,.125,30,39,.769,9,31,9,1,2,20,13,,35,66,.530,7,21,.333,8,10,.800,11,32,20,9,6,10,28
16,16,2016-01-14,,Towson,L,77,79,28,61,.459,5,12,.417,16,27,.593,9,37,11,3,5,8,23,,23,63,.365,10,29,.345,23,34,.676,18,46,17,6,8,8,21
17,17,2016-01-16,,Northeastern,L,60,69,22,55,.400,4,16,.250,12,18,.667,9,35,13,3,1,12,17,,24,53,.453,9,30,.300,12,17,.706,5,30,18,5,5,8,15
18,18,2016-01-21,@,North Carolina-Wilmington,L,70,79,25,58,.431,2,10,.200,18,28,.643,9,35,7,5,3,8,24,,24,55,.436,9,26,.346,22,34,.647,8,38,14,3,4,7,25
19,19,2016-01-23,@,College of Charleston,L,58,59,22,47,.468,3,11,.273,11,19,.579,6,28,4,4,2,9,16,,22,58,.379,10,31,.323,5,7,.714,9,27,14,4,0,10,16
20,20,2016-01-28,,William & Mary,L,79,94,29,66,.439,14,29,.483,7,12,.583,12,36,13,2,2,9,19,,31,66,.470,16,37,.432,16,19,.842,9,36,28,6,4,5,15
21,21,2016-01-30,@,Towson,L (1 OT),97,101,26,54,.481,9,14,.643,36,45,.800,10,35,10,3,9,10,28,,29,67,.433,14,27,.519,29,42,.690,19,39,20,7,4,8,31
22,22,2016-02-04,@,Elon,L,56,83,20,61,.328,4,17,.235,12,19,.632,10,33,5,6,4,15,18,,32,62,.516,6,22,.273,13,16,.813,8,41,21,8,3,20,24
23,23,2016-02-06,@,William & Mary,L,64,90,20,59,.339,5,18,.278,19,26,.731,7,27,7,3,0,4,13,,33,62,.532,13,32,.406,11,13,.846,8,41,22,2,4,9,19
24,24,2016-02-11,,Drexel,W,69,60,19,38,.500,5,13,.385,26,33,.788,2,30,10,2,2,9,15,,22,59,.373,8,28,.286,8,12,.667,10,30,12,4,0,5,22
25,25,2016-02-13,,Hofstra,L,66,77,26,63,.413,7,21,.333,7,8,.875,6,31,12,0,0,11,16,,25,55,.455,11,26,.423,16,22,.727,7,34,14,7,4,8,12
26,26,2016-02-18,,College of Charleston,W,62,59,21,48,.438,5,11,.455,15,22,.682,8,37,13,3,6,15,14,,22,63,.349,6,22,.273,9,12,.750,12,30,11,6,3,8,19
27,27,2016-02-20,@,James Madison,L,50,75,18,46,.391,4,14,.286,10,23,.435,4,34,12,2,3,18,28,,20,57,.351,7,30,.233,28,38,.737,11,41,10,10,4,8,22
28,28,2016-02-25,@,Drexel,L,64,74,23,58,.397,3,9,.333,15,23,.652,10,31,12,2,2,6,22,,25,53,.472,5,18,.278,19,28,.679,8,35,18,2,7,6,21
29,29,2016-02-27,,Elon,L,59,77,22,62,.355,4,17,.235,11,15,.733,8,35,10,6,1,8,15,,30,64,.469,12,36,.333,5,10,.500,7,40,21,5,2,7,19
30,30,2016-03-04,N,College of Charleston,L,63,67,23,53,.434,6,18,.333,11,18,.611,10,35,5,4,4,17,24,,21,50,.420,5,17,.294,20,31,.645,11,32,11,14,4,10,20
