,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-12,@,University of California,L,50,77,16,46,.348,8,24,.333,10,12,.833,1,16,13,2,5,14,21,,28,56,.500,2,7,.286,19,25,.760,10,38,11,9,4,6,11
2,2,2013-11-17,,Stanford,L,57,66,18,43,.419,6,18,.333,15,25,.600,5,27,16,6,9,18,26,,20,45,.444,3,7,.429,23,34,.676,6,30,9,9,4,11,20
3,3,2013-11-28,N,Harvard,L,60,68,20,47,.426,4,18,.222,16,21,.762,4,21,19,8,5,10,27,,23,49,.469,1,3,.333,21,28,.750,12,36,13,5,5,12,18
4,4,2013-11-29,N,Pepperdine,L,56,68,19,56,.339,8,23,.348,10,14,.714,14,25,13,9,1,9,20,,25,35,.714,3,7,.429,15,22,.682,3,23,16,4,2,15,13
5,5,2013-11-30,@,Alaska-Anchorage,W,78,71,31,59,.525,10,21,.476,6,8,.750,6,25,22,6,5,7,15,,25,52,.481,13,26,.500,8,13,.615,5,26,21,5,2,10,12
6,6,2013-12-03,,Southern,W (1 OT),75,74,19,53,.358,11,30,.367,26,33,.788,9,35,14,12,7,11,20,,28,61,.459,9,18,.500,9,17,.529,13,37,14,4,4,20,24
7,7,2013-12-07,@,Mercer,L (1 OT),63,64,22,56,.393,7,23,.304,12,23,.522,7,24,14,7,5,5,18,,25,52,.481,4,15,.267,10,17,.588,9,40,15,3,6,14,20
8,8,2013-12-11,@,Colorado State,W,80,70,29,57,.509,9,23,.391,13,18,.722,12,28,17,7,2,6,18,,25,46,.543,4,8,.500,16,21,.762,6,25,15,3,2,10,14
9,9,2013-12-15,,Wyoming,W,64,61,24,46,.522,6,18,.333,10,15,.667,1,20,8,3,4,8,17,,22,50,.440,1,10,.100,16,18,.889,6,26,12,4,1,10,18
10,10,2013-12-17,,Belmont,W,90,62,30,54,.556,12,23,.522,18,23,.783,6,30,21,11,1,12,21,,21,50,.420,4,19,.211,16,22,.727,10,29,11,5,3,20,21
