Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Western Michigan,W,69,63,21,46,.457,2,15,.133,25,36,.694,6,29,10,3,5,10,21,,20,54,.370,6,28,.214,17,23,.739,7,28,9,3,0,11,32
2,2,2015-11-17,@,Penn State,L,62,68,20,53,.377,2,11,.182,20,24,.833,9,36,4,4,3,13,19,,22,54,.407,10,21,.476,14,20,.700,6,26,12,7,5,10,18
3,3,2015-11-20,N,South Carolina,L,61,76,19,52,.365,3,14,.214,20,31,.645,10,30,9,4,2,15,27,,24,60,.400,5,13,.385,23,34,.676,14,40,11,5,4,12,27
4,4,2015-11-21,N,Florida State,L,67,83,25,55,.455,7,17,.412,10,23,.435,6,24,9,1,1,16,27,,27,51,.529,5,15,.333,24,33,.727,9,33,13,5,4,17,22
5,5,2015-11-23,N,Norfolk State,W,82,78,27,46,.587,6,18,.333,22,30,.733,3,29,18,1,4,8,19,,26,58,.448,14,28,.500,12,20,.600,8,25,13,3,1,6,25
6,6,2015-12-02,@,UIC,W,82,55,29,62,.468,7,20,.350,17,21,.810,6,36,19,10,6,14,24,,20,55,.364,2,10,.200,13,23,.565,7,31,12,6,2,21,15
7,7,2015-12-05,,Chicago State,W,96,72,31,57,.544,11,20,.550,23,31,.742,8,38,20,8,7,16,17,,25,71,.352,8,29,.276,14,21,.667,12,34,9,6,3,15,24
8,8,2015-12-09,@,Drake,W,74,71,28,49,.571,6,12,.500,12,15,.800,5,28,13,6,8,14,24,,23,56,.411,8,19,.421,17,24,.708,12,28,11,5,0,11,16
9,9,2015-12-12,,Arkansas-Little Rock,L,44,66,17,44,.386,1,9,.111,9,16,.563,12,31,7,2,2,18,24,,22,54,.407,6,20,.300,16,20,.800,9,26,12,7,3,8,16
10,10,2015-12-15,@,Stanford,L,60,79,24,54,.444,8,20,.400,4,8,.500,7,26,12,4,0,19,21,,25,51,.490,10,19,.526,19,24,.792,7,28,17,13,3,11,16
11,11,2015-12-19,,Northwestern,L (1 OT),70,78,23,66,.348,7,23,.304,17,25,.680,15,45,13,1,2,7,20,,27,69,.391,6,27,.222,18,21,.857,11,41,16,1,2,5,24
12,12,2015-12-22,,George Washington,W,82,61,31,56,.554,8,18,.444,12,17,.706,12,37,15,4,3,13,18,,17,51,.333,3,21,.143,24,27,.889,8,23,13,7,0,11,18
13,13,2015-12-30,,Georgetown,L,58,70,21,54,.389,3,9,.333,13,24,.542,10,34,11,4,2,14,21,,21,55,.382,10,23,.435,18,23,.783,8,32,15,8,6,12,22
14,14,2016-01-02,@,Seton Hall,L,74,78,28,60,.467,8,16,.500,10,16,.625,10,32,14,7,2,18,23,,29,59,.492,4,22,.182,16,27,.593,12,29,20,9,6,13,14
15,15,2016-01-05,,Butler,L,72,77,28,58,.483,5,15,.333,11,16,.688,14,35,15,2,1,17,24,,24,49,.490,6,15,.400,23,30,.767,6,21,17,9,4,8,18
16,16,2016-01-09,@,Georgetown,L,63,74,20,56,.357,3,10,.300,20,23,.870,10,32,14,9,1,15,23,,20,52,.385,11,31,.355,23,32,.719,7,30,15,4,8,13,18
17,17,2016-01-12,@,Xavier,L,64,84,23,58,.397,11,27,.407,7,13,.538,8,33,14,3,3,14,23,,26,59,.441,12,26,.462,20,25,.800,10,38,21,9,3,9,19
18,18,2016-01-17,,Creighton,L,80,91,31,57,.544,6,19,.316,12,15,.800,10,33,9,4,3,17,21,,30,57,.526,13,26,.500,18,22,.818,6,23,14,12,4,11,17
19,19,2016-01-20,@,Marquette,W,57,56,22,57,.386,4,14,.286,9,11,.818,12,27,14,9,1,14,20,,20,42,.476,6,16,.375,10,15,.667,5,25,15,7,5,15,16
20,20,2016-01-27,@,Butler,L,53,67,21,54,.389,5,17,.294,6,13,.462,7,25,11,2,6,12,26,,18,45,.400,6,16,.375,25,29,.862,8,31,8,3,2,12,18
21,21,2016-01-30,,Xavier,L,65,86,24,52,.462,3,12,.250,14,22,.636,6,25,10,6,2,15,26,,28,58,.483,5,17,.294,25,31,.806,13,35,19,5,1,12,23
22,22,2016-02-02,,Providence,W,77,70,30,61,.492,5,15,.333,12,16,.750,14,42,15,4,6,17,17,,24,61,.393,9,22,.409,13,15,.867,8,21,18,8,6,11,18
23,23,2016-02-06,@,Creighton,L,66,88,26,57,.456,3,11,.273,11,18,.611,4,23,10,6,1,11,24,,30,58,.517,9,23,.391,19,23,.826,10,40,21,6,1,16,20
24,24,2016-02-09,,Villanova,L,59,86,20,49,.408,7,17,.412,12,17,.706,7,29,13,3,6,18,22,,28,58,.483,9,23,.391,21,25,.840,10,33,18,11,3,9,17
25,25,2016-02-17,@,St. John's (NY),L,65,80,22,61,.361,4,19,.211,17,24,.708,7,31,7,12,4,17,24,,26,59,.441,6,19,.316,22,33,.667,11,45,18,11,7,18,21
26,26,2016-02-20,,Marquette,L,60,73,21,50,.420,5,15,.333,13,18,.722,11,32,7,8,6,15,20,,26,51,.510,7,17,.412,14,22,.636,7,27,16,9,2,13,18
27,27,2016-02-25,,St. John's (NY),W,83,75,28,53,.528,5,17,.294,22,27,.815,7,36,15,7,3,12,25,,23,58,.397,10,32,.313,19,30,.633,9,28,18,5,2,14,21
28,28,2016-02-27,@,Providence,L,66,87,24,54,.444,5,18,.278,13,16,.813,7,26,7,5,0,13,24,,26,53,.491,8,22,.364,27,30,.900,6,29,19,6,3,11,18
29,29,2016-03-01,@,Villanova,L,62,83,23,49,.469,9,16,.563,7,14,.500,10,32,16,4,2,16,19,,29,58,.500,14,31,.452,11,17,.647,8,29,20,5,1,5,16
30,30,2016-03-05,,Seton Hall,L,66,80,23,53,.434,6,16,.375,14,21,.667,9,25,9,5,2,8,19,,27,49,.551,12,25,.480,14,20,.700,7,30,15,4,3,11,19
31,31,2016-03-09,N,Georgetown,L,53,70,22,58,.379,3,10,.300,6,17,.353,11,32,6,2,1,15,25,,23,46,.500,6,19,.316,18,27,.667,5,33,11,7,4,15,20
