,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-16,,Central State (OH),W,88,65,30,56,.536,11,27,.407,17,25,.680,6,47,18,9,9,25,22,,24,74,.324,4,18,.222,13,25,.520,12,30,8,14,2,17,25
2,2,2015-11-20,@,Pitt,L,79,95,28,66,.424,6,19,.316,17,25,.680,9,30,14,5,6,8,22,,33,67,.493,9,22,.409,20,28,.714,14,43,18,5,8,10,21
3,3,2015-11-23,,Michigan-Dearborn,W,122,70,39,68,.574,15,27,.556,29,39,.744,10,42,22,9,5,7,21,,24,67,.358,10,31,.323,12,19,.632,12,33,13,0,2,21,31
4,4,2015-11-28,@,Oral Roberts,L,95,100,39,85,.459,6,24,.250,11,18,.611,17,42,11,5,1,9,29,,30,56,.536,15,21,.714,25,38,.658,7,32,19,5,8,9,22
5,5,2015-12-02,@,Vanderbilt,L,52,102,16,70,.229,11,27,.407,9,12,.750,10,31,4,6,1,13,22,,35,61,.574,12,26,.462,20,30,.667,9,49,18,7,11,12,14
6,6,2015-12-05,,Northeastern,W,76,73,29,60,.483,8,18,.444,10,11,.909,9,25,14,13,4,12,21,,25,44,.568,11,21,.524,12,18,.667,6,27,16,8,4,24,15
7,7,2015-12-09,,Toledo,W,75,72,27,55,.491,13,27,.481,8,11,.727,4,29,14,4,8,12,20,,25,63,.397,7,21,.333,15,20,.750,9,32,8,5,1,9,17
8,8,2015-12-12,,Bowling Green State,W,95,80,32,68,.471,13,30,.433,18,26,.692,13,39,16,7,5,9,22,,26,59,.441,7,16,.438,21,35,.600,10,34,16,8,4,10,21
9,9,2015-12-19,,UCF,W,95,89,30,58,.517,12,25,.480,23,36,.639,9,34,14,10,4,18,26,,29,59,.492,7,21,.333,24,31,.774,5,26,11,8,3,15,25
10,10,2015-12-22,@,Western Kentucky,L,74,79,27,62,.435,11,24,.458,9,12,.750,5,28,12,5,2,13,25,,26,53,.491,5,12,.417,22,29,.759,7,37,15,3,6,14,16
11,11,2015-12-28,@,Eastern Michigan,L,73,88,26,59,.441,9,27,.333,12,24,.500,12,40,9,6,6,23,22,,30,67,.448,4,22,.182,24,30,.800,8,30,18,13,4,10,21
12,12,2016-01-02,,Youngstown State,W,96,87,33,69,.478,5,21,.238,25,29,.862,17,47,18,5,1,18,20,,31,60,.517,9,27,.333,16,23,.696,3,19,17,12,1,12,23
13,13,2016-01-04,,Cleveland State,W,88,80,27,59,.458,6,17,.353,28,42,.667,12,34,14,7,6,10,24,,29,58,.500,7,16,.438,15,23,.652,8,31,7,6,2,17,30
14,14,2016-01-08,,UIC,W,87,69,26,57,.456,4,18,.222,31,39,.795,9,32,10,7,3,14,28,,21,52,.404,2,11,.182,25,37,.676,12,35,6,8,6,17,31
15,15,2016-01-10,,Valparaiso,L,74,92,23,59,.390,7,13,.538,21,30,.700,11,35,8,1,5,12,28,,28,65,.431,7,28,.250,29,33,.879,14,43,14,4,5,9,23
16,16,2016-01-16,,Oakland,L,82,86,33,63,.524,3,9,.333,13,22,.591,12,34,13,7,4,14,22,,32,67,.478,6,23,.261,16,23,.696,13,32,12,4,4,14,24
17,17,2016-01-18,@,Wright State,L,76,77,25,50,.500,9,23,.391,17,26,.654,4,27,15,6,4,15,26,,23,56,.411,7,21,.333,24,35,.686,9,32,13,8,0,14,24
18,18,2016-01-23,@,Milwaukee,L,80,83,25,53,.472,8,18,.444,22,30,.733,10,27,11,7,4,16,28,,26,57,.456,5,24,.208,26,31,.839,11,31,12,4,3,13,25
19,19,2016-01-25,@,Green Bay,L (1 OT),108,115,38,78,.487,8,27,.296,24,36,.667,11,37,13,9,8,17,36,,37,75,.493,8,21,.381,33,49,.673,13,41,17,8,7,14,26
20,20,2016-01-29,,Northern Kentucky,L,83,91,26,59,.441,7,26,.269,24,34,.706,9,34,11,4,6,11,22,,27,57,.474,11,26,.423,26,30,.867,7,36,19,7,0,11,29
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-31,,Wright State,W,75,68,20,42,.476,7,16,.438,28,37,.757,7,27,12,9,4,14,14,,28,51,.549,5,17,.294,7,10,.700,3,20,13,3,5,13,28
22,22,2016-02-04,@,Cleveland State,W,71,63,24,49,.490,10,21,.476,13,25,.520,5,34,14,6,4,17,23,,25,59,.424,3,20,.150,10,17,.588,5,24,14,4,4,11,22
23,23,2016-02-06,@,Youngstown State,W,94,92,35,65,.538,8,17,.471,16,25,.640,7,30,15,9,2,12,17,,35,63,.556,13,28,.464,9,17,.529,7,30,20,4,2,13,20
24,24,2016-02-11,,Green Bay,L,85,86,33,79,.418,8,26,.308,11,18,.611,17,41,14,10,4,11,17,,31,65,.477,7,23,.304,17,24,.708,12,42,18,7,7,14,20
25,25,2016-02-13,,Milwaukee,W,80,66,34,64,.531,6,17,.353,6,9,.667,12,41,15,5,7,10,19,,21,64,.328,8,31,.258,16,22,.727,13,31,11,4,1,8,15
