Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Simpson,W,97,52,37,53,.698,6,12,.500,17,29,.586,7,46,19,7,5,12,18,,19,65,.292,8,35,.229,6,12,.500,8,24,7,4,2,11,22
2,2,2015-11-16,@,Tulane,L (1 OT),74,79,26,63,.413,8,23,.348,14,18,.778,8,32,7,7,1,21,25,,28,67,.418,6,17,.353,17,29,.586,14,40,8,10,7,16,18
3,3,2015-11-21,,UMKC,L,73,79,23,51,.451,7,17,.412,20,26,.769,7,26,12,1,3,15,21,,29,57,.509,7,16,.438,14,21,.667,9,30,12,8,6,11,22
4,4,2015-11-23,N,Western Kentucky,W (1 OT),81,79,27,57,.474,9,22,.409,18,20,.900,5,28,13,2,1,8,17,,32,66,.485,8,26,.308,7,11,.636,10,31,11,3,3,8,20
5,5,2015-11-24,N,Weber State,L,58,74,23,57,.404,9,20,.450,3,3,1.000,5,29,11,3,0,10,17,,26,58,.448,14,30,.467,8,15,.533,11,36,12,4,4,8,12
6,6,2015-11-25,N,Pepperdine,W,69,53,25,45,.556,7,12,.583,12,19,.632,4,32,16,3,2,14,16,,20,52,.385,2,10,.200,11,16,.688,8,24,6,10,4,10,19
7,7,2015-11-28,,UIC,W,83,62,31,59,.525,10,19,.526,11,18,.611,9,34,18,6,3,14,17,,23,58,.397,4,12,.333,12,20,.600,9,30,5,8,2,20,24
8,8,2015-12-05,@,Bowling Green State,L,63,75,22,53,.415,6,24,.250,13,20,.650,5,27,11,6,2,10,19,,26,53,.491,11,17,.647,12,18,.667,7,36,12,4,3,12,20
9,9,2015-12-09,,DePaul,L,71,74,23,56,.411,8,19,.421,17,24,.708,12,28,11,5,0,11,16,,28,49,.571,6,12,.500,12,15,.800,5,28,13,6,8,14,24
10,10,2015-12-12,@,Nevada,L,71,79,23,52,.442,10,22,.455,15,20,.750,8,31,17,3,1,14,19,,30,65,.462,4,19,.211,15,21,.714,13,35,11,9,5,7,21
11,11,2015-12-19,N,Iowa,L,64,70,24,60,.400,11,26,.423,5,8,.625,9,32,14,0,3,7,12,,28,60,.467,8,21,.381,6,8,.750,7,29,12,4,14,2,12
12,12,2015-12-22,,Abilene Christian,W,87,70,30,48,.625,10,18,.556,17,25,.680,4,30,13,4,2,12,17,,26,58,.448,7,16,.438,11,17,.647,6,22,14,6,2,8,22
13,13,2015-12-31,@,Wichita State,L,47,67,16,43,.372,6,16,.375,9,13,.692,2,24,10,4,2,17,18,,23,54,.426,8,24,.333,13,19,.684,9,34,12,5,1,12,17
14,14,2016-01-03,,Illinois State,L,62,67,23,49,.469,5,14,.357,11,16,.688,5,32,10,2,2,8,17,,28,65,.431,5,20,.250,6,11,.545,8,31,7,4,4,4,20
15,15,2016-01-06,,Indiana State,L,69,79,23,55,.418,7,23,.304,16,27,.593,10,39,10,2,3,14,17,,27,61,.443,8,19,.421,17,24,.708,9,34,11,9,4,5,22
16,16,2016-01-09,@,Northern Iowa,L,44,77,16,45,.356,4,11,.364,8,11,.727,4,27,6,4,3,14,21,,27,56,.482,7,21,.333,16,18,.889,6,33,11,7,1,6,14
17,17,2016-01-12,@,Evansville,L,65,84,23,53,.434,6,15,.400,13,15,.867,3,24,10,6,3,14,20,,32,60,.533,3,10,.300,17,22,.773,11,35,16,7,3,10,15
18,18,2016-01-17,,Southern Illinois,L,76,81,28,53,.528,9,22,.409,11,16,.688,6,26,17,4,0,12,20,,30,58,.517,5,18,.278,16,20,.800,9,29,14,7,2,7,16
19,19,2016-01-20,,Missouri State,L,70,79,25,61,.410,6,20,.300,14,18,.778,9,33,11,8,1,12,21,,27,58,.466,5,13,.385,20,24,.833,7,35,11,6,2,15,23
20,20,2016-01-23,@,Loyola (IL),L,63,68,23,57,.404,9,22,.409,8,13,.615,10,31,14,4,3,12,19,,23,47,.489,7,17,.412,15,19,.789,4,25,13,4,3,13,16
