,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,St. Joseph's,L,81,82,29,64,.453,5,16,.313,18,28,.643,10,32,11,4,3,9,28,,25,53,.472,4,18,.222,28,39,.718,12,32,12,5,6,14,23
2,2,2015-11-18,,High Point,L,66,75,23,42,.548,6,17,.353,14,28,.500,4,24,9,3,6,16,26,,28,60,.467,4,11,.364,15,23,.652,8,29,8,4,0,9,24
3,3,2015-11-21,,Monmouth,L,74,82,25,57,.439,7,22,.318,17,27,.630,10,30,15,6,3,12,18,,29,57,.509,7,15,.467,17,23,.739,10,36,14,7,3,12,26
4,4,2015-11-26,N,North Carolina-Asheville,L,66,85,22,51,.431,2,10,.200,20,26,.769,6,28,14,2,4,8,27,,27,58,.466,5,11,.455,26,36,.722,9,30,17,1,2,4,21
5,5,2015-11-27,@,Alaska-Anchorage,L,65,71,24,62,.387,6,15,.400,11,22,.500,14,45,18,3,9,13,27,,19,63,.302,11,32,.344,22,30,.733,14,35,13,4,0,7,19
6,6,2015-11-28,N,San Diego,L,59,62,17,59,.288,5,17,.294,20,27,.741,16,35,12,7,4,11,19,,18,41,.439,4,12,.333,22,28,.786,6,32,8,2,5,15,23
7,7,2015-12-05,@,La Salle,W,66,53,21,54,.389,3,11,.273,21,24,.875,10,36,11,6,2,13,20,,17,46,.370,4,16,.250,15,27,.556,8,30,9,9,6,16,21
8,8,2015-12-15,@,South Carolina,L,54,79,19,55,.345,7,17,.412,9,19,.474,5,20,11,3,2,13,28,,25,46,.543,6,12,.500,23,39,.590,7,36,14,6,9,15,19
9,9,2015-12-19,N,Penn State,L,57,63,16,53,.302,7,19,.368,18,22,.818,8,28,10,4,6,9,16,,23,59,.390,4,14,.286,13,17,.765,10,35,6,7,6,8,16
10,10,2015-12-22,,Penn,W (1 OT),53,52,16,55,.291,6,18,.333,15,23,.652,15,42,11,2,1,11,18,,20,53,.377,3,18,.167,9,14,.643,7,35,7,5,3,13,24
11,11,2015-12-28,@,Iona,L,70,77,26,63,.413,5,18,.278,13,20,.650,11,30,8,10,0,14,26,,27,51,.529,8,21,.381,15,28,.536,8,34,17,9,4,17,17
12,12,2015-12-31,@,North Carolina-Wilmington,L,63,75,22,67,.328,5,13,.385,14,19,.737,21,40,9,7,5,18,25,,20,43,.465,6,12,.500,29,38,.763,7,28,9,10,11,17,18
13,13,2016-01-02,@,Elon,L,78,83,25,67,.373,5,12,.417,23,29,.793,12,42,8,8,4,14,29,,27,55,.491,11,23,.478,18,31,.581,4,36,17,6,1,15,24
14,14,2016-01-07,,William & Mary,L,63,72,26,48,.542,4,18,.222,7,12,.583,2,20,12,5,4,11,19,,26,49,.531,7,19,.368,13,15,.867,5,27,15,8,1,11,15
15,15,2016-01-09,,College of Charleston,W,61,54,16,39,.410,1,6,.167,28,35,.800,7,24,11,7,3,10,18,,20,46,.435,7,15,.467,7,11,.636,6,19,11,3,0,14,23
16,16,2016-01-14,@,Hofstra,L,61,69,25,70,.357,5,20,.250,6,6,1.000,11,39,13,6,4,14,22,,24,58,.414,3,18,.167,18,28,.643,12,42,12,7,4,17,13
17,17,2016-01-16,@,Towson,L,50,69,16,60,.267,5,15,.333,13,20,.650,9,28,9,7,5,9,25,,24,47,.511,5,9,.556,16,25,.640,7,42,12,4,11,18,20
