,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Grambling,W,61,53,14,45,.311,4,16,.250,29,42,.690,11,40,10,7,2,12,16,,21,58,.362,8,29,.276,3,8,.375,8,32,11,7,2,14,26
2,2,2015-11-16,,Charlotte,W,88,74,30,53,.566,7,11,.636,21,28,.750,7,35,16,7,4,14,16,,28,63,.444,10,26,.385,8,13,.615,11,24,16,6,5,11,20
3,3,2015-11-20,@,University of California,L,62,70,18,55,.327,5,15,.333,21,25,.840,9,23,10,6,1,10,26,,24,55,.436,3,23,.130,19,31,.613,18,44,14,1,6,15,19
4,4,2015-11-23,@,San Diego State,L,54,79,18,56,.321,7,21,.333,11,14,.786,9,28,8,4,3,12,23,,26,53,.491,11,27,.407,16,25,.640,9,33,17,4,5,11,16
5,5,2015-11-26,N,Arkansas-Little Rock,L,46,54,13,42,.310,6,17,.353,14,21,.667,5,35,10,3,3,22,19,,15,57,.263,4,22,.182,20,22,.909,9,30,10,10,4,6,18
6,6,2015-11-27,N,Stetson,W,93,73,33,61,.541,10,21,.476,17,18,.944,13,38,19,8,1,14,19,,22,53,.415,8,26,.308,21,24,.875,7,20,12,9,1,14,11
7,7,2015-12-01,,Florida Atlantic,W,74,48,32,59,.542,5,13,.385,5,11,.455,9,38,23,5,3,11,17,,19,53,.358,5,23,.217,5,12,.417,6,27,16,3,4,12,13
8,8,2015-12-04,,South Carolina Upstate,W,82,71,27,50,.540,3,13,.231,25,32,.781,10,30,15,5,2,11,19,,24,55,.436,13,27,.481,10,18,.556,11,28,19,7,2,16,25
9,9,2015-12-07,@,College of Charleston,L,73,77,29,63,.460,5,16,.313,10,22,.455,10,37,14,3,4,9,22,,25,56,.446,5,15,.333,22,29,.759,8,36,18,6,2,8,19
