,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Averett,W,107,59,35,65,.538,5,22,.227,32,39,.821,13,45,14,9,9,9,23,,20,63,.317,6,29,.207,13,21,.619,7,25,12,3,0,21,30
2,2,2015-11-17,,Green Bay,W,103,90,37,72,.514,10,26,.385,19,21,.905,9,41,17,2,9,13,27,,31,75,.413,4,15,.267,24,38,.632,15,42,11,11,3,9,20
3,3,2015-11-20,@,Villanova,L,51,86,19,59,.322,4,22,.182,9,13,.692,13,26,12,9,3,13,12,,32,63,.508,14,34,.412,8,12,.667,15,43,19,8,5,14,14
4,4,2015-11-22,@,Georgia Tech,W,69,68,27,57,.474,6,17,.353,9,10,.900,7,26,8,6,1,7,23,,22,54,.407,5,17,.294,19,22,.864,11,34,12,4,3,9,14
5,5,2015-11-24,@,Charleston Southern,L,76,77,27,57,.474,10,27,.370,12,18,.667,8,29,14,4,4,9,17,,29,55,.527,11,19,.579,8,14,.571,7,29,10,2,1,12,18
6,6,2015-11-28,,North Carolina-Wilmington,L,73,94,24,52,.462,7,15,.467,18,25,.720,4,23,12,7,4,21,12,,41,70,.586,7,19,.368,5,10,.500,11,38,15,10,2,13,24
7,7,2015-12-02,@,Tennessee Tech,L,61,63,26,71,.366,4,15,.267,5,9,.556,11,30,11,11,5,11,29,,14,49,.286,4,20,.200,31,38,.816,13,39,6,2,9,20,17
8,8,2015-12-10,,Milligan,W,98,47,31,72,.431,8,21,.381,28,37,.757,17,50,11,12,4,14,17,,17,56,.304,3,16,.188,10,14,.714,7,28,4,8,6,21,30
9,9,2015-12-15,@,North Carolina-Asheville,L,64,84,24,51,.471,6,16,.375,10,23,.435,7,24,10,7,0,17,15,,33,62,.532,7,17,.412,11,17,.647,14,42,19,8,4,15,17
10,10,2015-12-18,,Eastern Kentucky,W,87,81,30,55,.545,10,19,.526,17,26,.654,10,29,14,8,1,18,21,,26,49,.531,11,24,.458,18,24,.750,5,24,11,9,1,21,21
11,11,2015-12-22,@,Tennessee,L,67,76,25,68,.368,8,27,.296,9,12,.750,10,42,13,4,2,8,19,,25,63,.397,6,18,.333,20,31,.645,12,42,14,4,6,8,12
12,12,2015-12-30,,Morehead State,W,75,72,22,47,.468,5,17,.294,26,36,.722,9,28,9,8,3,14,23,,28,64,.438,6,20,.300,10,19,.526,14,32,12,7,3,13,26
13,13,2016-01-02,@,Western Carolina,W,82,66,29,55,.527,8,15,.533,16,26,.615,12,36,19,5,5,11,21,,19,59,.322,3,28,.107,25,29,.862,14,30,7,4,4,10,20
14,14,2016-01-04,@,North Carolina Central,W,72,68,25,57,.439,5,21,.238,17,24,.708,8,36,16,6,1,10,25,,23,53,.434,6,19,.316,16,26,.615,6,28,12,3,1,8,17
15,15,2016-01-09,,North Carolina-Greensboro,W,86,83,28,53,.528,15,25,.600,15,24,.625,4,28,18,2,1,10,20,,31,65,.477,10,24,.417,11,15,.733,9,34,14,2,3,8,23
