Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Indiana,L,49,88,17,50,.340,4,16,.250,11,19,.579,4,15,5,7,0,13,25,,32,61,.525,9,27,.333,15,25,.600,21,51,15,9,3,15,23
2,2,2015-11-16,@,Ball State,L,56,73,16,49,.327,5,18,.278,19,27,.704,10,29,8,5,2,10,18,,25,60,.417,5,18,.278,18,24,.750,15,40,12,4,4,8,20
3,3,2015-11-21,,Western Illinois,L,63,83,20,56,.357,9,21,.429,14,22,.636,10,28,14,4,1,10,22,,28,51,.549,9,16,.563,18,23,.783,5,34,16,7,2,12,22
4,4,2015-11-28,,Green Bay,L,72,81,25,61,.410,3,19,.158,19,26,.731,7,37,5,8,1,21,23,,27,66,.409,5,18,.278,22,39,.564,16,44,8,13,6,17,23
5,5,2015-12-01,,Indiana State,W,68,62,25,55,.455,11,23,.478,7,15,.467,10,31,15,6,4,15,16,,20,52,.385,6,19,.316,16,24,.667,12,32,12,10,4,15,19
6,6,2015-12-05,,Northern Kentucky,W (1 OT),79,73,28,56,.500,7,18,.389,16,27,.593,5,31,15,8,3,14,19,,28,67,.418,5,26,.192,12,18,.667,12,43,15,5,2,17,24
7,7,2015-12-09,@,Marshall,L,76,82,32,71,.451,6,19,.316,6,10,.600,6,25,12,9,0,12,20,,28,57,.491,8,24,.333,18,30,.600,13,44,14,8,2,22,14
8,8,2015-12-12,@,Western Illinois,L,57,64,22,58,.379,3,19,.158,10,13,.769,8,31,10,4,4,15,26,,20,61,.328,3,17,.176,21,30,.700,21,41,13,6,7,12,14
9,9,2015-12-19,@,Houston,L,65,81,21,48,.438,8,21,.381,15,25,.600,13,28,13,7,0,13,21,,24,51,.471,10,26,.385,23,28,.821,12,30,13,8,3,10,22
10,10,2015-12-21,N,Nebraska-Omaha,L,68,80,24,64,.375,10,31,.323,10,15,.667,18,39,13,4,2,21,21,,31,58,.534,4,15,.267,14,23,.609,7,28,20,13,5,12,21
11,11,2015-12-22,N,North Carolina Central,L,52,57,20,46,.435,5,23,.217,7,13,.538,5,20,9,8,3,8,18,,21,46,.457,3,13,.231,12,17,.706,6,30,10,3,0,14,18
12,12,2015-12-28,,Hannibal-LaGrange,W,78,53,31,64,.484,11,25,.440,5,7,.714,11,37,21,6,3,7,10,,18,51,.353,10,25,.400,7,8,.875,8,29,12,2,2,16,13
13,13,2015-12-31,@,Tennessee Tech,L,84,94,30,63,.476,12,30,.400,12,21,.571,9,25,17,5,0,6,20,,32,51,.627,13,24,.542,17,26,.654,6,33,23,4,4,11,17
14,14,2016-01-02,@,Jacksonville State,W,75,64,29,58,.500,8,21,.381,9,16,.563,10,31,18,8,3,10,21,,22,50,.440,5,21,.238,15,20,.750,7,28,7,4,2,15,16
15,15,2016-01-06,,Tennessee State,L,61,66,22,51,.431,7,23,.304,10,16,.625,9,36,14,3,0,11,20,,20,50,.400,8,20,.400,18,24,.750,8,32,11,8,3,9,21
16,16,2016-01-09,@,Belmont,L,59,85,24,64,.375,6,22,.273,5,12,.417,11,34,12,6,3,13,18,,28,58,.483,15,36,.417,14,17,.824,5,37,20,7,0,11,17
17,17,2016-01-14,,Eastern Kentucky,W,97,85,34,58,.586,11,22,.500,18,26,.692,6,30,23,6,3,8,14,,32,58,.552,11,28,.393,10,15,.667,4,24,20,3,1,13,21
18,18,2016-01-16,,Morehead State,W (1 OT),84,82,28,59,.475,9,20,.450,19,23,.826,10,35,14,7,1,14,22,,29,64,.453,9,19,.474,15,21,.714,12,34,15,8,2,15,22
19,19,2016-01-21,@,Murray State,L,58,68,17,54,.315,5,20,.250,19,25,.760,10,32,9,6,2,8,20,,25,55,.455,6,15,.400,12,19,.632,10,38,16,1,1,10,20
20,20,2016-01-23,@,Austin Peay,W (1 OT),87,86,31,66,.470,7,25,.280,18,25,.720,16,46,16,6,2,17,28,,27,63,.429,7,25,.280,25,39,.641,13,37,15,9,1,12,26
21,21,2016-01-28,,UT-Martin,W,82,74,26,65,.400,12,32,.375,18,24,.750,16,39,18,9,2,6,12,,29,58,.500,8,23,.348,8,13,.615,7,36,18,3,1,15,22
22,22,2016-01-30,@,Southern Illinois-Edwardsville,W,60,46,22,52,.423,5,15,.333,11,16,.688,5,30,9,5,2,9,16,,17,62,.274,5,19,.263,7,13,.538,19,44,7,5,3,15,19
23,23,2016-02-01,,St. Ambrose,W,101,59,38,67,.567,9,23,.391,16,27,.593,12,46,23,6,6,7,10,,23,70,.329,7,27,.259,6,9,.667,12,32,14,4,3,14,22
24,24,2016-02-06,,Southeast Missouri State,W,78,69,30,63,.476,7,20,.350,11,15,.733,10,38,16,7,3,14,17,,24,61,.393,5,25,.200,16,24,.667,13,38,11,8,4,13,17
25,25,2016-02-10,,Austin Peay,L,70,79,27,62,.435,9,28,.321,7,8,.875,8,25,18,4,5,9,22,,26,57,.456,4,16,.250,23,30,.767,15,41,15,6,2,11,11
26,26,2016-02-13,,Southern Illinois-Edwardsville,L,64,72,19,54,.352,4,17,.235,22,31,.710,9,23,9,5,4,8,26,,22,53,.415,5,15,.333,23,28,.821,15,43,7,1,4,17,27
27,27,2016-02-18,@,UT-Martin,L (1 OT),84,87,28,60,.467,15,29,.517,13,17,.765,3,29,18,7,0,15,26,,28,59,.475,7,22,.318,24,28,.857,8,37,13,6,0,16,19
28,28,2016-02-20,@,Southeast Missouri State,W,71,68,28,61,.459,9,22,.409,6,14,.429,9,35,15,7,3,8,16,,25,65,.385,8,24,.333,10,14,.714,13,37,14,7,1,10,19
29,29,2016-02-25,,Murray State,W,85,74,29,50,.580,5,15,.333,22,32,.688,5,31,17,3,4,13,20,,25,58,.431,7,22,.318,17,22,.773,7,28,17,6,3,9,26
