Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Coppin State,W,107,80,40,75,.533,9,29,.310,18,26,.692,10,37,24,10,3,11,29,,27,67,.403,6,21,.286,20,32,.625,14,40,16,4,0,20,23
2,2,2015-11-16,@,North Carolina-Wilmington,L,59,78,17,51,.333,3,9,.333,22,35,.629,10,34,5,5,0,19,25,,29,65,.446,7,25,.280,13,22,.591,14,40,16,8,8,15,29
3,3,2015-11-20,,Ball State,W,89,81,26,46,.565,11,22,.500,26,30,.867,4,25,14,7,3,15,24,,29,61,.475,12,26,.462,11,18,.611,11,29,18,5,0,16,25
4,4,2015-11-21,,South Carolina State,W,92,82,28,54,.519,11,20,.550,25,33,.758,10,38,18,3,3,13,24,,30,63,.476,6,16,.375,16,26,.615,9,27,17,7,1,9,26
5,5,2015-11-22,,Longwood,W,110,97,40,60,.667,13,24,.542,17,25,.680,6,28,26,8,6,11,24,,33,66,.500,10,17,.588,21,26,.808,11,28,26,4,2,12,24
6,6,2015-11-25,,Thomas More,W,101,67,41,69,.594,9,22,.409,10,18,.556,11,38,30,14,2,12,16,,24,57,.421,10,27,.370,9,11,.818,5,26,19,4,0,19,19
7,7,2015-11-28,,Southern Utah,W,98,85,35,60,.583,11,22,.500,17,23,.739,7,25,16,7,2,13,21,,29,54,.537,7,15,.467,20,28,.714,8,27,18,9,4,19,21
8,8,2015-12-01,@,Western Kentucky,L,84,86,32,63,.508,15,25,.600,5,7,.714,9,22,20,7,2,11,17,,31,57,.544,14,26,.538,10,14,.714,10,31,21,2,5,15,13
9,9,2015-12-05,@,Savannah State,W,74,71,21,56,.375,8,30,.267,24,27,.889,12,32,13,10,2,19,30,,22,42,.524,1,13,.077,26,39,.667,7,27,15,8,3,25,26
10,10,2015-12-09,@,Kentucky,L,67,88,26,65,.400,5,18,.278,10,14,.714,10,24,11,7,1,13,19,,35,64,.547,4,19,.211,14,20,.700,17,47,18,3,9,17,17
11,11,2015-12-12,@,Marshall,L,72,96,30,63,.476,8,19,.421,4,8,.500,4,24,16,8,4,16,18,,35,69,.507,15,32,.469,11,19,.579,13,43,24,11,2,13,12
12,12,2015-12-15,,Florida Atlantic,W,80,73,24,56,.429,5,15,.333,27,33,.818,7,32,15,11,7,13,17,,27,65,.415,5,18,.278,14,16,.875,10,34,15,7,4,15,25
13,13,2015-12-18,@,ETSU,L,81,87,26,49,.531,11,24,.458,18,24,.750,5,24,11,9,1,21,21,,30,55,.545,10,19,.526,17,26,.654,10,29,14,8,1,18,21
14,14,2015-12-21,@,West Virginia,L,59,84,20,41,.488,9,23,.391,10,23,.435,6,25,11,6,2,18,21,,29,59,.492,10,24,.417,16,25,.640,14,36,21,11,0,8,20
15,15,2015-12-29,,Manhattan,W,76,64,28,61,.459,7,23,.304,13,15,.867,6,34,22,4,2,8,18,,21,51,.412,10,24,.417,12,20,.600,3,31,17,4,2,15,17
16,16,2016-01-02,@,Austin Peay,W,79,70,27,54,.500,6,14,.429,19,28,.679,7,33,14,6,4,13,28,,23,54,.426,6,20,.300,18,32,.563,9,33,9,5,2,14,25
17,17,2016-01-07,,UT-Martin,L,70,78,27,66,.409,7,31,.226,9,14,.643,10,30,11,6,1,14,18,,29,50,.580,7,15,.467,13,20,.650,5,34,14,6,1,18,17
18,18,2016-01-09,,Southeast Missouri State,W,88,69,33,66,.500,9,25,.360,13,21,.619,9,38,21,6,6,17,20,,22,57,.386,6,16,.375,19,28,.679,7,31,17,9,0,21,23
19,19,2016-01-14,@,Eastern Illinois,L,85,97,32,58,.552,11,28,.393,10,15,.667,4,24,20,3,1,13,21,,34,58,.586,11,22,.500,18,26,.692,6,30,23,6,3,8,14
20,20,2016-01-16,@,Southern Illinois-Edwardsville,L,65,67,20,45,.444,3,11,.273,22,28,.786,3,20,10,7,3,18,17,,24,60,.400,6,18,.333,13,18,.722,15,31,14,7,6,19,26
21,21,2016-01-21,,Jacksonville State,W,91,88,28,56,.500,7,17,.412,28,37,.757,7,31,20,4,0,9,22,,31,62,.500,7,22,.318,19,26,.731,9,32,18,5,3,6,26
22,22,2016-01-23,,Tennessee Tech,L,83,89,27,59,.458,6,23,.261,23,32,.719,9,29,16,6,4,8,25,,29,63,.460,8,22,.364,23,31,.742,12,39,14,5,1,11,27
23,23,2016-01-27,,Murray State,L,71,75,24,44,.545,7,15,.467,16,18,.889,0,19,18,7,0,11,19,,25,53,.472,9,20,.450,16,21,.762,11,29,19,5,0,14,19
24,24,2016-01-30,,Morehead State,L,67,70,25,55,.455,1,17,.059,16,21,.762,10,33,12,6,7,14,25,,20,55,.364,5,13,.385,25,36,.694,13,34,13,8,0,15,23
